,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"0,180000",16/08/2024,19/08/2024,03/10/2024,141
1,Dividendo,"0,210000",16/05/2024,17/05/2024,08/07/2024,141
2,Dividendo,"0,780000",19/04/2024,22/04/2024,01/07/2024,141
3,Dividendo,"0,120000",16/11/2023,17/11/2023,04/01/2024,141
4,Dividendo,"0,120000",16/08/2023,17/08/2023,05/10/2023,141
5,Dividendo,"0,120000",15/05/2023,16/05/2023,05/07/2023,141
6,Dividendo,"1,440000",17/04/2023,18/04/2023,16/05/2023,141
7,Dividendo,"0,450000",11/04/2022,12/04/2022,31/05/2022,141
8,Dividendo,"0,450000",11/04/2022,12/04/2022,31/08/2022,141
9,Dividendo,"0,330000",11/04/2022,12/04/2022,30/11/2022,141
10,Dividendo,"0,300000",27/04/2021,28/04/2021,31/05/2021,141
11,Dividendo,"0,300000",27/04/2021,28/04/2021,30/08/2021,141
12,Dividendo,"0,153110",27/04/2021,28/04/2021,30/11/2021,141
13,Dividendo,"0,086890",27/04/2021,28/04/2021,30/11/2021,141
14,Dividendo,"0,330000",27/04/2020,28/04/2020,17/06/2020,141
15,Dividendo,"0,360000",27/04/2020,28/04/2020,30/11/2020,141
16,Dividendo,"0,450000",29/04/2019,30/04/2019,30/07/2019,141
17,Dividendo,"0,180000",06/12/2018,07/12/2018,19/12/2018,141
18,Dividendo,"0,330000",26/04/2018,27/04/2018,20/06/2018,141
19,Dividendo,"0,210000",01/02/2018,02/02/2018,16/02/2018,141
20,Dividendo,"0,307491",25/04/2017,26/04/2017,26/06/2017,141
21,Dividendo,"0,204994",25/04/2017,26/04/2017,24/07/2017,141
22,Dividendo,"0,480000",20/04/2016,22/04/2016,12/07/2016,141
23,Dividendo,"1,200000",15/04/2015,16/04/2015,04/05/2015,141
24,Dividendo,"0,480000",02/10/2014,03/10/2014,17/10/2014,141
25,Dividendo,"0,750000",16/04/2014,17/04/2014,02/05/2014,141
26,Dividendo,"0,930000",16/04/2014,17/04/2014,02/05/2014,141
