,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"* 2,172000",30/04/2015,--,30/04/2015,302
1,Dividendo,"* 6,849000",05/12/2014,08/12/2014,18/12/2014,302
2,Dividendo,"* 2,229000",30/04/2014,02/05/2014,18/12/2014,302
3,Dividendo,"* 24,156000",29/04/2013,30/04/2013,17/07/2013,302
4,Dividendo,"* 46,722000",12/04/2012,13/04/2012,30/04/2012,302
5,Dividendo,"* 46,908000",11/07/2011,12/07/2011,20/07/2011,302
6,Dividendo,"* 45,246000",17/06/2010,18/06/2010,28/06/2010,302
7,Dividendo,"* 100,953000",07/04/2009,08/04/2009,27/04/2009,302
8,Dividendo,"* 29,970000",04/04/2008,07/04/2008,30/04/2008,302
9,Dividendo,"* 0,126000",16/04/2007,17/04/2007,27/04/2007,302
10,Dividendo,"* 1,059000",18/04/2006,19/04/2006,05/06/2006,302
