,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,JCP,"0,194117",05/12/2023,06/12/2023,27/12/2024,363
1,JCP,"0,194117",05/12/2023,06/12/2023,27/09/2024,363
2,JCP,"0,194117",05/12/2023,06/12/2023,27/06/2024,363
3,JCP,"0,194117",05/12/2023,06/12/2023,27/03/2024,363
4,Dividendo,"0,027500",28/04/2023,08/05/2023,15/06/2023,363
5,Dividendo,"0,027500",28/04/2023,08/05/2023,15/09/2023,363
6,Dividendo,"0,027500",28/04/2023,08/05/2023,17/11/2023,363
7,Dividendo,"0,027500",28/04/2023,08/05/2023,15/03/2024,363
8,JCP,"0,105882",04/01/2023,09/01/2023,28/04/2023,363
9,Dividendo,"0,681594",29/04/2022,02/05/2022,15/06/2022,363
10,Dividendo,"0,681594",29/04/2022,02/05/2022,15/09/2022,363
11,Dividendo,"0,681594",29/04/2022,02/05/2022,17/11/2022,363
12,Dividendo,"0,681594",29/04/2022,02/05/2022,16/03/2023,363
13,Dividendo,"0,102500",30/04/2021,03/05/2021,16/06/2021,363
14,Dividendo,"0,102500",30/04/2021,03/05/2021,15/09/2021,363
15,Dividendo,"0,102500",30/04/2021,03/05/2021,17/11/2021,363
16,Dividendo,"0,102500",30/04/2021,03/05/2021,16/06/2021,363
17,Dividendo,"0,065000",05/08/2020,06/08/2020,17/09/2020,363
18,Dividendo,"0,065000",05/08/2020,06/08/2020,16/10/2020,363
19,Dividendo,"0,065000",05/08/2020,06/08/2020,17/11/2020,363
20,Dividendo,"0,065000",05/08/2020,06/08/2020,16/03/2021,363
21,Dividendo,"0,230000",29/04/2020,30/04/2020,17/06/2020,363
22,Dividendo,"0,230000",29/04/2020,30/04/2020,18/08/2020,363
23,Dividendo,"0,230000",29/04/2020,30/04/2020,17/11/2020,363
24,Dividendo,"0,230000",29/04/2020,30/04/2020,16/03/2021,363
25,Dividendo,"0,030000",30/04/2018,03/05/2018,15/03/2019,363
26,Dividendo,"0,067500",29/04/2016,06/05/2016,31/08/2016,363
27,JCP,"0,120000",01/01/2016,06/01/2016,31/05/2016,363
28,JCP,"0,120000",30/12/2015,06/01/2016,31/05/2016,363
29,Dividendo,"0,087500",01/05/2015,18/05/2015,30/06/2015,363
30,Dividendo,"0,920000",01/05/2014,02/05/2014,28/11/2014,363
31,Dividendo,"* 0,025556",01/05/2012,02/05/2012,31/10/2012,363
32,Dividendo,"* 0,034444",29/04/2011,17/05/2011,29/07/2011,363
33,Dividendo,"* 0,025833",29/04/2009,04/05/2009,30/11/2009,363
