,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"0,818900",29/04/2024,03/05/2024,21/06/2024,386
1,Dividendo,"1,209330",28/04/2023,04/05/2023,06/10/2023,386
2,Dividendo,"0,858000",30/04/2020,04/05/2020,05/06/2020,386
3,Dividendo,"0,480900",28/03/2019,29/03/2019,24/05/2019,386
4,Dividendo,"0,450800",17/04/2018,18/04/2018,14/06/2018,386
5,Dividendo,"0,367900",20/04/2017,24/04/2017,16/06/2017,386
6,Dividendo,"0,264200",25/04/2016,26/04/2016,21/06/2016,386
7,Dividendo,"0,456100",23/04/2015,24/04/2015,23/06/2015,386
8,Dividendo,"0,185700",24/04/2014,30/04/2014,18/06/2014,386
9,Dividendo,"0,100000",10/04/1996,11/04/1996,17/04/1996,386
