,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,JCP,"0,065353",16/12/2022,--,15/02/2022,330
1,JCP,"0,135563",03/07/2024,04/07/2024,15/08/2024,330
2,JCP,"0,049415",03/01/2024,04/01/2024,15/02/2024,330
3,JCP,"0,076965",04/12/2023,05/12/2023,15/02/2024,330
4,JCP,"0,133814",04/08/2023,07/08/2023,15/08/2023,330
5,JCP,"0,049232",04/01/2023,05/01/2023,15/02/2023,330
6,JCP,"0,104416",04/08/2022,05/08/2022,15/08/2022,330
7,JCP,"0,049104",05/01/2022,06/01/2022,15/02/2022,330
8,JCP,"0,022597",20/12/2021,21/12/2021,06/01/2022,330
9,JCP,"0,056635",05/08/2021,06/08/2021,12/08/2021,330
10,JCP,"* 0,051886",06/01/2021,07/01/2021,05/02/2021,330
11,JCP,"* 0,049120",22/07/2020,23/07/2020,05/02/2021,330
12,JCP,"* 0,051702",06/01/2020,07/01/2020,17/02/2020,330
13,JCP,"* 0,059584",08/08/2019,09/08/2019,15/08/2019,330
14,JCP,"* 0,057722",07/01/2019,10/01/2019,28/02/2019,330
15,JCP,"* 0,056125",13/08/2018,15/08/2018,22/08/2018,330
16,JCP,"* 0,057100",04/01/2018,05/01/2018,07/03/2018,330
17,JCP,"* 0,057249",05/07/2017,31/08/2017,31/08/2017,330
18,JCP,"* 0,080593",04/01/2017,05/01/2017,12/01/2017,330
19,JCP,"* 0,046925",05/07/2016,11/07/2016,09/11/2016,330
20,JCP,"* 0,045275",29/12/2015,30/12/2015,20/06/2016,330
21,Dividendo,"* 0,004350",11/08/2015,12/08/2015,20/08/2015,330
22,JCP,"* 0,038850",06/07/2015,07/07/2015,20/08/2015,330
23,Dividendo,"* 0,009775",02/03/2015,03/03/2015,10/03/2015,330
24,Dividendo,"* 0,013503",11/08/2014,12/08/2014,20/08/2014,330
25,JCP,"* 0,027791",11/08/2014,12/08/2014,20/08/2014,330
26,Dividendo,"* 0,012173",21/02/2014,24/02/2014,11/03/2014,330
27,JCP,"* 0,022736",25/12/2013,26/12/2013,11/03/2014,330
28,Dividendo,"* 0,005568",09/08/2013,12/08/2013,20/08/2013,330
29,JCP,"* 0,023482",09/08/2013,12/08/2013,20/08/2013,330
