,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"6,499916",13/08/2024,14/08/2024,30/08/2024,322
1,Dividendo,"12,021845",02/04/2024,03/04/2024,11/04/2024,322
2,JCP,"0,060070",27/12/2023,28/12/2023,10/01/2024,322
3,JCP,"0,021143",26/09/2023,27/09/2023,06/10/2023,322
4,Dividendo,"3,249958",24/03/2023,27/03/2023,04/04/2023,322
5,JCP,"0,139783",24/03/2023,27/03/2023,04/04/2023,322
6,Dividendo,"9,343629",03/11/2022,04/11/2022,14/11/2022,322
7,JCP,"0,195993",23/09/2022,26/09/2022,04/10/2022,322
8,JCP,"0,077840",24/06/2022,27/06/2022,05/07/2022,322
9,Dividendo,"0,839119",24/03/2022,25/03/2022,04/04/2022,322
10,Dividendo,"4,719190",24/03/2022,25/03/2022,04/04/2022,322
11,JCP,"0,129115",24/03/2022,25/03/2022,04/04/2022,322
12,JCP,"0,239250",09/12/2021,10/12/2021,20/12/2021,322
13,Dividendo,"11,948091",09/12/2021,10/12/2021,20/12/2021,322
14,Dividendo,"0,907625",05/02/2021,08/02/2021,17/02/2021,322
15,Dividendo,"0,311108",05/02/2021,08/02/2021,17/02/2021,322
16,JCP,"0,226169",09/12/2020,10/12/2020,18/12/2020,322
17,Dividendo,"7,898725",09/12/2020,10/12/2020,18/12/2020,322
18,Dividendo,"1,104231",31/01/2020,03/02/2020,10/02/2020,322
19,JCP,"1,340236",09/12/2019,10/12/2019,27/12/2019,322
20,Dividendo,"14,909552",09/12/2019,10/12/2019,27/12/2019,322
21,JCP,"0,085795",04/01/2019,07/01/2019,17/01/2019,322
22,JCP,"1,069015",05/12/2018,06/12/2018,18/12/2018,322
23,Dividendo,"3,724066",09/11/2018,12/11/2018,23/11/2018,322
24,JCP,"1,400952",26/12/2017,27/12/2017,08/01/2018,322
25,Dividendo,"5,795993",10/11/2017,13/11/2017,23/11/2017,322
26,Dividendo,"3,382885",20/02/2017,21/02/2017,03/03/2017,322
27,JCP,"1,400500",20/12/2016,21/12/2016,29/12/2016,322
28,Dividendo,"10,419000",18/02/2016,19/02/2016,26/02/2016,322
29,Dividendo,"1,176200",17/12/2015,18/12/2015,29/12/2015,322
30,JCP,"1,587700",17/12/2015,18/12/2015,29/12/2015,322
31,Dividendo,"2,895300",30/04/2015,04/05/2015,11/05/2015,322
32,JCP,"1,281100",11/12/2014,12/12/2014,30/12/2014,322
33,Dividendo,"0,437000",28/04/2014,29/04/2014,19/05/2014,322
34,JCP,"1,010700",11/12/2013,12/12/2013,19/05/2014,322
35,Dividendo,"1,159100",04/12/2012,05/12/2012,27/12/2012,322
36,JCP,"0,638100",04/12/2012,05/12/2012,27/12/2012,322
37,JCP,"0,047900",15/12/2011,16/12/2011,31/01/2012,322
38,JCP,"0,095900",16/11/2011,17/11/2011,15/12/2011,322
39,JCP,"0,143800",27/10/2011,28/10/2011,30/11/2011,322
40,JCP,"0,339600",28/06/2011,29/06/2011,29/07/2011,322
41,Dividendo,"0,752100",29/04/2011,02/05/2011,31/05/2011,322
42,JCP,"0,080500",16/12/2010,17/12/2010,31/01/2011,322
43,JCP,"0,085400",25/10/2010,26/10/2010,30/11/2010,322
44,Dividendo,"0,449300",25/10/2010,26/10/2010,17/12/2010,322
45,JCP,"0,085400",27/08/2010,30/08/2010,30/09/2010,322
46,JCP,"0,309300",30/06/2010,01/07/2010,30/07/2010,322
47,Dividendo,"0,690900",26/04/2010,27/04/2010,30/06/2010,322
48,Dividendo,"0,988400",26/04/2010,27/04/2010,31/08/2010,322
49,Dividendo,"0,898500",26/04/2010,27/04/2010,30/11/2010,322
50,Dividendo,"0,252500",29/03/2010,30/03/2010,31/05/2010,322
51,JCP,"0,037300",30/12/2009,04/01/2010,29/01/2010,322
52,JCP,"0,578200",08/12/2009,09/12/2009,23/12/2009,322
53,Dividendo,"0,448200",23/04/2009,24/04/2009,30/11/2009,322
54,Dividendo,"0,449200",23/04/2009,24/04/2009,31/08/2009,322
55,Dividendo,"0,898500",23/04/2009,24/04/2009,30/06/2009,322
56,Dividendo,"0,563400",10/04/2008,11/04/2008,22/08/2008,322
57,Dividendo,"0,441200",16/10/2007,17/10/2007,26/11/2007,322
58,Dividendo,"4,133500",09/08/2007,10/08/2007,27/08/2007,322
59,Dividendo,"21,469400",26/04/2007,27/04/2007,26/11/2007,322
60,Dividendo,"15,994900",16/11/2006,17/11/2006,30/11/2006,322
61,Dividendo,"13,677700",28/04/2006,02/05/2006,15/05/2006,322
62,Dividendo,"4,493000",28/11/2005,29/11/2005,13/12/2005,322
63,Dividendo,"8,985900",12/09/2005,13/09/2005,23/09/2005,322
64,Dividendo,"13,791300",25/04/2005,26/04/2005,17/05/2005,322
65,Dividendo,"2,287400",29/04/2004,30/04/2004,17/05/2004,322
66,Dividendo,"2,381000",25/04/2003,28/04/2003,13/05/2003,322
67,Dividendo,"1,432800",26/04/2002,29/04/2002,15/05/2002,322
68,Dividendo,"0,947700",26/04/2001,27/04/2001,14/05/2001,322
69,Dividendo,"0,155500",27/04/1998,28/04/1998,26/06/1998,322
