,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"0,004738",20/11/2019,21/11/2019,29/11/2019,1
1,Dividendo,"0,033692",20/08/2019,21/08/2019,29/08/2019,1
2,Dividendo,"0,055537",21/05/2019,22/05/2019,30/05/2019,1
3,Dividendo,"0,026387",04/04/2019,05/04/2019,15/04/2019,1
4,Dividendo,"0,081225",16/11/2018,19/11/2018,27/11/2018,1
5,Dividendo,"0,109115",20/08/2018,21/08/2018,29/08/2018,1
6,Dividendo,"0,110791",17/05/2018,18/05/2018,28/05/2018,1
7,Dividendo,"0,090548",22/03/2018,23/03/2018,03/04/2018,1
8,Dividendo,"0,104508",16/11/2017,17/11/2017,27/11/2017,1
9,Dividendo,"0,127761",17/08/2017,18/08/2017,28/08/2017,1
10,Dividendo,"0,115454",18/05/2017,19/05/2017,29/05/2017,1
11,Dividendo,"0,077310",28/03/2017,29/03/2017,10/04/2017,1
12,Dividendo,"0,106700",17/08/2016,18/08/2016,25/08/2016,1
13,Dividendo,"0,123200",12/05/2016,13/05/2016,30/05/2016,1
14,Dividendo,"0,043400",15/03/2016,16/03/2016,28/03/2016,1
15,Dividendo,"0,046000",12/11/2015,13/11/2015,19/11/2015,1
16,Dividendo,"0,061100",12/08/2015,13/08/2015,21/08/2015,1
17,Dividendo,"0,054400",12/05/2015,13/05/2015,12/06/2015,1
18,Dividendo,"0,340700",03/07/2014,04/07/2014,26/09/2014,1
19,Dividendo,"0,340700",03/07/2014,04/07/2014,20/08/2014,1
20,Dividendo,"1,117200",03/07/2014,04/07/2014,21/07/2014,1
21,Dividendo,"0,243200",13/05/2014,14/05/2014,26/05/2014,1
22,Dividendo,"0,103400",18/03/2014,19/03/2014,31/03/2014,1
23,Dividendo,"0,113600",07/11/2013,08/11/2013,21/11/2013,1
24,Dividendo,"0,088300",08/08/2013,09/08/2013,30/08/2013,1
25,Dividendo,"0,152700",14/05/2013,15/05/2013,07/06/2013,1
26,Dividendo,"0,056700",19/04/2013,22/04/2013,30/04/2013,1
27,Dividendo,"0,167200",20/03/2013,21/03/2013,15/04/2013,1
28,Dividendo,"0,056500",25/06/2009,26/06/2009,15/09/2009,1
29,Dividendo,"0,060700",03/04/2009,06/04/2009,15/04/2009,1
