,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"0,460000",17/09/2024,18/09/2024,17/02/2025,95
1,Dividendo,"1,600000",04/07/2024,05/07/2024,16/07/2024,95
2,Dividendo,"0,470000",05/12/2023,06/12/2023,03/01/2024,95
3,Dividendo,"0,700000",16/12/2022,19/12/2022,09/01/2023,95
4,Dividendo,"0,470000",14/07/2022,15/07/2022,25/07/2022,95
5,Dividendo,"0,690000",19/05/2021,20/05/2021,11/06/2021,95
6,Dividendo,"0,810000",09/10/2020,13/10/2020,21/10/2020,95
7,Dividendo,"0,500000",14/10/2019,15/10/2019,23/10/2019,95
8,Dividendo,"0,380000",14/03/2019,15/03/2019,25/03/2019,95
9,Dividendo,"0,612289",01/10/2018,02/10/2018,11/10/2018,95
10,Dividendo,"0,270648",07/07/2016,08/07/2016,19/07/2016,95
11,Dividendo,"0,270600",22/07/2015,23/07/2015,06/08/2015,95
12,Dividendo,"0,181800",28/04/2015,29/04/2015,15/05/2015,95
13,Dividendo,"0,236800",13/11/2014,14/11/2014,28/11/2014,95
14,Dividendo,"0,372400",30/04/2014,02/05/2014,12/05/2014,95
15,Dividendo,"0,363900",30/04/2013,02/05/2013,29/05/2013,95
16,Dividendo,"0,270900",12/03/2012,13/03/2012,29/06/2012,95
17,Dividendo,"0,301900",05/01/2011,06/01/2011,01/03/2011,95
18,Dividendo,"0,141000",26/04/2010,27/04/2010,17/05/2010,95
