,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"0,007600",26/11/2007,--,04/12/2007,395
1,Dividendo,"2,065000",13/05/2020,--,28/05/2021,395
2,Dividendo,"10,320000",01/04/2020,--,16/04/2020,395
3,JCP,"1,000000",27/04/2015,--,01/11/2016,395
4,Dividendo,"0,036347",01/05/2012,--,30/08/2012,395
5,Dividendo,"0,036300",30/04/2012,--,30/08/2012,395
6,Dividendo,"0,250000",02/05/2011,--,27/07/2011,395
7,Dividendo,"0,390000",18/11/2010,--,13/12/2010,395
8,Dividendo,"0,077700",30/04/2010,--,31/08/2010,395
9,JCP,"0,195100",26/12/2008,--,21/12/2009,395
10,JCP,"0,243700",15/08/2008,--,21/12/2009,395
11,Dividendo,"0,500000",02/05/2011,23/06/2023,--,395
