,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,JCP,"0,160000",17/05/2010,--,17/05/2010,256
1,Dividendo,"0,080000",09/08/2024,12/08/2024,21/08/2024,256
2,Dividendo,"0,190000",15/05/2024,16/05/2024,28/05/2024,256
3,Dividendo,"0,050000",01/03/2024,04/03/2024,13/03/2024,256
4,Dividendo,"0,930000",17/11/2023,20/11/2023,14/12/2023,256
5,Dividendo,"0,260000",18/08/2023,21/08/2023,30/08/2023,256
6,JCP,"0,250000",15/05/2023,16/05/2023,30/05/2023,256
7,Dividendo,"0,050000",15/05/2023,16/05/2023,30/05/2023,256
8,Dividendo,"0,100000",14/03/2023,15/03/2023,24/03/2023,256
9,Dividendo,"0,270000",21/11/2022,22/11/2022,15/12/2022,256
10,JCP,"0,230000",21/11/2022,22/11/2022,15/12/2022,256
11,Dividendo,"0,360000",15/08/2022,16/08/2022,26/08/2022,256
12,Dividendo,"0,090000",16/05/2022,17/05/2022,26/05/2022,256
13,JCP,"0,200000",16/05/2022,17/05/2022,26/05/2022,256
14,Dividendo,"0,100000",07/03/2022,08/03/2022,17/03/2022,256
15,Dividendo,"1,440000",05/11/2021,08/11/2021,17/11/2021,256
16,JCP,"0,110000",05/11/2021,08/11/2021,17/11/2021,256
17,JCP,"0,120000",27/09/2021,28/09/2021,17/11/2021,256
18,Dividendo,"0,080000",27/09/2021,28/09/2021,17/11/2021,256
19,Dividendo,"0,280000",16/08/2021,17/08/2021,27/08/2021,256
20,Dividendo,"0,210000",14/05/2021,17/05/2021,27/05/2021,256
21,JCP,"0,080000",11/03/2021,12/03/2021,26/03/2021,256
22,JCP,"0,090000",21/12/2020,22/12/2020,26/03/2021,256
23,Dividendo,"0,070000",06/11/2020,09/11/2020,19/11/2020,256
24,Dividendo,"0,020000",28/02/2020,02/03/2020,12/03/2020,256
25,Dividendo,"0,020000",11/11/2019,12/11/2019,26/11/2019,256
26,Dividendo,"0,040000",16/08/2019,19/08/2019,29/08/2019,256
27,Dividendo,"0,040000",17/05/2019,20/05/2019,30/05/2019,256
28,Dividendo,"0,050000",06/03/2019,07/03/2019,18/03/2019,256
29,JCP,"0,070000",21/08/2018,22/08/2018,31/08/2018,256
30,Dividendo,"0,040000",21/05/2018,22/05/2018,01/06/2018,256
31,Dividendo,"0,020000",21/11/2017,22/11/2017,01/12/2017,256
32,Dividendo,"0,020000",24/08/2015,25/08/2015,04/09/2015,256
33,Dividendo,"0,020000",21/05/2015,22/05/2015,02/06/2015,256
34,Dividendo,"0,070000",16/03/2015,17/03/2015,26/03/2015,256
35,Dividendo,"0,040000",17/11/2014,18/11/2014,27/11/2014,256
36,Dividendo,"0,070000",11/08/2014,12/08/2014,21/08/2014,256
37,JCP,"0,110000",21/05/2014,22/05/2014,30/05/2014,256
38,Dividendo,"0,080000",05/03/2014,06/03/2014,17/03/2014,256
