,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"0,060100",23/05/2024,24/05/2024,04/06/2024,134
1,Dividendo,"0,060100",23/05/2024,24/05/2024,04/12/2024,134
2,JCP,"0,020100",27/09/2022,28/09/2022,22/11/2023,134
3,JCP,"0,060300",28/06/2022,29/06/2022,22/11/2023,134
4,JCP,"0,060100",30/03/2022,31/03/2022,22/05/2023,134
5,JCP,"0,409700",21/12/2021,22/12/2021,03/05/2022,134
6,JCP,"0,030200",29/09/2021,30/09/2021,03/05/2022,134
7,JCP,"0,030100",29/06/2021,30/06/2021,03/05/2022,134
8,JCP,"0,405800",30/11/2020,01/12/2020,07/05/2021,134
9,JCP,"0,477100",30/12/2019,02/01/2020,30/04/2020,134
10,JCP,"0,030000",30/09/2019,01/10/2019,29/05/2022,134
11,JCP,"0,032600",27/06/2019,28/06/2019,29/05/2020,134
12,Dividendo,"* 0,005175",30/04/2019,02/05/2019,10/05/2019,134
13,JCP,"* 0,055575",27/03/2019,28/03/2019,10/05/2019,134
14,JCP,"* 0,330150",20/12/2018,21/12/2018,10/05/2019,134
15,JCP,"* 0,058687",26/09/2018,27/09/2018,10/05/2019,134
16,JCP,"* 0,048888",27/06/2018,28/06/2018,10/05/2019,134
17,JCP,"* 0,217825",27/04/2018,30/04/2018,09/05/2018,134
18,JCP,"* 0,072125",28/12/2017,02/01/2018,03/05/2018,134
19,JCP,"* 0,048650",27/09/2017,28/09/2017,03/05/2018,134
20,JCP,"* 0,048650",28/06/2017,29/06/2017,03/05/2018,134
21,JCP,"* 0,048400",28/03/2017,29/03/2017,03/05/2018,134
22,JCP,"* 0,057925",28/06/2016,29/06/2016,28/04/2017,134
23,JCP,"* 0,115850",22/03/2016,23/03/2016,28/04/2017,134
24,JCP,"* 0,093625",11/09/2015,14/09/2015,18/04/2016,134
25,JCP,"* 0,086425",11/06/2015,12/06/2015,18/04/2016,134
26,JCP,"* 0,079213",11/03/2015,12/03/2015,18/04/2016,134
27,JCP,"* 0,063637",11/12/2014,12/12/2014,23/04/2015,134
28,JCP,"* 0,063637",11/09/2014,12/09/2014,23/04/2015,134
29,JCP,"* 0,063637",11/06/2014,13/06/2014,23/04/2015,134
30,JCP,"* 0,063637",11/03/2014,12/03/2014,23/04/2015,134
31,JCP,"* 0,225288",11/12/2013,12/12/2013,10/04/2014,134
32,Dividendo,"* 0,145000",12/04/2013,15/04/2013,26/04/2013,134
33,Dividendo,"* 0,145000",30/04/2012,02/05/2012,22/05/2012,134
34,Dividendo,"* 0,136250",02/05/2011,03/05/2011,10/05/2011,134
35,Dividendo,"* 0,078750",26/04/2010,27/04/2010,17/05/2010,134
36,Dividendo,"* 0,055000",24/04/2009,27/04/2009,06/05/2009,134
37,Dividendo,"* 0,085000",22/04/2008,23/04/2008,15/05/2008,134
38,Dividendo,"* 0,091250",18/04/2007,19/04/2007,07/05/2007,134
39,Dividendo,"* 0,037500",18/04/2006,19/04/2006,10/05/2006,134
40,Dividendo,"* 0,056250",19/04/2005,20/04/2005,10/05/2005,134
41,Dividendo,"* 0,021250",26/04/2004,27/04/2004,05/05/2004,134
42,Dividendo,"* 0,035000",25/04/2003,29/04/2003,26/05/2003,134
43,Dividendo,"* 0,023750",19/04/2002,25/04/2002,06/05/2002,134
44,Dividendo,"* 0,030000",25/04/2001,26/04/2001,08/05/2001,134
45,Dividendo,"* 0,025000",17/04/2000,18/04/2000,04/05/2000,134
46,Dividendo,"* 0,018750",05/04/1999,06/04/1999,22/04/1999,134
