,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"0,072206",18/04/2024,19/04/2024,30/07/2024,374
1,Dividendo,"0,072206",18/04/2024,19/04/2024,30/10/2024,374
2,Dividendo,"0,072206",18/04/2024,19/04/2024,30/04/2024,374
3,Dividendo,"0,071800",23/02/2024,26/02/2024,04/03/2024,374
4,Dividendo,"0,039218",20/04/2023,24/04/2023,15/09/2023,374
5,Dividendo,"0,039218",20/04/2023,24/04/2023,15/06/2023,374
6,Dividendo,"0,039218",20/04/2023,24/04/2023,15/12/2023,374
7,Dividendo,"0,039200",03/03/2023,06/03/2023,15/03/2023,374
8,Dividendo,"0,048759",29/04/2022,23/09/2022,10/11/2022,374
9,Dividendo,"0,048759",29/04/2022,02/05/2022,10/05/2022,374
10,Dividendo,"0,048759",29/04/2022,02/05/2022,10/08/2022,374
