,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"0,483089",12/04/2023,17/04/2023,28/04/2023,355
1,Dividendo,"2,911122",26/04/2022,27/04/2022,29/12/2022,355
2,Dividendo,"2,372356",14/04/2021,16/04/2021,31/12/2021,355
3,Dividendo,"0,179418",28/07/2020,29/07/2020,30/11/2020,355
4,Dividendo,"0,831303",03/04/2019,09/04/2019,30/09/2019,355
5,Dividendo,"0,190100",05/04/2018,26/04/2018,02/10/2018,355
6,Dividendo,"0,186100",28/04/2015,03/09/2015,26/10/2015,355
7,Dividendo,"0,290500",24/04/2014,28/04/2014,20/10/2014,355
8,Dividendo,"0,349600",10/04/2013,16/05/2013,03/06/2013,355
9,Dividendo,"0,308100",25/04/2012,29/05/2012,11/07/2012,355
10,Dividendo,"0,519300",29/04/2011,03/05/2011,18/07/2011,355
11,Dividendo,"0,226900",28/04/2010,19/05/2010,04/06/2010,355
12,Dividendo,"0,506100",07/04/2009,05/05/2009,31/07/2009,355
13,Dividendo,"0,288798",25/03/2008,27/03/2008,08/08/2008,355
