,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,JCP,"0,150000",10/10/2024,11/10/2024,22/11/2024,214
1,JCP,"0,081430",08/07/2024,09/07/2024,15/07/2024,214
2,JCP,"0,080045",11/04/2024,12/04/2024,18/04/2024,214
3,JCP,"0,208096",08/01/2024,09/01/2024,15/01/2024,214
4,JCP,"0,100634",31/07/2023,01/08/2023,10/08/2023,214
5,JCP,"0,061549",30/01/2023,31/01/2023,08/02/2023,214
6,JCP,"0,060000",30/06/2016,01/07/2016,15/07/2016,214
7,JCP,"0,162900",31/03/2016,01/04/2016,15/04/2016,214
8,JCP,"0,198500",04/01/2016,05/01/2016,18/01/2016,214
9,JCP,"0,180900",30/09/2015,01/10/2015,15/10/2015,214
10,JCP,"0,164100",30/06/2015,01/07/2015,15/07/2015,214
11,JCP,"0,145500",31/03/2015,01/04/2015,15/04/2015,214
12,JCP,"0,120000",30/12/2014,02/01/2015,15/01/2015,214
13,JCP,"0,142500",30/09/2014,01/10/2014,10/10/2014,214
14,Dividendo,"0,027600",30/06/2014,01/07/2014,17/07/2014,214
15,JCP,"0,141400",30/06/2014,01/07/2014,17/07/2014,214
16,JCP,"0,136600",01/04/2014,02/04/2014,14/04/2014,214
17,Dividendo,"0,028700",01/04/2014,02/04/2014,14/04/2014,214
18,Dividendo,"0,129100",30/12/2013,02/01/2014,13/01/2014,214
19,JCP,"0,146300",30/12/2013,02/01/2014,13/01/2014,214
20,JCP,"0,143600",30/09/2013,01/10/2013,14/10/2013,214
21,Dividendo,"0,131900",30/09/2013,01/10/2013,14/10/2013,214
22,Dividendo,"0,130200",28/06/2013,01/07/2013,12/07/2013,214
23,JCP,"0,143300",28/06/2013,01/07/2013,12/07/2013,214
24,Dividendo,"0,000100",18/04/2013,19/04/2013,29/04/2013,214
25,JCP,"0,000100",18/04/2013,19/04/2013,29/04/2013,214
26,Dividendo,"0,139200",28/03/2013,01/04/2013,10/04/2013,214
27,JCP,"0,138800",28/03/2013,01/04/2013,10/04/2013,214
28,JCP,"0,150100",28/12/2012,02/01/2013,11/01/2013,214
29,Dividendo,"0,128600",28/12/2012,02/01/2013,11/01/2013,214
30,JCP,"0,143000",28/09/2012,01/10/2012,11/10/2012,214
31,Dividendo,"0,161700",28/09/2012,01/10/2012,11/10/2012,214
32,Dividendo,"0,100000",29/06/2012,02/07/2012,12/07/2012,214
33,JCP,"0,152900",29/06/2012,02/07/2012,12/07/2012,214
34,Dividendo,"0,001100",30/03/2012,02/04/2012,12/04/2012,214
35,JCP,"0,150700",30/03/2012,02/04/2012,12/04/2012,214
36,JCP,"0,165800",29/12/2011,02/01/2012,12/01/2012,214
37,Dividendo,"0,310200",29/12/2011,02/01/2012,12/01/2012,214
38,JCP,"0,155900",30/09/2011,03/10/2011,13/10/2011,214
39,Dividendo,"0,022600",30/09/2011,03/10/2011,13/10/2011,214
40,Dividendo,"0,084400",30/06/2011,01/07/2011,12/07/2011,214
41,JCP,"0,153600",30/06/2011,01/07/2011,12/07/2011,214
42,Dividendo,"0,027100",31/03/2011,01/04/2011,11/04/2011,214
43,JCP,"0,151400",31/03/2011,01/04/2011,11/04/2011,214
44,JCP,"0,150700",30/12/2010,03/01/2011,11/01/2011,214
45,Dividendo,"0,087600",30/12/2010,03/01/2011,11/01/2011,214
46,JCP,"0,149600",30/09/2010,01/10/2010,13/10/2010,214
47,Dividendo,"0,090400",30/09/2010,01/10/2010,13/10/2010,214
48,Dividendo,"0,092600",30/06/2010,01/07/2010,13/07/2010,214
49,JCP,"0,147400",30/06/2010,01/07/2010,13/07/2010,214
50,JCP,"0,145300",31/03/2010,01/04/2010,13/04/2010,214
51,Dividendo,"0,034700",31/03/2010,01/04/2010,13/04/2010,214
52,Dividendo,"0,027700",30/12/2009,04/01/2010,13/01/2010,214
53,JCP,"0,152300",30/12/2009,04/01/2010,13/01/2010,214
54,Dividendo,"0,029900",30/09/2009,01/10/2009,13/10/2009,214
55,JCP,"0,150100",30/09/2009,01/10/2009,13/10/2009,214
56,Dividendo,"0,085800",30/06/2009,01/07/2009,14/07/2009,214
57,JCP,"0,153300",30/06/2009,01/07/2009,14/07/2009,214
58,Dividendo,"0,146200",31/03/2009,01/04/2009,13/04/2009,214
59,JCP,"0,149300",31/03/2009,01/04/2009,13/04/2009,214
60,Dividendo,"0,084300",30/12/2008,02/01/2009,13/01/2009,214
61,JCP,"0,149800",30/12/2008,02/01/2009,13/01/2009,214
62,JCP,"0,145700",30/09/2008,01/10/2008,13/10/2008,214
63,JCP,"0,139400",30/06/2008,01/07/2008,11/07/2008,214
64,JCP,"0,135600",30/04/2008,02/05/2008,13/05/2008,214
65,Dividendo,"0,035300",29/01/2008,30/01/2008,15/02/2008,214
66,JCP,"0,240300",17/01/2008,18/01/2008,01/02/2008,214
67,JCP,"0,180300",20/07/2007,23/07/2007,06/08/2007,214
