,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"0,144192",25/04/2023,26/04/2023,23/06/2023,336
1,Dividendo,"0,057170",26/04/2022,27/04/2022,24/06/2023,336
2,Dividendo,"0,009985",23/04/2021,26/04/2021,22/06/2021,336
3,Dividendo,"0,009054",23/04/2020,24/04/2020,22/06/2020,336
4,Dividendo,"0,237000",26/04/2016,27/04/2016,16/05/2016,336
5,Dividendo,"0,383000",24/04/2015,27/04/2015,13/05/2015,336
6,Dividendo,"0,524200",23/04/2014,24/04/2014,23/06/2014,336
7,Dividendo,"0,418200",09/12/2013,10/12/2013,19/12/2013,336
8,Dividendo,"0,668600",29/04/2013,30/04/2013,20/06/2013,336
9,Dividendo,"0,343700",27/04/2012,30/04/2012,20/06/2013,336
10,Dividendo,"0,350300",13/04/2011,14/04/2011,10/06/2011,336
11,Dividendo,"0,135800",29/04/2010,30/04/2010,26/05/2010,336
12,Dividendo,"0,404900",15/04/2009,16/04/2009,13/05/2009,336
13,Dividendo,"0,022000",17/04/2008,18/04/2008,25/04/2008,336
14,JCP,"0,175000",19/12/2007,20/12/2007,10/01/2008,336
15,Dividendo,"0,003800",30/04/2007,02/05/2007,30/05/2007,336
