,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,Dividendo,"0,018061",29/04/2024,30/04/2024,10/09/2024,174
1,Dividendo,"0,018061",29/04/2024,30/04/2024,22/05/2024,174
2,Dividendo,"0,080779",24/04/2024,25/04/2024,10/09/2024,174
3,Dividendo,"0,080779",24/04/2024,25/04/2024,22/05/2024,174
4,Dividendo,"0,068639",26/04/2023,27/04/2023,25/05/2023,174
5,Dividendo,"0,068639",26/04/2023,27/04/2023,30/09/2023,174
6,Dividendo,"0,109822",26/04/2022,27/04/2022,30/09/2022,174
7,Dividendo,"0,109822",26/04/2022,27/04/2022,17/05/2022,174
8,Dividendo,"0,120956",23/04/2021,26/04/2021,04/05/2021,174
9,Dividendo,"0,120956",23/04/2021,26/04/2021,06/07/2021,174
10,Dividendo,"0,107171",23/04/2020,24/04/2020,07/07/2020,174
11,Dividendo,"0,107171",23/04/2020,24/04/2020,30/04/2020,174
12,Dividendo,"0,068438",26/04/2019,29/04/2019,19/09/2019,174
13,Dividendo,"0,068438",26/04/2019,29/04/2019,09/05/2019,174
14,Dividendo,"* 0,041918",27/04/2018,30/04/2018,25/09/2018,174
15,Dividendo,"* 0,041918",27/04/2018,30/04/2018,17/05/2018,174
16,Dividendo,"* 0,041918",27/04/2018,30/04/2018,17/05/2018,174
17,Dividendo,"* 0,032515",27/04/2017,28/04/2017,27/09/2017,174
18,Dividendo,"* 0,032515",27/04/2017,28/04/2017,07/07/2017,174
19,Dividendo,"* 0,031350",27/04/2016,28/04/2016,24/05/2016,174
20,Dividendo,"* 0,031350",27/04/2016,28/04/2016,28/09/2016,174
21,Dividendo,"* 0,064700",27/04/2015,28/04/2015,24/09/2015,174
22,Dividendo,"* 0,064700",27/04/2015,28/04/2015,22/05/2015,174
23,Dividendo,"* 0,030550",14/04/2014,15/04/2014,29/08/2014,174
24,Dividendo,"* 0,030550",14/04/2014,15/04/2014,31/05/2014,174
25,Dividendo,"* 0,024250",22/04/2013,23/04/2013,30/08/2013,174
26,Dividendo,"* 0,056850",29/04/2011,02/05/2011,20/12/2011,174
27,Dividendo,"* 0,070850",16/04/2010,19/04/2010,04/10/2010,174
28,Dividendo,"* 0,032250",10/12/2008,11/12/2008,18/12/2008,174
29,Dividendo,"* 0,033100",14/04/2008,15/04/2008,25/04/2008,174
