,Tipo,Valor,Registro,Ex,Pagamento,ticker
0,JCP,"0,200526",08/11/2024,11/11/2024,27/11/2024,325
1,JCP,"0,220000",15/07/2024,16/07/2024,27/08/2024,325
2,JCP,"0,229173",08/02/2024,09/02/2024,23/02/2024,325
3,JCP,"0,229173",10/11/2023,13/11/2023,27/11/2023,325
4,JCP,"0,269500",28/04/2023,02/05/2023,27/06/2023,325
5,Dividendo,"0,169400",28/04/2023,02/05/2023,27/06/2023,325
6,JCP,"0,286466",06/01/2023,09/01/2023,27/02/2023,325
7,JCP,"0,143232",17/10/2022,18/10/2022,28/11/2022,325
8,JCP,"0,094534",06/07/2022,07/07/2022,26/08/2022,325
9,Dividendo,"0,293550",23/06/2022,24/06/2022,29/06/2022,325
10,JCP,"0,094534",04/04/2022,05/04/2022,18/05/2022,325
11,JCP,"0,128920",07/01/2022,11/01/2022,25/02/2022,325
12,JCP,"0,083070",08/10/2021,13/10/2021,26/11/2021,325
13,JCP,"0,083070",05/07/2021,06/07/2021,27/08/2021,325
14,Dividendo,"0,378550",30/04/2021,03/05/2021,29/06/2021,325
15,JCP,"0,083070",06/04/2021,07/04/2021,26/04/2021,325
16,Dividendo,"0,351700",30/04/2020,04/05/2020,31/12/2020,325
17,Dividendo,"0,208570",30/04/2019,02/05/2019,20/05/2019,325
18,Dividendo,"0,086020",29/04/2016,02/05/2016,24/06/2016,325
19,Dividendo,"5,194340",17/09/2015,18/09/2015,13/11/2015,325
20,Dividendo,"1,790470",30/04/2015,04/05/2015,29/05/2015,325
21,Dividendo,"1,074249",30/04/2014,02/05/2014,24/06/2014,325
22,Dividendo,"2,005300",17/12/2013,18/12/2013,24/01/2014,325
23,Dividendo,"2,148490",30/04/2013,02/05/2013,20/05/2013,325
24,Dividendo,"2,222000",16/02/2012,17/02/2012,12/03/2012,325
25,Dividendo,"0,174680",29/04/2011,02/05/2011,12/05/2011,325
26,Dividendo,"1,765500",07/10/2010,08/10/2010,19/10/2010,325
27,Dividendo,"0,907280",30/04/2010,03/05/2010,08/06/2010,325
28,Dividendo,"0,430760",30/04/2009,04/05/2009,25/06/2009,325
29,Dividendo,"2,501730",27/01/2009,28/01/2009,09/02/2009,325
30,Dividendo,"0,716100",21/01/2008,22/01/2008,30/01/2008,325
31,Dividendo,"0,794200",18/12/2006,19/12/2006,27/12/2006,325
