"","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Ano"
"2024","0,59%","0,53%","0,29%","0,32%","0,44%","0,46%","0,30%","0,09%","0,33%","--","--","--","3,40%"
"2023","0,61%","0,38%","0,66%","0,46%","0,48%","-0,25%","0,11%","-0,19%","0,27%","0,27%","0,42%","0,14%","3,41%"
"2022","0,42%","0,33%","0,86%","1,53%","0,35%","0,71%","-0,28%","-1,18%","-0,08%","0,50%","0,64%","0,44%","4,30%"
"2021","0,41%","0,35%","0,98%","0,44%","0,61%","0,57%","0,83%","0,75%","1,19%","1,05%","0,93%","0,84%","9,32%"
"2020","0,52%","0,21%","0,12%","0,13%","-0,60%","0,04%","0,49%","0,48%","0,64%","0,77%","0,72%","1,21%","4,82%"
"2019","0,58%","0,26%","0,58%","0,69%","0,35%","-0,07%","0,16%","0,23%","-0,04%","-0,05%","0,20%","0,84%","3,79%"
"2018","0,56%","0,28%","0,14%","0,31%","0,26%","1,09%","0,44%","0,05%","0,28%","0,51%","0,09%","0,04%","4,12%"
"2017","0,64%","0,39%","0,38%","0,33%","0,29%","-0,08%","0,04%","0,33%","-0,09%","0,28%","0,28%","0,30%","3,13%"
"2016","1,48%","1,19%","0,58%","0,39%","0,65%","0,33%","0,29%","0,40%","0,16%","0,17%","0,26%","0,20%","6,26%"
"2015","1,35%","1,14%","1,42%","0,75%","0,68%","0,83%","0,60%","0,24%","0,32%","0,64%","0,90%","0,92%","10,23%"
"2014","0,87%","0,70%","0,82%","0,82%","0,68%","0,34%","0,15%","0,02%","0,42%","0,46%","0,53%","0,76%","6,77%"
"2013","0,98%","0,30%","0,72%","0,60%","0,33%","0,39%","-0,07%","0,09%","0,27%","0,43%","0,65%","0,69%","5,51%"
"2012","0,97%","0,27%","0,48%","0,55%","0,49%","0,17%","0,25%","0,33%","0,49%","0,58%","0,33%","0,73%","5,79%"
"2011","1,08%","0,67%","0,62%","0,78%","0,90%","-0,12%","-0,13%","0,21%","0,59%","0,26%","0,43%","0,71%","6,16%"
"2010","1,00%","0,88%","0,83%","0,73%","0,49%","-0,18%","-0,17%","-0,27%","0,34%","0,56%","0,81%","0,92%","6,09%"
"2009","0,75%","0,40%","0,43%","0,58%","0,42%","0,17%","0,34%","0,16%","0,28%","0,03%","0,14%","0,20%","3,97%"
"2008","0,96%","0,26%","0,19%","0,76%","0,68%","0,89%","0,65%","0,23%","-0,06%","0,25%","0,52%","0,58%","6,07%"
"2007","0,81%","0,43%","0,45%","0,37%","0,20%","0,35%","0,34%","0,39%","0,21%","0,28%","0,04%","0,67%","4,63%"
"2006","0,70%","0,11%","0,22%","0,22%","0,07%","-0,44%","-0,08%","0,13%","0,18%","0,10%","0,27%","0,39%","1,88%"
"2005","0,80%","0,51%","0,66%","0,80%","1,02%","0,05%","0,12%","-0,32%","-0,17%","0,42%","0,46%","0,52%","4,97%"
"2004","0,84%","0,53%","0,46%","0,31%","0,59%","0,76%","0,67%","0,80%","0,15%","0,05%","0,30%","0,58%","6,21%"
"2003","2,06%","1,62%","1,10%","1,28%","0,83%","0,10%","0,07%","0,18%","0,63%","0,39%","0,31%","0,41%","9,33%"
"2002","0,82%","0,29%","0,33%","0,72%","0,30%","0,39%","0,90%","0,91%","0,67%","0,91%","2,51%","2,55%","11,87%"
"2001","0,62%","0,42%","0,47%","0,74%","0,63%","0,40%","1,10%","0,90%","0,13%","0,52%","0,85%","0,70%","7,74%"
"2000","1,17%","0,05%","0,34%","0,45%","0,43%","0,00%","1,02%","1,66%","0,14%","0,00%","0,14%","0,61%","6,16%"
