,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 25,95 B","- R$ 6,33 B","- R$ 17,39 B","R$ 2,14 B",8
1,31/03/2024,"R$ 26,01 B","- R$ 6,46 B","- R$ 17,40 B","R$ 787,53 M",8
2,31/12/2023,"R$ 24,71 B","- R$ 5,77 B","- R$ 16,12 B","R$ 1,21 B",8
3,30/09/2023,"R$ 22,57 B","- R$ 4,60 B","- R$ 16,81 B","R$ 138,61 M",8
4,30/06/2023,"R$ 20,76 B","- R$ 5,04 B","- R$ 16,33 B","- R$ 1,60 B",8
5,31/03/2023,"R$ 19,55 B","- R$ 5,78 B","- R$ 14,63 B","- R$ 739,47 M",8
6,31/12/2022,"R$ 20,64 B","- R$ 5,00 B","- R$ 16,34 B","- R$ 1,75 B",8
7,30/09/2022,"R$ 20,66 B","- R$ 6,59 B","- R$ 14,18 B","- R$ 470,73 M",8
8,30/06/2022,"R$ 20,95 B","- R$ 7,42 B","- R$ 13,10 B","R$ 435,40 M",8
9,31/03/2022,"R$ 20,58 B","- R$ 6,32 B","- R$ 16,98 B","- R$ 4,49 B",8
10,31/12/2021,"R$ 22,90 B","- R$ 7,73 B","- R$ 16,04 B","- R$ 493,15 M",8
11,30/09/2021,"R$ 19,47 B","- R$ 6,70 B","- R$ 15,10 B","- R$ 3,24 B",8
12,30/06/2021,"R$ 20,15 B","- R$ 6,89 B","- R$ 16,11 B","- R$ 3,57 B",8
13,31/03/2021,"R$ 20,15 B","- R$ 6,85 B","- R$ 10,23 B","R$ 4,08 B",8
14,31/12/2020,"R$ 18,86 B","- R$ 6,80 B","- R$ 8,60 B","R$ 5,19 B",8
15,30/09/2020,"R$ 20,10 B","- R$ 7,06 B","- R$ 9,37 B","R$ 5,96 B",8
16,30/06/2020,"R$ 16,57 B","- R$ 6,05 B","- R$ 9,78 B","R$ 2,55 B",8
17,31/03/2020,"R$ 17,85 B","- R$ 6,13 B","- R$ 12,05 B","R$ 381,95 M",8
18,31/12/2019,"R$ 18,38 B","- R$ 4,84 B","- R$ 12,28 B","R$ 437,14 M",8
19,30/09/2019,"R$ 17,10 B","- R$ 4,22 B","- R$ 9,54 B","R$ 2,81 B",8
20,30/06/2019,"R$ 18,95 B","- R$ 3,57 B","- R$ 11,04 B","R$ 3,58 B",8
21,31/03/2019,"R$ 19,05 B","- R$ 500,50 M","- R$ 13,98 B","R$ 4,87 B",8
22,31/12/2018,"R$ 17,91 B","- R$ 3,68 B","- R$ 13,22 B","R$ 1,11 B",8
23,30/09/2018,"R$ 18,03 B","- R$ 3,48 B","- R$ 11,77 B","R$ 3,86 B",8
24,30/06/2018,"R$ 17,33 B","- R$ 3,13 B","- R$ 13,10 B","R$ 1,89 B",8
25,31/03/2018,"R$ 16,68 B","- R$ 6,02 B","- R$ 10,49 B","R$ 724,21 M",8
26,31/12/2017,"R$ 17,87 B","- R$ 3,07 B","- R$ 12,86 B","R$ 2,48 B",8
27,30/09/2017,"R$ 16,91 B","- R$ 3,35 B","- R$ 11,92 B","R$ 1,29 B",8
28,30/06/2017,"R$ 16,89 B","- R$ 3,54 B","- R$ 10,20 B","R$ 3,18 B",8
29,31/03/2017,"R$ 16,54 B","- R$ 4,14 B","- R$ 10,81 B","R$ 1,22 B",8
30,31/12/2016,"R$ 12,34 B","- R$ 5,90 B","- R$ 11,65 B","- R$ 5,74 B",8
31,30/09/2016,"R$ 15,40 B","- R$ 6,90 B","- R$ 10,71 B","- R$ 2,43 B",8
32,30/06/2016,"R$ 16,34 B","- R$ 7,44 B","- R$ 10,54 B","- R$ 1,16 B",8
33,31/03/2016,"R$ 18,13 B","- R$ 7,16 B","- R$ 12,21 B","- R$ 772,41 M",8
34,31/12/2015,"R$ 23,58 B","- R$ 6,00 B","- R$ 15,33 B","R$ 3,99 B",8
35,30/09/2015,"R$ 21,36 B","- R$ 5,00 B","- R$ 14,01 B","R$ 4,09 B",8
36,30/06/2015,"R$ 18,81 B","- R$ 4,98 B","- R$ 14,43 B","R$ 681,97 M",8
37,31/03/2015,"R$ 17,55 B","- R$ 5,03 B","- R$ 14,43 B","- R$ 515,96 M",8
38,31/12/2014,"R$ 15,90 B","- R$ 4,77 B","- R$ 13,14 B","- R$ 1,92 B",8
39,30/09/2014,"R$ 15,39 B","- R$ 4,47 B","- R$ 10,63 B","R$ 250,55 M",8
40,30/06/2014,"R$ 16,87 B","- R$ 4,36 B","- R$ 11,08 B","R$ 1,25 B",8
41,31/03/2014,"R$ 15,89 B","- R$ 4,23 B","- R$ 8,42 B","R$ 3,30 B",8
42,31/12/2013,"R$ 15,25 B","- R$ 3,80 B","- R$ 9,39 B","R$ 2,31 B",8
43,30/09/2013,"R$ 2,69 B","R$ 2,20 B","- R$ 5,23 B","- R$ 503,70 M",8
44,30/06/2013,"- R$ 813,88 M","R$ 1,94 B","- R$ 2,12 B","- R$ 1,26 B",8
45,31/03/2013,"R$ 73,09 M","- R$ 4,12 M","- R$ 56,04 M","R$ 12,93 M",8
46,31/12/2012,"R$ 34,74 M","R$ 0,00","- R$ 56,04 M","- R$ 21,30 M",8
