,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 3,61 B","R$ 2,18 B","R$ 21,23",102.683.444,0,0,102.683.444,3.067.987,0,0,3.067.987,99.615.457,0,99.615.457,209
1,31/03/2024,"R$ 3,34 B","R$ 1,96 B","R$ 19,06",102.683.444,0,0,102.683.444,3.067.987,0,0,3.067.987,99.615.457,0,99.615.457,209
2,31/12/2023,"R$ 3,28 B","R$ 1,98 B","R$ 19,24",102.683.444,0,0,102.683.444,3.067.987,0,0,3.067.987,99.615.457,0,99.615.457,209
3,30/09/2023,"R$ 3,46 B","R$ 2,25 B","R$ 21,92",102.683.444,0,0,102.683.444,3.067.987,0,0,3.067.987,99.615.457,0,99.615.457,209
4,30/06/2023,"R$ 3,51 B","R$ 2,20 B","R$ 21,46",102.377.008,0,0,102.377.008,3.571.179,0,0,3.571.179,98.805.829,0,98.805.829,209
5,31/03/2023,"R$ 3,33 B","R$ 2,04 B","R$ 19,91",102.377.008,0,0,102.377.008,3.571.179,0,0,3.571.179,98.805.829,0,98.805.829,209
6,31/12/2022,"R$ 3,37 B","R$ 2,05 B","R$ 20,04",102.377.008,0,0,102.377.008,3.571.179,0,0,3.571.179,98.805.829,0,98.805.829,209
7,30/09/2022,"R$ 3,48 B","R$ 2,27 B","R$ 22,21",102.377.008,0,0,102.377.008,3.571.179,0,0,3.571.179,98.805.829,0,98.805.829,209
8,30/06/2022,"R$ 3,35 B","R$ 2,22 B","R$ 21,65",102.377.009,0,0,102.377.009,3.533.499,0,0,3.533.499,98.843.510,0,98.843.510,209
9,31/03/2022,"R$ 3,49 B","R$ 2,47 B","R$ 24,12",102.377.008,0,0,102.377.008,3.185.087,0,0,3.185.087,99.191.921,0,99.191.921,209
10,31/12/2021,"R$ 3,63 B","R$ 2,45 B","R$ 23,95",102.377.008,0,0,102.377.008,3.185.087,0,0,3.185.087,99.191.921,0,99.191.921,209
11,30/09/2021,"R$ 3,57 B","R$ 2,32 B","R$ 22,71",102.377.008,0,0,102.377.008,3.185.087,0,0,3.185.087,99.191.921,0,99.191.921,209
12,30/06/2021,"R$ 3,43 B","R$ 2,18 B","R$ 21,32",102.377.008,0,0,102.377.008,3.185.087,0,0,3.185.087,99.191.921,0,99.191.921,209
13,31/03/2021,"R$ 2,86 B","R$ 1,73 B","R$ 21,09",82.104.301,0,0,82.104.301,3.185.087,0,0,3.185.087,78.919.214,0,78.919.214,209
14,31/12/2020,"R$ 2,18 B","R$ 1,15 B","R$ 18,48",62.104.301,0,0,62.104.301,3.185.087,0,0,3.185.087,58.919.214,0,58.919.214,209
15,30/09/2020,"R$ 2,14 B","R$ 1,20 B","R$ 19,40",62.104.301,0,0,62.104.301,2.761.820,0,0,2.761.820,59.342.481,0,59.342.481,209
16,30/06/2020,"R$ 2,04 B","R$ 1,12 B","R$ 18,06",62.104.301,0,0,62.104.301,2.761.820,0,0,2.761.820,59.342.481,0,59.342.481,209
17,31/03/2020,"R$ 1,93 B","R$ 1,10 B","R$ 17,77",62.104.301,0,0,62.104.301,2.761.820,0,0,2.761.820,59.342.481,0,59.342.481,209
18,31/12/2019,"R$ 1,52 B","R$ 942,97 M","R$ 16,58",56.888.916,0,0,56.888.916,2.938.506,0,0,2.938.506,53.950.410,0,53.950.410,209
19,30/09/2019,"R$ 1,47 B","R$ 938,85 M","R$ 16,50",56.888.916,0,0,56.888.916,3.086.748,0,0,3.086.748,53.802.168,0,53.802.168,209
20,30/06/2019,"R$ 1,36 B","R$ 880,53 M","R$ 15,48",56.888.916,0,0,56.888.916,3.086.748,0,0,3.086.748,53.802.168,0,53.802.168,209
21,31/03/2019,"R$ 1,31 B","R$ 888,38 M","R$ 15,62",56.888.916,0,0,56.888.916,3.086.748,0,0,3.086.748,53.802.168,0,53.802.168,209
22,31/12/2018,"R$ 1,29 B","R$ 882,81 M","R$ 15,52",56.888.916,0,0,56.888.916,3.086.748,0,0,3.086.748,53.802.168,0,53.802.168,209
23,30/09/2018,"R$ 1,30 B","R$ 900,16 M","R$ 15,82",56.888.916,0,0,56.888.916,3.086.748,0,0,3.086.748,53.802.168,0,53.802.168,209
24,30/06/2018,"R$ 1,18 B","R$ 755,86 M","R$ 13,29",56.888.916,0,0,56.888.916,3.086.748,0,0,3.086.748,53.802.168,0,53.802.168,209
25,31/03/2018,"R$ 975,08 M","R$ 716,98 M","R$ 12,60",56.888.916,0,0,56.888.916,3.086.748,0,0,3.086.748,53.802.168,0,53.802.168,209
26,31/12/2017,"R$ 920,31 M","R$ 693,77 M","R$ 12,20",56.888.916,0,0,56.888.916,3.086.748,0,0,3.086.748,53.802.168,0,53.802.168,209
27,30/09/2017,"R$ 885,41 M","R$ 684,07 M","R$ 12,02",56.888.916,0,0,56.888.916,3.086.748,0,0,3.086.748,53.802.168,0,53.802.168,209
28,30/06/2017,"R$ 883,29 M","R$ 667,47 M","R$ 11,73",56.888.916,0,0,56.888.916,3.304.856,0,0,3.304.856,53.584.060,0,53.584.060,209
29,31/03/2017,"R$ 848,55 M","R$ 656,97 M","R$ 11,55",56.888.916,0,0,56.888.916,2.539.856,0,0,2.539.856,54.349.060,0,54.349.060,209
30,31/12/2016,"R$ 820,75 M","R$ 656,43 M","R$ 11,54",56.888.916,0,0,56.888.916,2.459.727,0,0,2.459.727,54.429.189,0,54.429.189,209
31,30/09/2016,"R$ 852,82 M","R$ 691,54 M","R$ 12,16",56.888.916,0,0,56.888.916,2.006.527,0,0,2.006.527,54.882.389,0,54.882.389,209
32,30/06/2016,"R$ 853,53 M","R$ 686,02 M","R$ 11,78",58.226.600,0,0,58.226.600,3.334.421,0,0,3.334.421,54.892.179,0,54.892.179,209
33,31/03/2016,"R$ 896,65 M","R$ 733,36 M","R$ 12,59",58.226.600,0,0,58.226.600,1.860.611,0,0,1.860.611,56.365.989,0,56.365.989,209
34,31/12/2015,"R$ 913,04 M","R$ 774,82 M","R$ 13,31",58.226.600,0,0,58.226.600,694.811,0,0,694.811,57.531.789,0,57.531.789,209
35,30/09/2015,"R$ 1,00 B","R$ 818,26 M","R$ 14,05",58.226.600,0,0,58.226.600,566.700,0,0,566.700,57.659.900,0,57.659.900,209
36,30/06/2015,"R$ 1,02 B","R$ 752,11 M","R$ 12,92",58.226.600,0,0,58.226.600,20.000,0,0,20.000,58.206.600,0,58.206.600,209
37,31/03/2015,"R$ 867,51 M","R$ 634,12 M","R$ 10,89",58.226.600,0,0,58.226.600,0,0,0,0,58.226.600,0,58.226.600,209
38,31/12/2014,"R$ 807,65 M","R$ 599,92 M","R$ 10,27",58.422.400,0,0,58.422.400,195.800,0,0,195.800,58.226.600,0,58.226.600,209
39,30/09/2014,"R$ 790,38 M","R$ 592,93 M","R$ 10,15",58.422.400,0,0,58.422.400,195.800,0,0,195.800,58.226.600,0,58.226.600,209
40,30/06/2014,"R$ 828,38 M","R$ 583,91 M","R$ 9,99",58.422.400,0,0,58.422.400,195.800,0,0,195.800,58.226.600,0,58.226.600,209
41,31/03/2014,"R$ 809,97 M","R$ 581,77 M","R$ 9,96",58.422.400,0,0,58.422.400,195.800,0,0,195.800,58.226.600,0,58.226.600,209
42,31/12/2013,"R$ 793,94 M","R$ 584,32 M","R$ 10,00",58.422.400,0,0,58.422.400,195.800,0,0,195.800,58.226.600,0,58.226.600,209
43,30/09/2013,"R$ 759,22 M","R$ 583,29 M","R$ 9,98",58.422.400,0,0,58.422.400,95.900,0,0,95.900,58.326.500,0,58.326.500,209
44,30/06/2013,"R$ 770,83 M","R$ 586,99 M","R$ 10,05",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
45,31/03/2013,"R$ 730,72 M","R$ 569,32 M","R$ 9,74",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
46,31/12/2012,"R$ 729,16 M","R$ 573,08 M","R$ 9,81",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
47,30/09/2012,"R$ 729,37 M","R$ 556,50 M","R$ 9,53",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
48,30/06/2012,"R$ 735,76 M","R$ 558,97 M","R$ 9,57",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
49,31/03/2012,"R$ 748,48 M","R$ 583,63 M","R$ 9,99",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
50,31/12/2011,"R$ 735,27 M","R$ 586,48 M","R$ 10,04",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
51,30/09/2011,"R$ 763,29 M","R$ 587,26 M","R$ 10,05",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
52,30/06/2011,"R$ 751,27 M","R$ 570,32 M","R$ 9,76",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
53,31/03/2011,"R$ 739,88 M","R$ 459,36 M","R$ 7,86",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
54,31/12/2010,"R$ 713,39 M","R$ 449,31 M","R$ 7,69",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
55,30/09/2010,"R$ 713,59 M","R$ 446,77 M","R$ 7,65",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
56,30/06/2010,"R$ 733,80 M","R$ 560,92 M","R$ 9,60",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
57,31/03/2010,"R$ 727,70 M","R$ 575,98 M","R$ 9,86",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
58,31/12/2009,"R$ 681,30 M","R$ 576,80 M","R$ 9,87",58.422.400,0,0,58.422.400,0,0,0,0,58.422.400,0,58.422.400,209
