,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"7,01%","7,16%","10,63%","10,86%","13,08%","8,50%","34,91%","23,93%","24,45%","31,74%","0,36","1,70","0,70","2,63"
1,30/06/2024,"4,47%","4,57%","6,77%","6,92%","10,33%","6,47%","29,45%","21,42%","17,55%","25,12%","0,30","1,65","0,65","3,28"
2,31/03/2024,"4,02%","4,11%","6,10%","6,23%","11,62%","7,10%","27,98%","21,58%","15,46%","23,53%","0,33","1,71","0,71","3,35"
3,31/12/2023,"5,53%","5,66%","8,37%","8,57%","14,27%","8,69%","29,37%","24,12%","18,66%","25,95%","0,36","1,66","0,66","2,71"
4,30/09/2023,"6,35%","6,53%","9,63%","9,89%","11,28%","7,37%","30,65%","20,86%","20,17%","27,88%","0,35","1,54","0,54","1,52"
5,30/06/2023,"7,09%","7,33%","10,75%","11,11%","12,12%","8,03%","30,76%","20,98%","21,55%","28,46%","0,38","1,60","0,60","1,34"
6,31/03/2023,"1,52%","1,62%","2,31%","2,45%","2,31%","1,63%","14,46%","4,93%","5,37%","12,52%","0,33","1,64","0,64","4,73"
7,31/12/2022,"5,39%","5,60%","8,16%","8,48%","21,22%","14,33%","23,11%","40,35%","15,40%","21,80%","0,36","1,64","0,64","2,10"
8,30/09/2022,"19,07%","19,81%","28,90%","30,01%","19,54%","12,73%","39,39%","26,43%","33,72%","37,24%","0,48","1,53","0,53","0,37"
9,30/06/2022,"22,12%","22,94%","33,51%","34,76%","23,83%","15,17%","40,44%","27,11%","35,97%","40,28%","0,56","1,51","0,51","0,35"
10,31/03/2022,"23,65%","24,71%","35,83%","37,45%","32,95%","19,95%","44,42%","29,88%","39,54%","45,31%","0,67","1,41","0,41","0,08"
11,31/12/2021,"29,81%","31,78%","45,17%","48,15%","27,68%","14,60%","46,53%","16,83%","41,71%","47,53%","0,87","1,48","0,48","-0,13"
12,30/09/2021,"17,63%","18,97%","26,72%","28,74%","29,05%","16,34%","37,88%","24,05%","31,65%","44,52%","0,68","1,54","0,54","-0,61"
13,30/06/2021,"15,17%","16,09%","22,98%","24,37%","28,32%","15,54%","40,27%","26,02%","32,29%","41,30%","0,60","1,57","0,57","-0,39"
14,31/03/2021,"13,64%","14,30%","20,67%","21,66%","10,83%","6,18%","41,46%","11,42%","34,26%","28,51%","0,54","1,65","0,65","0,95"
15,31/12/2020,"8,77%","8,94%","13,28%","13,55%","12,68%","7,89%","30,80%","14,84%","22,06%","14,58%","0,53","1,90","0,90","4,15"
16,30/09/2020,"9,27%","9,41%","14,04%","14,26%","16,47%","10,49%","30,53%","20,17%","22,62%","12,45%","0,52","1,78","0,78","4,17"
17,30/06/2020,"9,86%","10,03%","14,94%","15,20%","13,58%","8,81%","31,39%","16,95%","23,30%","14,75%","0,52","1,82","0,82","4,76"
