,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 509,84 M","R$ 134,28 M","R$ 15,72",8.407.000,135.0,135.0,8.542.000,0.0,1.0,1.0,1.0,8.407.000,134.0,8.541.000,396
1,31/03/2024,"R$ 513,38 M","R$ 113,78 M","R$ 13,32",8.407.000,135.0,135.0,8.542.000,0.0,1.0,1.0,1.0,8.407.000,134.0,8.541.000,396
2,31/12/2023,"R$ 449,98 M","R$ 80,54 M","R$ 9,43",8.407.000,135.0,135.0,8.542.000,0.0,1.0,1.0,1.0,8.407.000,134.0,8.541.000,396
3,30/09/2023,"R$ 371,54 M","R$ 16,70 M","R$ 1,96",8.407.000,135.0,135.0,8.542.000,0.0,1.0,1.0,1.0,8.407.000,134.0,8.541.000,396
4,30/06/2023,"R$ 367,48 M","R$ 8,58 M","R$ 1,00",8.407.000,135.0,135.0,8.542.000,0.0,1.0,1.0,1.0,8.407.000,134.0,8.541.000,396
5,31/03/2023,"R$ 361,86 M","R$ 7,24 M","R$ 0,85",8.407.000,135.0,135.0,8.542.000,0.0,1.0,1.0,1.0,8.407.000,134.0,8.541.000,396
6,31/12/2022,"R$ 331,42 M","- R$ 5,69 M","- R$ 0,67",8.407.000,135.0,135.0,8.542.000,0.0,1.0,1.0,1.0,8.407.000,134.0,8.541.000,396
7,30/09/2022,"R$ 290,09 M","- R$ 80,88 M","- R$ 9,47",8.407.000,136.0,136.0,8.543.000,0.0,1.0,1.0,1.0,8.407.000,135.0,8.542.000,396
8,30/06/2022,"R$ 310,83 M","- R$ 66,64 M","- R$ 7,80",8.407.000,136.0,136.0,8.543.000,0.0,1.0,1.0,1.0,8.407.000,135.0,8.542.000,396
9,31/03/2022,"R$ 299,85 M","- R$ 58,87 M","- R$ 6,89",8.407.000,136.0,136.0,8.543.000,0.0,1.0,1.0,1.0,8.407.000,135.0,8.542.000,396
10,31/12/2021,"R$ 313,58 M","- R$ 70,71 M","- R$ 8,28",8.407.000,136.0,136.0,8.543.000,0.0,1.0,1.0,1.0,8.407.000,135.0,8.542.000,396
11,30/09/2021,"R$ 281,96 M","- R$ 48,06 M","- R$ 5,63",8.407.000,136.0,136.0,8.543.000,0.0,1.0,1.0,1.0,8.407.000,135.0,8.542.000,396
12,30/06/2021,"R$ 279,24 M","- R$ 42,76 M","- R$ 5,00",8.407.000,136.0,136.0,8.543.000,0.0,1.0,1.0,1.0,8.407.000,135.0,8.542.000,396
13,31/03/2021,"R$ 281,48 M","- R$ 25,05 M","- R$ 2,93",8.407.000,136.0,136.0,8.543.000,0.0,1.0,1.0,1.0,8.407.000,135.0,8.542.000,396
14,31/12/2020,"R$ 303,49 M","R$ 3,61 M","R$ 0,42",8.407.000,136.0,136.0,8.543.000,0.0,1.0,1.0,1.0,8.407.000,135.0,8.542.000,396
15,30/09/2020,"R$ 257,29 M","R$ 12,17 M","R$ 1,42",8.407.000,136.0,136.0,8.543.000,0.0,1.0,1.0,1.0,8.407.000,135.0,8.542.000,396
16,30/06/2020,"R$ 245,93 M","R$ 9,17 M","R$ 1,07",8.407.000,135.0,135.0,8.542.000,0.0,1.0,1.0,1.0,8.407.000,134.0,8.541.000,396
17,31/03/2020,"R$ 268,00 M","R$ 21,68 M","R$ 2,88",7.390.000,131.0,131.0,7.521.000,0.0,1.0,1.0,1.0,7.390.000,130.0,7.520.000,396
18,31/12/2019,"R$ 262,64 M","R$ 27,22 M","R$ 3,62",7.390.000,131.0,131.0,7.521.000,0.0,1.0,1.0,1.0,7.390.000,130.0,7.520.000,396
19,30/09/2019,"R$ 240,83 M","R$ 14,71 M","R$ 1,96",7.390.000,131.0,131.0,7.521.000,0.0,1.0,1.0,1.0,7.390.000,130.0,7.520.000,396
20,30/06/2019,"R$ 247,07 M","R$ 16,27 M","R$ 2,16",7.390.000,131.0,131.0,7.521.000,0.0,1.0,1.0,1.0,7.390.000,130.0,7.520.000,396
21,31/03/2019,"R$ 245,57 M","R$ 17,34 M","R$ 2,31",7.390.000,131.0,131.0,7.521.000,0.0,1.0,1.0,1.0,7.390.000,130.0,7.520.000,396
22,31/12/2018,"R$ 255,27 M","R$ 40,05 M","R$ 5,32",7.390.000,132.0,132.0,7.522.000,0.0,1.0,1.0,1.0,7.390.000,131.0,7.521.000,396
23,30/09/2018,"R$ 268,90 M","R$ 70,73 M","R$ 9,40",7.390.000,132.0,132.0,7.522.000,0.0,1.0,1.0,1.0,7.390.000,131.0,7.521.000,396
24,30/06/2018,"R$ 260,30 M","R$ 57,35 M","R$ 11,08",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
25,31/03/2018,"R$ 277,92 M","R$ 71,83 M","R$ 13,88",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
26,31/12/2017,"R$ 285,12 M","R$ 87,56 M","R$ 16,91",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
27,30/09/2017,"R$ 268,15 M","R$ 47,87 M","R$ 9,25",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
28,30/06/2017,"R$ 259,05 M","R$ 40,07 M","R$ 7,74",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
29,31/03/2017,"R$ 264,02 M","R$ 38,83 M","R$ 7,50",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
30,31/12/2016,"R$ 266,61 M","R$ 54,02 M","R$ 10,43",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
31,30/09/2016,"R$ 271,48 M","R$ 103,78 M","R$ 20,05",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
32,30/06/2016,"R$ 272,39 M","R$ 119,64 M","R$ 23,11",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
33,31/03/2016,"R$ 282,22 M","R$ 101,59 M","R$ 19,62",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
34,31/12/2015,"R$ 363,27 M","R$ 116,14 M","R$ 22,43",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
35,30/09/2015,"R$ 477,13 M","R$ 123,18 M","R$ 23,79",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
36,30/06/2015,"R$ 472,86 M","R$ 123,25 M","R$ 23,81",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
37,31/03/2015,"R$ 486,90 M","R$ 84,32 M","R$ 16,29",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
38,31/12/2014,"R$ 311,78 M","R$ 88,46 M","R$ 17,09",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
39,30/09/2014,"R$ 299,96 M","R$ 72,86 M","R$ 14,07",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
40,30/06/2014,"R$ 290,75 M","R$ 69,07 M","R$ 13,34",5.064.000,113.0,113.0,5.177.000,0.0,1.0,1.0,1.0,5.064.000,112.0,5.176.000,396
41,31/03/2014,"R$ 303,29 M","R$ 71,82 M","R$ 15,71",4.460.000,113.0,113.0,4.573.000,0.0,1.0,1.0,1.0,4.460.000,112.0,4.572.000,396
42,31/12/2013,"R$ 300,05 M","R$ 83,31 M","R$ 18,22",4.460.000,113.0,113.0,4.573.000,0.0,1.0,1.0,1.0,4.460.000,112.0,4.572.000,396
43,30/09/2013,"R$ 298,22 M","R$ 68,46 M","R$ 14,97",4.460.000,113.0,113.0,4.573.000,0.0,1.0,1.0,1.0,4.460.000,112.0,4.572.000,396
44,30/06/2013,"R$ 272,05 M","R$ 62,25 M","R$ 13,61",4.460.000,113.0,113.0,4.573.000,0.0,1.0,1.0,1.0,4.460.000,112.0,4.572.000,396
45,31/03/2013,"R$ 274,49 M","R$ 65,69 M","R$ 14,36",4.460.000,113.0,113.0,4.573.000,0.0,1.0,1.0,1.0,4.460.000,112.0,4.572.000,396
46,31/12/2012,"R$ 288,30 M","R$ 75,90 M","R$ 16,60",4.460.000,113.0,113.0,4.573.000,0.0,1.0,1.0,1.0,4.460.000,112.0,4.572.000,396
47,30/09/2012,"R$ 283,86 M","R$ 56,50 M","R$ 12,35",4.460.000,114.0,114.0,4.574.000,5.0,16.0,16.0,21.0,4.455.000,98.0,4.553.000,396
48,30/06/2012,"R$ 272,51 M","R$ 60,47 M","R$ 13,28",4.455.000,98.0,98.0,4.553.000,5.0,16.0,16.0,21.0,4.450.000,82.0,4.532.000,396
49,31/03/2012,"R$ 267,91 M","R$ 70,87 M","R$ 15,56",4.455.000,98.0,98.0,4.553.000,5.0,16.0,16.0,21.0,4.450.000,82.0,4.532.000,396
50,31/12/2011,"R$ 278,92 M","R$ 78,60 M","R$ 18,74",4.080.000,114.0,114.0,4.194.000,0.0,0.0,0.0,0.0,4.080.000,114.0,4.194.000,396
51,30/09/2011,"R$ 282,51 M","R$ 74,59 M","R$ 17,78",4.080.000,114.0,114.0,4.194.000,5.0,19.0,19.0,24.0,4.075.000,95.0,4.170.000,396
52,30/06/2011,"R$ 288,83 M","R$ 80,81 M","R$ 19,27",4.080.000,114.0,114.0,4.194.000,5.0,19.0,19.0,24.0,4.075.000,95.0,4.170.000,396
53,31/03/2011,"R$ 275,11 M","R$ 69,79 M","R$ 16,64",4.080.000,114.0,114.0,4.194.000,5.0,19.0,19.0,24.0,4.075.000,95.0,4.170.000,396
54,31/12/2010,"R$ 287,45 M","R$ 77,90 M","R$ 18,57",4.080.000,114.0,114.0,4.194.000,5.0,19.0,19.0,24.0,4.075.000,95.0,4.170.000,396
55,30/09/2010,"R$ 317,77 M","R$ 69,89 M","R$ 16,64",4.081.000,118.0,118.0,4.199.000,5.0,20.0,20.0,25.0,4.076.000,98.0,4.174.000,396
56,30/06/2010,"R$ 279,40 M","R$ 69,40 M","R$ 16,63",4.076.000,98.0,98.0,4.174.000,5.0,20.0,20.0,25.0,4.071.000,78.0,4.149.000,396
