,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"-28,69","1,72","0,40","1,47",NA,"0,23","2,98","-2,95","9,02","4,15","-0,25","1,22",NA,"0,71","R$ 614,18 M","0,00%"
1,30/09/2024,"-31,83","1,91","0,45","1,63",NA,"0,26","3,31","-3,27","9,35","4,30","-0,27","1,27",NA,"0,73","R$ 681,46 M","0,00%"
2,30/06/2024,"-21,01","2,25","0,54","1,86",NA,"0,30","4,08","-3,65","10,43","4,69","-0,32","1,39",NA,"0,77","R$ 798,65 M","0,00%"
3,31/03/2024,"-15,25","2,52","0,62","-3,47",NA,"0,36","4,85","-2,74","11,70","5,10","-0,36","1,51",NA,"0,86","R$ 887,63 M","0,00%"
4,31/12/2023,"-12,92","2,60","0,70","2,17",NA,"0,38","5,55","-2,76","12,66","5,36","-0,38","1,61",NA,"0,87","R$ 954,91 M","0,00%"
5,30/09/2023,"-8,20","2,33","0,69","0,77","4,60","0,34","6,36","-2,96","15,01","5,62","-0,36","1,62","10,85","0,81","R$ 887,73 M","0,00%"
6,30/06/2023,"-8,60","3,01","0,89","-5,74","0,96","0,41","8,96","-3,79","18,85","6,52","-0,42","1,88","2,02","0,87","R$ 1,10 B","0,00%"
7,31/03/2023,"-1,99","0,77","0,25","-2,14",NA,"0,11","3,05","-1,16","15,54","4,59","-0,11","1,28",NA,"0,56","R$ 295,91 M","0,00%"
8,31/12/2022,"-1,67","0,65","0,24","0,68",NA,"0,10","3,53","-0,42","19,79","4,90","-0,10","1,35",NA,"0,59","R$ 268,03 M","0,00%"
9,30/09/2022,"-2,81","1,01","0,43","-3,27","-3,12","0,18","6,74","-1,23","25,19","5,79","-0,18","1,61","-11,67","0,67","R$ 465,31 M","0,00%"
10,30/06/2022,"-3,40","1,23","0,60","-3,61","-3,56","0,24","15,59","-1,20","48,64","6,98","-0,24","1,88","-11,12","0,74","R$ 608,97 M","0,00%"
11,31/03/2022,"-3,85","1,53","0,85","-3,92",NA,"0,31","748,26","-1,49","1.980,86","8,76","-0,31","2,26",NA,"0,82","R$ 780,43 M","0,00%"
12,31/12/2021,"-3,83","1,54","1,02","3,29",NA,"0,33","-26,42","-2,07","-65,60","10,36","-0,35","2,55",NA,"0,83","R$ 855,76 M","0,00%"
13,30/09/2021,"-5,20","1,96","1,31","-6,83","-6,75","0,38","-121,90","-1,84","-295,11","10,26","-0,38","3,17","-16,35","0,92","R$ 989,10 M","0,00%"
14,30/06/2021,"-5,81","2,25","1,88","-5,61","-47,88","0,47","-41,56","-2,11","-89,31","11,78","-0,46","4,05","-102,90","1,01","R$ 1,25 B","0,00%"
15,31/03/2021,"-7,37","2,52","2,71","-5,62",NA,"0,57","-54,64","-3,11","-105,84","13,12","-0,59","5,25",NA,"1,10","R$ 1,55 B","0,00%"
16,31/12/2020,"-8,10","2,04","2,13","14,98",NA,"0,51","169,14","-2,28","344,71","10,65","-0,53","4,35",NA,"1,05","R$ 1,39 B","0,00%"
17,30/09/2020,"-11,95","2,78","2,59","-4,62","-5,93","0,55","80,43","-4,62","146,92","12,47","-0,60","4,74","-10,83","1,01","R$ 1,93 B","0,00%"
18,30/06/2020,"-18,99","2,35","2,03","-5,58","-5,72","0,57","21,99","-3,14","38,61","9,95","-0,61","3,56","-10,04","1,01","R$ 1,80 B","0,00%"
19,31/03/2020,"-28,41","2,71","1,38","-6,49","54,31","0,62","11,53","-5,31","23,22","8,34","-0,69","2,77","109,42","1,24","R$ 1,48 B","0,00%"
20,31/12/2019,"-35,39","2,71","1,43","4,02",NA,"0,64","11,23","-6,22","21,65","8,35","-0,73","2,75",NA,"1,23","R$ 1,54 B","0,00%"
