,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 5,21 B","R$ 1,21 B","R$ 1,11 B","- R$ 478,72 M","R$ 1,59 B","- R$ 317,07 M","- R$ 1,90",205
1,31/03/2024,"R$ 5,00 B","R$ 1,20 B","R$ 1,08 B","- R$ 441,69 M","R$ 1,52 B","- R$ 210,20 M","- R$ 1,26",205
2,31/12/2023,"R$ 4,87 B","R$ 1,16 B","R$ 902,46 M","- R$ 413,52 M","R$ 1,32 B","- R$ 56,80 M","- R$ 0,34",205
3,30/09/2023,"R$ 4,72 B","R$ 1,11 B","R$ 870,78 M","- R$ 394,63 M","R$ 1,27 B","- R$ 126,89 M","- R$ 1,12",205
4,30/06/2023,"R$ 4,52 B","R$ 1,06 B","R$ 800,14 M","- R$ 361,80 M","R$ 1,16 B","- R$ 114,66 M","- R$ 1,02",205
5,31/03/2023,"R$ 4,16 B","R$ 925,60 M","R$ 658,17 M","- R$ 354,84 M","R$ 1,01 B","- R$ 81,81 M","- R$ 0,72",205
6,31/12/2022,"R$ 3,79 B","R$ 840,57 M","R$ 711,88 M","- R$ 335,04 M","R$ 1,05 B","R$ 63,78 M","R$ 0,56",205
7,30/09/2022,"R$ 3,28 B","R$ 719,95 M","R$ 574,16 M","- R$ 308,84 M","R$ 883,00 M","R$ 92,13 M","R$ 0,82",205
8,30/06/2022,"R$ 2,92 B","R$ 606,06 M","R$ 476,41 M","- R$ 295,17 M","R$ 771,58 M","R$ 120,36 M","R$ 1,07",205
9,31/03/2022,"R$ 2,42 B","R$ 522,52 M","R$ 411,21 M","- R$ 236,70 M","R$ 647,91 M","R$ 159,13 M","R$ 1,41",205
10,31/12/2021,"R$ 1,92 B","R$ 416,56 M","R$ 328,74 M","- R$ 188,20 M","R$ 516,94 M","R$ 144,16 M","R$ 1,28",205
11,30/09/2021,"R$ 1,46 B","R$ 314,16 M","R$ 259,32 M","- R$ 135,46 M","R$ 394,79 M","R$ 135,38 M","R$ 1,20",205
12,30/06/2021,"R$ 1,02 B","R$ 228,32 M","R$ 186,06 M","- R$ 94,47 M","R$ 280,54 M","R$ 95,43 M","R$ 0,85",205
13,31/03/2021,"R$ 821,28 M","R$ 180,04 M","R$ 149,80 M","- R$ 80,22 M","R$ 230,02 M","R$ 66,82 M","R$ 0,59",205
14,31/12/2020,"R$ 701,61 M","R$ 158,79 M","R$ 129,13 M","- R$ 68,43 M","R$ 197,55 M","R$ 44,82 M","R$ 0,40",205
15,30/09/2020,"R$ 598,76 M","R$ 135,25 M","R$ 106,25 M","- R$ 61,69 M","R$ 167,94 M","R$ 19,75 M","R$ 0,17",205
16,30/06/2020,"R$ 547,99 M","R$ 124,84 M","R$ 101,71 M","- R$ 52,95 M","R$ 154,66 M","R$ 34,24 M","R$ 0,49",205
17,31/03/2020,"R$ 518,37 M","R$ 121,90 M","R$ 94,13 M","- R$ 47,55 M","R$ 141,67 M","R$ 33,40 M","R$ 0,48",205
18,31/12/2019,"R$ 484,39 M","R$ 109,52 M","R$ 84,64 M","- R$ 47,34 M","R$ 131,98 M","R$ 31,50 M","R$ 0,46",205
