,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"-1,30","-0,02","0,04","-2,60","-1,03","0,02","-0,40","-0,02","-17,16","-88,17","-0,01","1,82","-44,08","1,04","R$ 626,76 M","0,00%"
1,30/06/2024,"-0,62","-0,01","0,02","-1,24","-0,49","0,01","-0,19","-0,01","-16,95","-87,09","0,00","1,80","-43,54","1,03","R$ 297,83 M","0,00%"
2,31/03/2024,"2,38","-0,01","0,02","-0,45","-0,30","0,01","-0,14","-0,01","-12,12","-29,94","0,00","1,76","-26,66","1,02","R$ 297,83 M","0,00%"
3,31/12/2023,"-0,13","-0,01","0,02","-1,22","-0,52","0,01","-0,07","-0,01","-5,28","-7,87","0,00","1,48","-38,44","0,81","R$ 297,83 M","0,00%"
4,30/09/2023,"-0,04","-0,01","0,03","-0,08","-0,07","0,02","-0,06","-0,01","-2,81","-3,35","0,00","1,25","-3,52","0,94","R$ 451,26 M","0,00%"
5,30/06/2023,"-0,04","-0,02","0,02","-0,06","-0,06","0,02","-0,06","-0,01","-2,56","-3,11","-0,01","1,05","-2,60","0,83","R$ 451,26 M","0,00%"
6,31/03/2023,"-0,04","-0,02","0,02","-0,05","-0,05","0,02","-0,06","-0,01","-2,82","-3,54","-0,01","0,92","-2,31","0,80","R$ 451,26 M","0,00%"
7,31/12/2022,"-0,06","-0,03","0,03","-0,12","-0,11","0,02","-0,10","-0,02","-2,69","-3,39","-0,01","0,82","-3,08","0,67","R$ 767,15 M","0,00%"
8,30/09/2022,"268,12","0,78","0,41","-18,66","-9,97","0,24","9,82","0,93","23,88","8,94","-0,58","1,00","-24,25","0,59","R$ 11,50 B","4,91%"
9,30/06/2022,"24,34","0,80","0,42","92,46","-23,65","0,28","8,74","1,36","18,20","7,63","-0,62","0,87","-49,25","0,58","R$ 12,05 B","4,68%"
10,31/03/2022,"36,07","1,34","0,78","-23,98","-14,49","0,47","18,09","2,34","28,89","11,82","-1,04","1,24","-23,13","0,75","R$ 20,56 B","2,74%"
11,31/12/2021,"50,24","1,72","1,20","-33,09","-21,49","0,61","36,13","3,19","48,87","17,97","-1,36","1,63","-29,07","0,83","R$ 27,32 B","2,06%"
12,30/09/2021,"457,58","2,04","1,89",NA,NA,"0,74","73,79","3,14","94,57","29,12","-1,82","2,42",NA,"0,94","R$ 31,92 B","0,00%"
13,30/06/2021,"-196,25","2,68","3,16","-30,64","-28,19","0,98","226,32","3,20","266,67","56,83","-2,99","3,73","-33,21","1,16","R$ 42,12 B","0,00%"
14,31/03/2021,"-130,18","3,76","3,05","-112,04","-92,81","1,77","272,02","4,78","277,80","47,88","-11,05","3,11","-94,78","1,80","R$ 34,68 B","0,00%"
15,31/12/2020,"-164,48","3,65","3,42","-561,24","-304,26","1,53","191,98","3,32","198,23","45,75","-12,97","3,54","-314,15","1,58","R$ 34,67 B","0,00%"
16,30/09/2020,"-197,69","3,63","3,80","-100,17","-88,36","1,82","180,19","4,68","180,50","44,78","-16,15","3,81","-88,51","1,82","R$ 34,65 B","0,00%"
17,30/06/2020,"-138,84","5,83","3,99","67,41","73,97","1,98","214,02","6,38","233,06","49,33","-5,61","4,35","80,55","2,15","R$ 32,49 B","0,00%"
18,31/03/2020,"-112,90","5,75","4,51","95,00","106,03","2,01","284,02","6,51","311,25","54,06","-5,87","4,94","116,20","2,20","R$ 32,40 B","0,00%"
19,31/12/2019,"-101,81","5,65","4,79","205,13","257,11","2,02","312,56","7,04","340,51","56,35","-5,67","5,22","280,10","2,20","R$ 32,40 B","0,00%"
20,30/09/2019,"-65,00","5,04","4,42","146,17","163,17","1,70","-1.785,89","4,68","-2.002,10","65,88","-5,66","4,96","182,92","1,90","R$ 28,41 B","0,00%"
21,30/06/2019,"-64,31","8,69","4,50","125,46","141,92","2,00","-978,70","6,96","-1.144,13","73,46","-4,13","5,26","165,91","2,33","R$ 28,31 B","0,00%"
22,31/03/2019,"-67,17","8,38","4,50","124,05","140,55","1,96","-1.003,82","5,76","-1.168,46","77,09","-4,60","5,24","163,61","2,28","R$ 28,31 B","0,00%"
23,31/12/2018,"-71,25","8,01","4,36","65,67","69,92","2,17","-1.239,81","7,41","-1.403,06","77,72","-4,99","4,94","79,13","2,46","R$ 28,31 B","0,00%"
24,30/09/2018,"-77,58","7,86","3,95","97,72","103,08","2,17","132,37","6,76","151,46","52,88","-5,37","4,52","117,96","2,48","R$ 28,29 B","0,00%"
25,30/06/2018,"-81,00","7,61","3,93","102,93","105,82","2,23","120,94","7,21","139,42","53,44","-5,61","4,53","121,99","2,57","R$ 28,09 B","0,00%"
26,31/03/2018,"-80,31","7,40","3,93","133,41","136,33","2,16","111,11","7,17","128,96","54,02","-5,33","4,57","158,23","2,51","R$ 28,09 B","0,00%"
27,31/12/2017,"-68,28","7,19","3,95","-63,50","-62,95","2,23","113,35","8,61","132,61","56,35","-5,15","4,62","-73,64","2,60","R$ 28,09 B","0,00%"
28,30/09/2017,"-58,65","7,14","3,49","-223,45","-216,28","2,40","93,34","8,63","108,95","51,68","-6,24","4,08","-252,45","2,80","R$ 28,08 B","0,00%"
29,30/06/2017,"-52,30","6,98","3,36","-39,26","-38,54","2,51","95,34","8,02","109,13","52,14","-7,68","3,85","-44,12","2,87","R$ 28,02 B","0,00%"
