,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 1,75 B","R$ 791,75 M","R$ 591,33 M","- R$ 216,66 M","R$ 807,99 M","R$ 252,10 M","R$ 0,73",151
1,31/03/2024,"R$ 1,46 B","R$ 666,70 M","R$ 495,39 M","- R$ 188,18 M","R$ 683,58 M","R$ 190,18 M","R$ 0,55",151
2,31/12/2023,"R$ 1,36 B","R$ 626,83 M","R$ 455,09 M","- R$ 185,65 M","R$ 640,74 M","R$ 163,28 M","R$ 0,47",151
3,30/09/2023,"R$ 1,24 B","R$ 600,06 M","R$ 425,38 M","- R$ 153,78 M","R$ 579,15 M","R$ 168,30 M","R$ 0,49",151
4,30/06/2023,"R$ 1,01 B","R$ 511,95 M","R$ 379,38 M","- R$ 141,97 M","R$ 521,35 M","R$ 159,45 M","R$ 0,46",151
5,31/03/2023,"R$ 922,75 M","R$ 457,63 M","R$ 342,79 M","- R$ 128,99 M","R$ 471,78 M","R$ 146,85 M","R$ 0,42",151
6,31/12/2022,"R$ 951,75 M","R$ 447,62 M","R$ 320,31 M","- R$ 137,17 M","R$ 457,48 M","R$ 148,59 M","R$ 0,43",151
7,30/09/2022,"R$ 838,94 M","R$ 384,59 M","R$ 282,17 M","- R$ 117,80 M","R$ 399,97 M","R$ 123,74 M","R$ 0,36",151
8,30/06/2022,"R$ 687,69 M","R$ 317,20 M","R$ 220,72 M","- R$ 93,80 M","R$ 314,53 M","R$ 98,40 M","R$ 0,28",151
9,31/03/2022,"R$ 585,17 M","R$ 275,10 M","R$ 192,13 M","- R$ 81,64 M","R$ 273,77 M","R$ 86,03 M","R$ 0,25",151
10,31/12/2021,"R$ 389,75 M","R$ 187,85 M","R$ 129,44 M","- R$ 54,61 M","R$ 184,06 M","R$ 58,06 M","R$ 0,17",151
11,30/09/2021,,,,"R$ 63,11 M","R$ 155,65 M",,,151
12,30/06/2021,"R$ 192,95 M","R$ 88,48 M","R$ 70,67 M","- R$ 29,35 M","R$ 100,02 M","R$ 29,53 M","R$ 24,97",151
13,31/03/2021,"R$ 143,22 M","R$ 64,32 M","R$ 51,50 M","- R$ 7,57 M","R$ 59,07 M","R$ 22,15 M","R$ 19,31 mil",151
14,31/12/2020,"R$ 111,29 M","R$ 50,25 M","R$ 39,82 M","- R$ 16,13 M","R$ 55,95 M","R$ 17,53 M","R$ 18,06",151
15,31/12/2019,"R$ 61,37 M","R$ 26,89 M","R$ 22,61 M","- R$ 7,00 M","R$ 29,61 M","R$ 9,16 M","R$ 39,84",151
