,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"-1,37","0,82","1,04","35,58",NA,"0,33","-1,04","-1,25","-1,19","-1,45","-0,39","1,18",NA,"0,38","R$ 227,90 M","0,00%"
1,30/06/2024,"-1,58","0,95","1,20","40,97",NA,"0,38","-1,20","-1,44","-1,35","-1,65","-0,45","1,34",NA,"0,43","R$ 262,67 M","0,00%"
2,31/03/2024,"-5,01","0,79","0,73","-2,70",NA,"0,32","-2,47","-1,40","-2,69","-4,06","-0,39","0,80",NA,"0,35","R$ 225,04 M","0,00%"
3,31/12/2023,"-4,92","0,79","0,58","-2,79","-0,91","0,35","-2,77","-1,55","-3,11","-5,27","-0,44","0,65","-1,02","0,39","R$ 243,41 M","0,00%"
4,30/09/2023,"-4,82","1,40","0,40","-2,37","-2,37","0,33","-5,04","-5,03","-6,11","52,85","-0,39","0,48","-2,87","0,39","R$ 195,60 M","0,00%"
5,30/06/2023,"-3,39","1,48","0,33","-1,98",NA,"0,29","-2,46","-2,62","-3,11","-8,93","-0,31","0,42",NA,"0,36","R$ 180,53 M","0,00%"
6,31/03/2023,"-1,03","1,50","0,25","-1,46",NA,"0,20","-0,91","-1,92","-1,30","-2,01","-0,20","0,35",NA,"0,28","R$ 109,93 M","0,00%"
7,31/12/2022,"-1,46","1,20","0,30","-1,26","-1,26","0,21","-0,91","-2,39","-1,31","-1,88","-0,23","0,43","-1,80","0,30","R$ 110,97 M","0,00%"
8,30/09/2022,"14,42","1,16","0,47","-1,19","-0,72","0,29","-12,64","-4,51","-15,41","14,89","-0,36","0,57","-0,87","0,36","R$ 146,11 M","0,00%"
9,30/06/2022,"9,78","1,87","0,90","-9,66",NA,"0,41","8,61","-7,82","8,22","4,78","-0,49","0,86",NA,"0,39","R$ 166,25 M","0,00%"
10,31/03/2022,"7,82","1,76","1,42","-12,58",NA,"0,46","5,75","-26,59","5,39","4,40","-0,61","1,33",NA,"0,43","R$ 182,95 M","0,00%"
11,31/12/2021,"1,19","2,12","2,95","-29,33","-1,76","0,54","1,01","11,47","0,90","0,90","-0,77","2,63","-1,57","0,48","R$ 202,19 M","0,00%"
12,30/09/2021,"2,25","5,43","6,18","2,40","3,98","1,42","2,09","3,46","1,36","1,36","-4,36","4,04","2,61","0,93","R$ 217,26 M","0,00%"
13,30/06/2021,"1,13","-1,99","4,04","21,16",NA,"3,35","1,02","92,58","0,91","0,91","-1,27","3,62",NA,"3,00","R$ 135,76 M","0,00%"
14,31/03/2021,"0,98","-2,12","5,29","23,52",NA,"3,00","0,88","167,85","0,71","0,71","-1,25","4,28",NA,"2,43","R$ 111,80 M","0,00%"
15,31/12/2020,"-3,22","-0,49","4,65","11,74","11,74","1,86","-5,95","-1,01","-5,47","-5,92","-0,28","4,28","10,79","1,71","R$ 91,08 M","0,00%"
16,30/09/2020,"-1,70","-0,21","3,32","11,11","11,11","0,89","-3,59","-0,28","-4,05","-4,62","-0,10","3,75","12,54","1,00","R$ 31,19 M","0,00%"
17,30/06/2020,"-2,25","-0,24","6,51","11,51",NA,"1,06","-3,95","-0,33","-4,28","-5,09","-0,12","7,05",NA,"1,14","R$ 34,45 M","0,00%"
18,31/03/2020,"-2,07","-0,25","17,03","23,74",NA,"1,09","-3,52","-0,33","-4,00","-4,70","-0,13","19,39",NA,"1,24","R$ 35,96 M","0,00%"
19,31/12/2019,"-2,26","-0,33","46,21","53,01","53,01","1,46","-3,79","-0,41","-3,77","-4,33","-0,16","45,94","52,70","1,46","R$ 46,55 M","0,00%"
20,30/09/2019,"-2,07","-0,35","31,86","-172,34","-161,35","1,56","-3,14","-0,43","-3,05","-3,44","-0,17","30,87","-156,32","1,52","R$ 46,55 M","0,00%"
21,30/06/2019,"-0,65","-0,36","-58,87","-32,03","-31,37","1,48","-1,09","-0,44","-1,05","-1,09","-0,17","-56,24","-29,97","1,41","R$ 46,55 M","0,00%"
22,31/03/2019,"-1,51","-0,89","8,06","49,43","50,69","3,58","-2,45","-1,22","-2,19","-2,29","-0,45","7,23","45,43","3,21","R$ 146,61 M","0,00%"
23,31/12/2018,"-0,97","-0,61","2,65","20,96","21,38","2,20","-1,55","-0,84","-1,31","-1,36","-0,31","2,23","18,02","1,85","R$ 80,73 M","0,00%"
24,30/09/2018,"-0,81","-0,67","1,84","27,31","28,04","2,08","-1,23","-0,94","-1,03","-1,06","-0,33","1,54","23,51","1,74","R$ 80,73 M","0,00%"
25,30/06/2018,"-0,97","-0,80","0,89","13,68","14,04","0,68","-1,21","-1,33","-1,09","-1,16","-0,29","0,80","12,64","0,62","R$ 46,62 M","0,00%"
26,31/03/2018,"-1,57","-1,48","1,75","-39,52","-37,62","1,03","-1,86","-2,71","-1,34","-1,42","-0,50","1,26","-27,12","0,74","R$ 62,46 M","0,00%"
27,31/12/2017,"-0,80","-0,85","1,05","-13,32","-12,71","0,50","-0,89","-1,74","-1,00","-1,06","-0,27","1,18","-14,30","0,56","R$ 40,50 M","0,00%"
28,30/09/2017,"-1,18","-2,01","1,35","-3,01","-2,95","0,44","-1,16","-2,26","-1,27","-1,37","-0,31","1,48","-3,25","0,48","R$ 40,86 M","0,00%"
29,30/06/2017,"-1,33","-3,71","1,15","-3,19","-3,05","0,41","-1,16","-3,17","-1,29","-1,39","-0,33","1,27","-3,39","0,46","R$ 42,30 M","0,00%"
30,31/03/2017,"-1,32","-12,32","0,91","-2,90","-2,74","0,43","-1,09","-9,72","-1,16","-1,24","-0,40","0,96","-2,91","0,45","R$ 41,85 M","0,00%"
31,31/12/2016,"-1,70","11,55","0,55","-3,28","-3,02","0,43","-1,44","7,95","-1,55","-1,71","-0,47","0,60","-3,25","0,46","R$ 43,29 M","0,00%"
32,30/09/2016,"-3,06","2,90","0,37","-41,99","-10,82","0,46","-2,71","3,96","-2,16","-2,61","-0,64","0,30","-8,62","0,37","R$ 42,21 M","0,00%"
33,30/06/2016,"-14,34","2,10","0,31","-18,28","-7,36","0,44","-6,88","2,02","-6,56","-11,90","-0,77","0,30","-7,02","0,42","R$ 52,74 M","3,08%"
34,31/03/2016,"60,75","1,06","0,18","7,20","37,82","0,30","4,61","0,90","4,95","3,49","-0,75","0,19","40,62","0,32","R$ 39,42 M","4,28%"
35,31/12/2015,"39,04","1,08","0,17","-10,51","-4,88","0,29","4,99","0,92","4,08","2,80","-0,71","0,14","-3,99","0,24","R$ 34,20 M","4,28%"
36,30/09/2015,"17,18","0,87","0,13","-4,20","-3,29","0,25","4,21","0,73","4,58","3,12","-0,67","0,15","-3,58","0,27","R$ 36,00 M","1,24%"
37,30/06/2015,"17,90","1,54","0,22","43,57","-389,51","0,44","6,19","1,51","4,96","3,55","-1,01","0,17","-311,73","0,35","R$ 47,70 M","2,67%"
