,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"13,37","2,93","5,50","9,42","9,54","1,20","10,23","8,08","12,13","10,36","-2,74","6,52","11,31","1,43","R$ 55,95 B","3,90%"
1,30/06/2024,"15,05","3,29","6,19","10,60","10,73","1,36","11,51","9,09","13,41","11,46","-3,09","7,21","12,50","1,58","R$ 62,95 B","3,63%"
2,31/03/2024,"15,86","3,18","6,38","16,09","16,35","1,31","12,37","7,11","14,80","12,16","-3,25","7,63","19,56","1,57","R$ 63,30 B","3,93%"
3,31/12/2023,"17,29","3,52","7,20","19,02","19,40","1,45","13,61","10,68","15,93","13,19","-3,18","8,43","22,72","1,69","R$ 71,43 B","3,31%"
4,30/09/2023,"17,04","3,55","7,19","10,91","11,06","1,50","13,29","13,18","14,85","12,40","-3,24","8,04","12,36","1,68","R$ 71,92 B","3,29%"
5,30/06/2023,"19,89","4,04","8,29","10,70","10,88","1,76","15,16","13,40","16,85","14,15","-4,06","9,21","12,09","1,96","R$ 83,04 B","2,69%"
6,31/03/2023,"18,49","3,79","7,77","8,14","8,25","1,70","14,16","9,55","15,93","13,40","-4,56","8,75","9,28","1,91","R$ 77,95 B","3,12%"
7,31/12/2022,"16,73","3,49","6,99","7,15","7,24","1,49","12,67","9,04","14,38","12,09","-3,62","7,93","8,21","1,68","R$ 70,69 B","4,17%"
8,30/09/2022,"18,82","3,98","8,14","6,66","6,74","1,66","14,47","11,41","15,90","13,38","-3,82","8,94","7,40","1,83","R$ 81,18 B","4,47%"
9,30/06/2022,"16,61","3,59","7,41","9,61","9,81","1,56","12,90","12,20","14,70","12,39","-3,59","8,44","11,17","1,78","R$ 74,10 B","5,81%"
10,31/03/2022,"15,91","3,33","7,13","22,96","24,30","1,43","12,07","9,16","13,86","11,77","-3,46","8,19","27,90","1,64","R$ 72,58 B","6,64%"
11,31/12/2021,"18,05","3,80","8,28","26,50","28,13","1,62","13,47","10,47","15,31","13,12","-3,87","9,41","31,98","1,84","R$ 85,15 B","7,00%"
12,30/09/2021,"17,06","3,57","7,75","67,83","80,94","1,47","12,39","8,10","13,95","11,98","-3,62","8,73","91,16","1,66","R$ 80,56 B","7,30%"
13,30/06/2021,"19,68","4,06","8,93","36,53","39,85","1,86","14,13","12,52","15,35","13,20","-4,73","9,70","43,30","2,02","R$ 92,20 B","6,85%"
14,31/03/2021,"23,67","4,26","10,56","30,37","32,45","2,25","17,20","14,06","18,12","15,45","-7,17","11,13","34,19","2,37","R$ 103,73 B","5,11%"
