,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 547,05 M","R$ 93,11 M","R$ 3,53",26.390.582,0,0,26.390.582,0,0,0,0,26.390.582,0,26.390.582,305
1,31/03/2024,"R$ 562,04 M","R$ 105,14 M","R$ 3,98",26.390.582,0,0,26.390.582,0,0,0,0,26.390.582,0,26.390.582,305
2,31/12/2023,"R$ 595,36 M","R$ 122,64 M","R$ 4,65",26.390.582,0,0,26.390.582,0,0,0,0,26.390.582,0,26.390.582,305
3,30/09/2023,"R$ 624,39 M","R$ 43,09 M","R$ 1,63",26.390.582,0,0,26.390.582,0,0,0,0,26.390.582,0,26.390.582,305
4,30/06/2023,"R$ 646,39 M","R$ 64,87 M","R$ 2,46",26.390.582,0,0,26.390.582,0,0,0,0,26.390.582,0,26.390.582,305
5,31/03/2023,"R$ 638,53 M","R$ 54,53 M","R$ 2,28",23.897.724,0,0,23.897.724,0,0,0,0,23.897.724,0,23.897.724,305
6,31/12/2022,"R$ 649,08 M","R$ 70,79 M","R$ 2,96",23.897.724,0,0,23.897.724,0,0,0,0,23.897.724,0,23.897.724,305
7,30/09/2022,"R$ 639,56 M","R$ 106,10 M","R$ 4,46",23.778.724,0,0,23.778.724,0,0,0,0,23.778.724,0,23.778.724,305
8,30/06/2022,"R$ 638,24 M","R$ 133,68 M","R$ 5,62",23.778.724,0,0,23.778.724,0,0,0,0,23.778.724,0,23.778.724,305
9,31/03/2022,"R$ 708,80 M","R$ 168,56 M","R$ 7,12",23.686.065,0,0,23.686.065,0,0,0,0,23.686.065,0,23.686.065,305
10,31/12/2021,"R$ 616,33 M","R$ 139,46 M","R$ 8,53",16.352.035,0,0,16.352.035,0,0,0,0,16.352.035,0,16.352.035,305
11,30/09/2021,"R$ 552,36 M","R$ 142,63 M","R$ 9,31",15.315.160,0,0,15.315.160,0,0,0,0,15.315.160,0,15.315.160,305
12,30/06/2021,"R$ 549,04 M","R$ 152,31 M","R$ 58,63",2.597.640,0,0,2.597.640,0,0,0,0,2.597.640,0,2.597.640,305
13,31/03/2021,"R$ 600,33 M","R$ 177,75 M","R$ 79,27",2.242.459,0,0,2.242.459,0,0,0,0,2.242.459,0,2.242.459,305
14,31/12/2020,"R$ 602,71 M","R$ 182,23 M","R$ 81,26",2.242.459,0,0,2.242.459,0,0,0,0,2.242.459,0,2.242.459,305
15,30/09/2020,"R$ 520,68 M","R$ 84,21 M","R$ 37,94",2.219.359,0,0,2.219.359,0,0,0,0,2.219.359,0,2.219.359,305
16,30/06/2020,"R$ 499,91 M","R$ 96,02 M","R$ 43,26",2.219.359,0,0,2.219.359,0,0,0,0,2.219.359,0,2.219.359,305
17,31/03/2020,"R$ 416,66 M","R$ 98,99 M","R$ 44,60",2.219.359,0,0,2.219.359,0,0,0,0,2.219.359,0,2.219.359,305
18,31/12/2019,"R$ 191,10 M","R$ 121,70 M","R$ 54,84",2.219.359,0,0,2.219.359,0,0,0,0,2.219.359,0,2.219.359,305
19,30/09/2019,"R$ 185,04 M","R$ 53,30 M","R$ 45,48",1.171.970,0,0,1.171.970,0,0,0,0,1.171.970,0,1.171.970,305
20,30/06/2019,"R$ 93,25 M","R$ 50,58 M","R$ 43,16",1.171.970,0,0,1.171.970,0,0,0,0,1.171.970,0,1.171.970,305
21,31/03/2019,"R$ 95,73 M","R$ 53,52 M","R$ 45,67",1.171.970,0,0,1.171.970,0,0,0,0,1.171.970,0,1.171.970,305
22,31/12/2018,"R$ 80,67 M","R$ 52,57 M","R$ 44,86",1.171.970,0,0,1.171.970,0,0,0,0,1.171.970,0,1.171.970,305
23,30/09/2018,"R$ 81,85 M","R$ 58,25 M","R$ 49,70",1.171.970,0,0,1.171.970,0,0,0,0,1.171.970,0,1.171.970,305
24,30/06/2018,"R$ 80,70 M","R$ 58,33 M","R$ 49,77",1.171.970,0,0,1.171.970,0,0,0,0,1.171.970,0,1.171.970,305
25,31/03/2018,"R$ 83,00 M","R$ 56,74 M","R$ 48,41",1.171.970,0,0,1.171.970,0,0,0,0,1.171.970,0,1.171.970,305
26,31/12/2017,"R$ 94,08 M","R$ 58,36 M","R$ 49,80",1.171.970,0,0,1.171.970,0,0,0,0,1.171.970,0,1.171.970,305
27,30/09/2017,"R$ 96,45 M","R$ 59,92 M","R$ 51,13",1.171.970,0,0,1.171.970,0,0,0,0,1.171.970,0,1.171.970,305
28,30/06/2017,"R$ 70,54 M","R$ 31,36 M","R$ 51,93",603.818,0,0,603.818,0,0,0,0,603.818,0,603.818,305
29,31/03/2017,"R$ 72,18 M","R$ 32,48 M","R$ 53,79",603.818,0,0,603.818,0,0,0,0,603.818,0,603.818,305
30,31/12/2016,"R$ 36,24 M","R$ 33,22 M","R$ 55,02",603.818,0,0,603.818,0,0,0,0,603.818,0,603.818,305
31,30/09/2016,"R$ 35,96 M","R$ 32,58 M","R$ 53,95",603.818,0,0,603.818,0,0,0,0,603.818,0,603.818,305
32,30/06/2016,"R$ 35,72 M","R$ 32,06 M","R$ 5,31",6.038.183,0,0,6.038.183,0,0,0,0,6.038.183,0,6.038.183,305
33,31/03/2016,"R$ 36,64 M","R$ 30,78 M","R$ 5,10",6.038.183,0,0,6.038.183,0,0,0,0,6.038.183,0,6.038.183,305
34,31/12/2015,"R$ 37,41 M","R$ 31,36 M","R$ 5,19",6.038.183,0,0,6.038.183,0,0,0,0,6.038.183,0,6.038.183,305
35,30/09/2015,"R$ 38,09 M","R$ 31,85 M","R$ 5,27",6.038.183,0,0,6.038.183,0,0,0,0,6.038.183,0,6.038.183,305
