,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"18,85","3,62","1,78","12,88","14,86","2,38","24,55","18,53","22,54","16,76","-11,12","1,63","13,65","2,18","R$ 411,98 M","1,04%"
1,30/06/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,03%"
2,31/03/2024,"21,18","3,75","1,82","15,74","18,72","2,41","29,71","24,80","27,55","19,44","-9,20","1,69","17,36","2,23","R$ 411,98 M","1,04%"
3,31/12/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,52%"
4,30/09/2023,"-132,31","3,80","1,72","14,97","14,83","2,30","39,64","26,66","37,31","23,58","-7,43","1,62","13,96","2,16","R$ 375,36 M","1,68%"
5,30/06/2023,"-99,59","3,96","1,81","16,69","16,03","2,35","47,47","31,14","45,24","27,41","-7,10","1,73","15,27","2,24","R$ 380,63 M","1,66%"
6,31/03/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,58%"
7,31/12/2022,"-287,21","4,46","2,12","729,59","-118,11","2,68","51,02","36,79","50,58","30,99","-8,24","2,11","-117,09","2,66","R$ 407,84 M","0,00%"
8,30/09/2022,"47,05","3,98","2,34","63,79","-49,66","2,59","126,99","92,32","129,28","51,27","-8,06","2,38","-50,55","2,64","R$ 428,73 M","0,00%"
9,30/06/2022,"46,33","3,79","2,25","33,90","-32,77","2,51","142,01","-50,80","142,98","49,72","-6,48","2,26","-33,00","2,53","R$ 401,47 M","0,00%"
10,31/03/2022,"58,22","3,98","2,29","25,95","-33,61","2,56","185,89","-35,72","185,98","56,40","-5,96","2,29","-33,62","2,56","R$ 401,89 M","0,00%"
11,31/12/2021,"61,16","4,33","2,44","18,79","-63,76","2,64","187,23","-33,72","182,45","58,66","-5,66","2,38","-62,13","2,58","R$ 427,63 M","0,82%"
12,30/09/2021,"21,12","4,19","2,28","27,42","-28,38","2,73","24,75","-86,86","24,44","19,26","-7,20","2,25","-28,02","2,70","R$ 412,96 M","0,85%"
13,30/06/2021,"20,83","4,78","2,47","33,94",NA,"3,15","21,98","214,73","21,70","18,15","-9,63","2,44",NA,"3,11","R$ 464,03 M","0,76%"
14,31/03/2021,"20,28","4,63","2,32","34,56",NA,"3,03","20,34","64,02","20,04","16,93","-10,17","2,29",NA,"2,99","R$ 436,04 M","0,81%"
15,31/12/2020,"21,50","5,49","2,64","31,59","-106,25","3,38","20,36","46,66","20,08","17,24","-10,89","2,60","-104,75","3,34","R$ 503,92 M","0,89%"
16,30/09/2020,"31,13","5,29","2,33","16,40","59,03","3,20","27,40","19,27","26,78","21,22","-13,93","2,28","57,69","3,13","R$ 435,98 M","1,03%"
17,30/06/2020,"36,26","6,00","2,61","18,62","47,29","3,84","34,58","20,56","33,93","25,54","-22,19","2,56","46,40","3,77","R$ 469,35 M","0,95%"
18,31/03/2020,"31,83","6,15","2,57","16,91","32,27","3,69","28,93","21,13","28,23","21,77","-16,40","2,51","31,49","3,60","R$ 467,32 M","0,96%"
19,31/12/2019,"19,67","7,36","2,93","18,82","37,17","4,36","33,04","25,10","32,64","25,47","-18,66","2,90","36,71","4,31","R$ 528,21 M","0,48%"
20,30/09/2019,"15,37","5,39","2,24","22,79",NA,"3,56","26,17","13,58","25,75","21,07","-45,66","2,20",NA,"3,50","R$ 391,65 M","0,64%"
21,30/06/2019,"7,67","2,91","1,14","11,37",NA,"1,87","11,14","7,91","10,87","8,96","-15,61","1,11",NA,"1,83","R$ 202,61 M","1,24%"
22,31/03/2019,"5,97","2,19","0,82","6,44",NA,"1,36","9,03","6,71","8,64","7,10","-7,72","0,79",NA,"1,30","R$ 143,61 M","1,75%"
23,31/12/2018,"11,17","2,28","0,65","5,94","8,40","1,25","7,68","5,82","7,35","5,99","-5,30","0,62","8,04","1,20","R$ 112,27 M","2,10%"
24,30/09/2018,"6,47","1,32","0,38","3,51",NA,"0,76","4,34","2,95","3,95","3,25","-4,46","0,34",NA,"0,69","R$ 65,33 M","3,60%"
25,30/06/2018,"8,71","1,47","0,39","5,54",NA,"0,82","5,78","3,69","5,35","4,19","-3,70","0,36",NA,"0,76","R$ 66,79 M","3,52%"
26,31/03/2018,"7,74","1,77","0,46","33,08",NA,"0,97","5,22","4,59","4,74","3,92","-3,99","0,42",NA,"0,88","R$ 77,81 M","3,03%"
27,31/12/2017,"7,79","1,77","0,45","8,70","26,17","0,90","5,23","5,26","4,24","3,49","-2,86","0,37","21,23","0,73","R$ 73,37 M","2,62%"
28,30/09/2017,"7,46","1,76","0,47","6,59","11,89","0,95","5,04","4,62","4,07","3,38","-3,69","0,38","9,60","0,76","R$ 73,11 M","2,63%"
29,30/06/2017,"5,95","1,51","0,40","4,63","7,32","0,79","4,04","4,20","2,99","2,51","-2,73","0,30","5,43","0,59","R$ 60,68 M","3,17%"
30,31/03/2017,"6,84","1,48","0,38","3,29","4,61","0,73","4,57","4,78","3,10","2,49","-2,08","0,26","3,13","0,50","R$ 53,53 M","3,59%"
31,31/12/2016,"6,66","1,49","0,38","4,17","7,97","0,73","4,46","5,07","3,45","2,77","-2,00","0,30","6,16","0,57","R$ 51,18 M","2,70%"
32,30/09/2016,"6,03","1,15","0,31","2,52","16,90","0,62","4,35","3,85","3,36","2,60","-2,10","0,24","13,04","0,48","R$ 38,64 M","3,57%"
33,30/06/2016,"6,09","1,16","0,31","2,70","-83,48","0,60","4,42","4,60","3,42","2,70","-1,73","0,24","-64,54","0,47","R$ 36,82 M","3,75%"
34,31/03/2016,"5,33","0,96","0,25","3,31","-5,86","0,49","4,04","4,56","3,13","2,48","-1,30","0,19","-4,54","0,38","R$ 28,72 M","4,80%"
35,31/12/2015,"5,72","1,11","0,28","4,17","-7,36","0,58","4,36","5,59","3,52","2,92","-1,52","0,22","-5,94","0,46","R$ 31,59 M","7,54%"
36,30/09/2015,"4,19","0,96","0,24","52,12","-6,81","0,52","3,00","1,83","2,29","2,01","-3,09","0,19","-5,21","0,40","R$ 27,42 M","8,69%"
37,30/06/2015,"5,23","1,35","0,32","7,67","21,84","0,71","3,74","2,30","2,86","2,54","-4,15","0,25","16,67","0,54","R$ 36,55 M","6,52%"
38,31/03/2015,"4,98","1,61","0,35","4,89","7,94","0,80","3,44","2,82","2,41","2,20","-3,68","0,25","5,56","0,56","R$ 41,78 M","5,70%"
39,31/12/2014,"4,60","1,81","0,36","3,58","4,73","0,89","3,13","3,34","2,26","2,09","-3,68","0,26","3,41","0,64","R$ 43,86 M","2,21%"
40,30/09/2014,"5,01","2,12","0,41","3,38","3,77","1,06","3,21","3,89","2,45","2,29","-4,68","0,31","2,87","0,81","R$ 51,44 M","1,89%"
41,30/06/2014,"6,67","2,93","0,53","4,27","5,10","1,40","4,18","5,77","3,62","3,38","-4,97","0,46","4,42","1,21","R$ 65,28 M","1,49%"
42,31/03/2014,"6,80","3,08","0,51","4,34","5,30","1,35","4,18","6,92","3,63","3,41","-3,69","0,45","4,61","1,18","R$ 61,10 M","1,59%"
43,31/12/2013,"4,86","2,77","0,40","3,69","4,54","1,08","2,97","8,29","2,79","2,65","-2,27","0,38","4,26","1,02","R$ 46,95 M","0,00%"
44,30/09/2013,"6,69","3,81","0,50","8,54","18,71","1,27","4,05","26,67","4,12","3,93","-2,05","0,51","19,07","1,30","R$ 56,92 M","0,00%"
45,30/06/2013,"6,31","3,69","0,44","12,44","31,61","1,16","3,74","29,88","3,96","3,80","-1,80","0,47","33,45","1,23","R$ 49,50 M","0,00%"
46,31/03/2013,"8,73","4,97","0,55","11,78","19,04","1,31","5,02","128,26","5,27","5,05","-1,81","0,58","20,00","1,38","R$ 58,49 M","0,00%"
47,31/12/2012,"7,66","3,83","0,33","48,15","-29,37","0,79","3,97","-9,63","4,81","4,52","-0,91","0,40","-35,61","0,96","R$ 31,49 M","0,00%"
48,30/09/2012,"7,18","3,24","0,24","10,33","28,34","0,51","3,44","-5,22","4,45","4,12","-0,54","0,31","36,70","0,66","R$ 20,89 M","0,00%"
49,30/06/2012,"7,92","3,52","0,24","8,82","39,80","0,49","3,62","-4,32","4,78","4,42","-0,50","0,32","52,48","0,64","R$ 19,58 M","0,00%"
50,31/03/2012,"7,40","4,09","0,28","8,74","24,48","0,54","3,47","-4,56","4,74","4,43","-0,54","0,38","33,39","0,73","R$ 20,78 M","0,00%"
51,31/12/2011,"11,87","6,19","0,37","6,62","10,44","0,67","5,07","-4,76","6,43","5,98","-0,65","0,47","13,25","0,85","R$ 25,54 M","0,00%"
52,30/09/2011,"8,84","4,43","0,24","4,87","6,66","0,45","3,14","2,49","4,24","3,91","-0,63","0,33","9,00","0,61","R$ 15,67 M","0,00%"
53,30/06/2011,"16,99","5,06","0,26","12,89","14,03","0,45","4,16","2,74","5,57","5,07","-0,60","0,35","18,77","0,60","R$ 15,67 M","0,00%"
54,31/03/2011,"-3,49","5,29","0,22","-3,83","-3,74","0,39","-4,13","2,32","-6,52","-7,48","-0,51","0,35","-5,90","0,61","R$ 12,01 M","0,00%"
55,31/12/2010,"-2,33","5,48","0,21","-1,54","-1,50","0,35","-2,18","2,21","-3,80","-4,07","-0,46","0,36","-2,62","0,62","R$ 10,81 M","0,00%"
56,30/09/2010,"-2,66","8,14","0,28","-2,29","-2,17","0,55","-2,23","-1,77","-3,06",NA,"-0,44","0,38","-2,98","0,76","R$ 14,36 M","0,00%"
57,30/06/2010,"-3,09","7,28","0,30","-2,60","-2,30","0,61","-2,45","-2,08","-3,36",NA,"-0,50","0,41","-3,15","0,83","R$ 15,82 M","0,00%"
58,31/03/2010,"-10,09","3,53","0,36","-4,54","-3,66","0,77","-9,88","-7,13","-11,56",NA,"-0,86","0,43","-4,29","0,90","R$ 20,16 M","0,00%"
59,31/12/2009,"-44,30","3,05","0,35","-13,30","-7,45","0,79","234,38","-13,24","242,73",NA,"-0,98","0,36","-7,71","0,82","R$ 20,16 M","0,00%"
60,30/09/2009,"23,61","2,90","0,37",NA,NA,"0,81","34,96","-29,45","35,54",NA,"-1,08","0,38",NA,"0,82","R$ 20,73 M","0,00%"
61,30/06/2009,"29,21","2,93","0,39",NA,NA,"0,83","18,04","118,29","17,39",NA,"-1,16","0,38",NA,"0,80","R$ 21,41 M","0,00%"
62,31/03/2009,"-12,37","2,06","0,30",NA,NA,"0,62","-32,11","13,27","-28,68",NA,"-0,95","0,27",NA,"0,55","R$ 15,93 M","0,00%"
63,31/12/2008,"-6,51","1,66","0,24","4,45",NA,"0,47","-11,21","7,35","-9,66",NA,"-0,71","0,20",NA,"0,40","R$ 11,75 M","0,00%"
