,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 28,57 B","- R$ 6,58 B","- R$ 13,28 B","R$ 8,79 B",9
1,31/03/2024,"R$ 17,68 B","R$ 2,78 B","- R$ 1,06 B","R$ 19,22 B",9
2,31/12/2023,"- R$ 81,01 B","R$ 7,16 B","R$ 8,76 B","- R$ 65,01 B",9
3,30/09/2023,"R$ 79,57 B","R$ 9,87 B","- R$ 10,62 B","R$ 78,88 B",9
4,30/06/2023,"- R$ 19,74 B","R$ 15,05 B","- R$ 10,25 B","- R$ 15,03 B",9
5,31/03/2023,"R$ 21,00 B","R$ 51,52 B","- R$ 10,96 B","R$ 61,76 B",9
6,31/12/2022,"- R$ 32,52 B","R$ 3,86 B","- R$ 1,86 B","- R$ 30,35 B",9
7,30/09/2022,"R$ 43,65 B","- R$ 10,72 B","R$ 13,45 B","R$ 46,42 B",9
8,30/06/2022,"R$ 562,20 M","- R$ 17,66 B","R$ 6,29 B","- R$ 10,66 B",9
9,31/03/2022,"R$ 30,07 B","R$ 6,75 B","R$ 4,04 B","R$ 41,38 B",9
10,31/12/2021,,,,,9
11,30/09/2021,"- R$ 3,71 B","- R$ 11,72 B","R$ 7,43 B","- R$ 7,81 B",9
12,30/06/2021,"- R$ 13,83 B","- R$ 5,44 B","- R$ 5,33 B","- R$ 25,53 B",9
13,31/03/2021,"- R$ 12,17 B","- R$ 32,77 B","- R$ 20,29 B","- R$ 64,49 B",9
14,31/12/2020,"R$ 177,88 B","R$ 77,13 B","- R$ 112,30 B","R$ 145,17 B",9
15,30/09/2020,"R$ 52,79 B","R$ 17,18 B","- R$ 11,14 B","R$ 56,88 B",9
16,30/06/2020,"R$ 54,83 B","R$ 8,13 B","- R$ 4,50 B","R$ 58,77 B",9
17,31/03/2020,"R$ 40,37 B","- R$ 5,46 B","R$ 5,29 B","R$ 41,83 B",9
18,31/12/2019,"R$ 16,00 B","R$ 41,34 B","- R$ 90,21 B","- R$ 32,87 B",9
19,30/09/2019,"- R$ 30,00 B","- R$ 10,20 B","- R$ 7,93 B","- R$ 47,73 B",9
20,30/06/2019,"R$ 6,10 B","- R$ 2,80 B","R$ 3,31 B","R$ 6,70 B",9
21,31/03/2019,"- R$ 13,27 B","R$ 17,90 B","R$ 1,27 B","R$ 6,12 B",9
22,31/12/2018,"R$ 28,95 B","R$ 22,19 B","- R$ 81,49 B","- R$ 30,35 B",9
23,30/09/2018,"R$ 20,88 B","- R$ 14,26 B","- R$ 2,57 B","R$ 4,35 B",9
24,30/06/2018,"- R$ 21,13 B","- R$ 20,06 B","R$ 936,70 M","- R$ 40,17 B",9
25,31/03/2018,"R$ 11,11 B","- R$ 17,89 B","- R$ 2,79 B","- R$ 9,34 B",9
26,31/12/2017,"R$ 71,00 B","R$ 38,44 B","- R$ 119,20 B","- R$ 9,76 B",9
27,30/09/2017,"R$ 30,39 B","- R$ 22,99 B","- R$ 4,53 B","R$ 2,84 B",9
28,30/06/2017,"- R$ 2,92 B","- R$ 9,25 B","R$ 2,56 B","- R$ 8,91 B",9
29,31/03/2017,"R$ 10,83 B","R$ 5,09 B","- R$ 6,22 B","R$ 9,32 B",9
30,31/12/2016,"R$ 89,41 B","R$ 65,82 B","- R$ 99,42 B","R$ 55,81 B",9
31,30/09/2016,"R$ 40,73 B","- R$ 19,69 B","R$ 265,43 M","R$ 21,31 B",9
32,30/06/2016,"R$ 5,22 B","- R$ 15,74 B","R$ 482,72 M","- R$ 10,04 B",9
33,31/03/2016,"R$ 14,20 B","R$ 20,43 B","- R$ 3,92 B","R$ 30,72 B",9
34,31/12/2015,"- R$ 22,99 B","R$ 44,71 B","- R$ 62,90 B","- R$ 41,18 B",9
35,30/09/2015,"- R$ 20,11 B","- R$ 4,61 B","- R$ 120,39 M","- R$ 21,77 B",9
36,30/06/2015,"- R$ 28,08 B","R$ 3,43 B","- R$ 904,45 M","- R$ 25,55 B",9
37,31/03/2015,"R$ 1,53 B","- R$ 3,18 B","- R$ 979,99 M","- R$ 2,62 B",9
38,31/12/2014,"R$ 116,87 B","R$ 53,23 B","- R$ 66,90 B","R$ 103,20 B",9
39,30/09/2014,"R$ 46,76 B","R$ 583,42 M","R$ 4,82 M","R$ 47,35 B",9
40,30/06/2014,"- R$ 7,15 B","R$ 16,71 B","- R$ 706,72 M","R$ 8,86 B",9
41,31/03/2014,"R$ 15,27 B","- R$ 5,31 B","- R$ 2,42 B","R$ 7,53 B",9
42,31/12/2013,"R$ 135,28 B","R$ 33,48 B","- R$ 82,27 B","R$ 86,50 B",9
43,30/09/2013,"R$ 4,81 B","R$ 12,34 B","- R$ 1,23 B","R$ 15,92 B",9
44,30/06/2013,"R$ 97,33 B","- R$ 13,82 B","R$ 924,83 M","R$ 84,43 B",9
45,31/03/2013,"- R$ 1,86 B","- R$ 19,47 B","- R$ 2,35 B","- R$ 23,68 B",9
46,31/12/2012,"R$ 87,06 B","R$ 11,87 B","- R$ 72,04 B","R$ 26,89 B",9
47,30/09/2012,"R$ 13,53 B","R$ 26,19 B","- R$ 568,75 M","R$ 39,15 B",9
48,30/06/2012,"R$ 27,51 B","- R$ 23,88 B","R$ 3,78 B","R$ 7,42 B",9
49,31/03/2012,"R$ 28,78 B","- R$ 28,31 B","R$ 855,15 M","R$ 1,33 B",9
50,31/12/2011,"- R$ 1,61 B","R$ 73,35 B","- R$ 54,93 B","R$ 16,81 B",9
51,30/09/2011,"- R$ 22,47 B","R$ 9,63 B","R$ 715,70 M","- R$ 12,13 B",9
52,30/06/2011,"- R$ 12,59 B","- R$ 2,67 B","- R$ 6,30 M","- R$ 15,27 B",9
53,31/03/2011,"R$ 29,18 B","- R$ 5,07 B","- R$ 2,59 B","R$ 21,52 B",9
