,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"2.470,38","4,40","0,11","0,66","0,77","0,09","1,47","0,28","10,52","8,38","-0,14","0,79","5,49","0,65","R$ 3,27 B","0,00%"
1,30/09/2024,"2.704,13","4,81","0,12","0,72","0,84","0,10","1,61","0,30","10,66","8,49","-0,15","0,80","5,56","0,66","R$ 3,58 B","0,00%"
2,30/06/2024,"59,56","6,29","0,15","0,99","1,20","0,12","1,96","0,33","11,97","9,56","-0,20","0,92","7,35","0,74","R$ 4,21 B","2,80%"
3,31/03/2024,"36,80","169,92","0,13","0,91","1,11","0,11","1,74","0,34","11,40","9,12","-0,17","0,88","7,29","0,74","R$ 3,69 B","3,20%"
4,31/12/2023,"10,41","25,14","0,16","1,63","2,19","0,15","2,14","0,52","10,70","8,56","-0,22","0,82","10,94","0,77","R$ 4,38 B","7,63%"
5,30/09/2023,"13,11","7,62","0,17","1,69","2,28","0,18","2,34","0,68","10,16","8,10","-0,26","0,75","9,89","0,80","R$ 4,79 B","6,99%"
6,30/06/2023,"18,60","15,93","0,23","2,37","3,23","0,33","3,00","1,67","7,59","6,21","-0,42","0,57","8,16","0,83","R$ 6,53 B","5,36%"
7,31/03/2023,"8,43","10,39","0,18","2,43","3,53","0,27","2,44","1,10","6,66","5,56","-0,38","0,50","9,64","0,75","R$ 5,54 B","6,31%"
8,31/12/2022,"10,98","14,14","0,23","2,29","3,02","0,33","2,96","1,48","6,48","5,53","-0,45","0,51","6,62","0,73","R$ 7,17 B","4,76%"
9,30/09/2022,"10,47","13,99","0,28","3,22","4,41","0,41","3,40","1,46","6,99","6,04","-0,59","0,57","9,06","0,84","R$ 8,70 B","6,35%"
10,30/06/2022,"10,23","11,16","0,25","3,88","5,90","0,40","3,24","1,48","6,73","5,80","-0,57","0,53","12,26","0,83","R$ 7,79 B","5,39%"
11,31/03/2022,"17,74","16,58","0,28","3,38","4,50","0,46","3,67","1,66","7,15","6,15","-0,66","0,55","8,78","0,89","R$ 8,05 B","5,21%"
12,31/12/2021,"10,22","9,36","0,23","2,36","2,88","0,31","3,01","0,94","6,61","5,65","-0,48","0,50","6,32","0,67","R$ 6,12 B","10,69%"
13,30/09/2021,"10,18","11,86","0,23","3,21","3,98","0,28","2,95","0,83","6,85","5,87","-0,44","0,53","9,23","0,65","R$ 5,73 B","9,89%"
14,30/06/2021,"8,87","11,50","0,21","2,09","2,39","0,28","2,63","1,07","6,35","5,43","-0,38","0,51","5,78","0,67","R$ 4,86 B","11,64%"
15,31/03/2021,"8,07","5,45","0,26","2,16","2,43","0,30","2,93","0,94","6,59","5,65","-0,49","0,59","5,46","0,68","R$ 5,53 B","10,24%"
16,31/12/2020,"7,39","6,13","0,27","1,60","1,78","0,30","2,87","1,05","6,65","5,68","-0,46","0,61","4,12","0,71","R$ 5,15 B","3,20%"
17,30/09/2020,"6,52","4,42","0,29","1,49","1,62","0,30","3,02","0,88","6,95","5,94","-0,50","0,67","3,73","0,69","R$ 5,39 B","0,00%"
18,30/06/2020,"10,46","8,55","0,40","1,98","2,12","0,42","4,18","1,26","8,67","7,42","-0,69","0,83","4,41","0,88","R$ 7,17 B","0,00%"
