,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
0,30/06/2024,"R$ 38,35 B","R$ 2,16 B","R$ 6,83",231.006.000,84.906.000,84.906.000,315.912.000,0,0,0,0,231.006.000,84.906.000,315.912.000
1,31/03/2024,"R$ 42,61 B","R$ 2,17 B","R$ 6,88",231.006.000,84.906.000,84.906.000,315.912.000,0,0,0,0,231.006.000,84.906.000,315.912.000
2,31/12/2023,"R$ 41,41 B","R$ 2,12 B","R$ 6,71",231.006.000,84.906.000,84.906.000,315.912.000,0,0,0,0,231.006.000,84.906.000,315.912.000
3,30/09/2023,"R$ 41,69 B","R$ 2,11 B","R$ 6,67",231.006.000,84.906.000,84.906.000,315.912.000,0,0,0,0,231.006.000,84.906.000,315.912.000
4,30/06/2023,"R$ 38,72 B","R$ 2,03 B","R$ 6,43",231.006.000,84.906.000,84.906.000,315.912.000,0,0,0,0,231.006.000,84.906.000,315.912.000
5,31/03/2023,"R$ 37,09 B","R$ 2,00 B","R$ 6,34",231.006.000,84.906.000,84.906.000,315.912.000,0,0,0,0,231.006.000,84.906.000,315.912.000
6,31/12/2022,"R$ 36,83 B","R$ 1,99 B","R$ 6,31",231.006.000,84.906.000,84.906.000,315.912.000,0,0,0,0,231.006.000,84.906.000,315.912.000
7,30/09/2022,"R$ 39,01 B","R$ 1,95 B","R$ 6,18",231.006.000,84.906.000,84.906.000,315.912.000,0,0,0,0,231.006.000,84.906.000,315.912.000
8,30/06/2022,"R$ 37,21 B","R$ 1,89 B","R$ 5,98",231.006.000,84.906.000,84.906.000,315.912.000,0,0,0,0,231.006.000,84.906.000,315.912.000
9,31/03/2022,"R$ 36,44 B","R$ 1,89 B","R$ 5,99",231.065.000,84.847.000,84.847.000,315.912.000,0,0,0,0,231.065.000,84.847.000,315.912.000
10,31/12/2021,"R$ 34,03 B","R$ 1,83 B","R$ 5,80",231.065.000,84.847.000,84.847.000,315.912.000,0,0,0,0,231.065.000,84.847.000,315.912.000
11,30/09/2021,"R$ 33,78 B","R$ 1,84 B","R$ 5,82",231.065.000,84.847.000,84.847.000,315.912.000,0,0,0,0,231.065.000,84.847.000,315.912.000
12,30/06/2021,"R$ 32,32 B","R$ 1,78 B","R$ 5,65",231.329.000,84.583.000,84.583.000,315.912.000,0,0,0,0,231.329.000,84.583.000,315.912.000
13,31/03/2021,"R$ 32,09 B","R$ 1,76 B","R$ 5,58",231.329.000,84.583.000,84.583.000,315.912.000,0,0,0,0,231.329.000,84.583.000,315.912.000
14,31/12/2020,"R$ 30,53 B","R$ 1,69 B","R$ 5,33",231.329.000,84.583.000,84.583.000,315.912.000,0,0,0,0,231.329.000,84.583.000,315.912.000
15,30/09/2020,"R$ 35,48 B","R$ 1,64 B","R$ 5,19",231.329.000,84.583.000,84.583.000,315.912.000,0,0,0,0,231.329.000,84.583.000,315.912.000
16,30/06/2020,"R$ 27,11 B","R$ 1,58 B","R$ 5,01 mil",231.329,84.583,84.583,315.912,0,0,0,0,231.329,84.583,315.912
17,31/03/2020,"R$ 27,05 B","R$ 1,56 B","R$ 4,92",231.329.000,84.583.000,84.583.000,315.912.000,0,0,0,0,231.329.000,84.583.000,315.912.000
18,31/12/2019,"R$ 23,79 B","R$ 1,59 B","R$ 5,03",231.355.000,84.557.000,84.557.000,315.912.000,0,0,0,0,231.355.000,84.557.000,315.912.000
19,30/09/2019,"R$ 24,10 B","R$ 1,57 B","R$ 4,96",231.355.000,84.557.000,84.557.000,315.912.000,0,0,0,0,231.355.000,84.557.000,315.912.000
20,30/06/2019,"R$ 27,80 B","R$ 1,53 B","R$ 4,85",231.355.000,84.557.000,84.557.000,315.912.000,0,0,0,0,231.355.000,84.557.000,315.912.000
21,31/03/2019,"R$ 25,42 B","R$ 1,52 B","R$ 4,82",231.355.000,84.557.000,84.557.000,315.912.000,0,0,0,0,231.355.000,84.557.000,315.912.000
22,31/12/2018,"R$ 27,98 B","R$ 1,47 B","R$ 4,66",231.355.000,84.557.000,84.557.000,315.912.000,0,0,0,0,231.355.000,84.557.000,315.912.000
23,30/09/2018,"R$ 28,65 B","R$ 1,44 B","R$ 4,56",231.355.000,84.557.000,84.557.000,315.912.000,0,0,0,0,231.355.000,84.557.000,315.912.000
24,30/06/2018,"R$ 23,34 B","R$ 1,41 B","R$ 4,47",231.356.000,84.556.000,84.556.000,315.912.000,0,0,0,0,231.356.000,84.556.000,315.912.000
25,31/03/2018,"R$ 19,40 B","R$ 1,39 B","R$ 4,41",231.356.000,84.556.000,84.556.000,315.912.000,0,0,0,0,231.356.000,84.556.000,315.912.000
26,31/12/2017,"R$ 22,86 B","R$ 1,39 B","R$ 4,39",231.356.000,84.556.000,84.556.000,315.912.000,0,0,0,0,231.356.000,84.556.000,315.912.000
27,30/09/2017,"R$ 22,09 B","R$ 1,39 B","R$ 4,38",231.356.000,84.556.000,84.556.000,315.912.000,0,0,0,0,231.356.000,84.556.000,315.912.000
28,30/06/2017,"R$ 20,72 B","R$ 1,35 B","R$ 4,28",231.356.000,84.556.000,84.556.000,315.912.000,0,0,0,0,231.356.000,84.556.000,315.912.000
29,31/03/2017,"R$ 20,88 B","R$ 1,29 B","R$ 4,07",231.546.000,84.366.000,84.366.000,315.912.000,0,0,0,0,231.546.000,84.366.000,315.912.000
30,31/12/2016,"R$ 20,88 B","R$ 1,29 B","R$ 4,07",231.546.000,84.366.000,84.366.000,315.912.000,0,0,0,0,231.546.000,84.366.000,315.912.000
31,30/09/2016,"R$ 23,68 B","R$ 1,23 B","R$ 3,90",231.546.000,84.366.000,84.366.000,315.912.000,0,0,0,0,231.546.000,84.366.000,315.912.000
32,30/06/2016,"R$ 18,49 B","R$ 1,21 B","R$ 3,84",231.546.000,84.366.000,84.366.000,315.912.000,0,0,0,0,231.546.000,84.366.000,315.912.000
33,31/03/2016,"R$ 19,03 B","R$ 1,18 B","R$ 3,75",231.546.000,84.366.000,84.366.000,315.912.000,0,0,0,0,231.546.000,84.366.000,315.912.000
34,31/12/2015,"R$ 18,39 B","R$ 1,18 B","R$ 3,73",231.546.000,84.366.000,84.366.000,315.912.000,0,0,0,0,231.546.000,84.366.000,315.912.000
35,30/09/2015,"R$ 17,73 B","R$ 1,14 B","R$ 3,62",231.546.000,84.366.000,84.366.000,315.912.000,0,0,0,0,231.546.000,84.366.000,315.912.000
36,30/06/2015,"R$ 16,07 B","R$ 1,12 B","R$ 3,53",231.546.000,84.366.000,84.366.000,315.912.000,0,0,0,0,231.546.000,84.366.000,315.912.000
37,31/03/2015,"R$ 15,72 B","R$ 1,09 B","R$ 3,45",231.547.000,84.366.000,84.366.000,315.913.000,0,0,0,0,231.547.000,84.366.000,315.913.000
38,31/12/2014,"R$ 15,29 B","R$ 1,08 B","R$ 0,68",1.157.732.000,421.832.000,421.832.000,1.579.564.000,0,0,0,0,1.157.732.000,421.832.000,1.579.564.000
39,30/09/2014,"R$ 15,59 B","R$ 1,04 B","R$ 0,66",1.157.732.000,421.832.000,421.832.000,1.579.564.000,0,0,0,0,1.157.732.000,421.832.000,1.579.564.000
40,30/06/2014,"R$ 14,74 B","R$ 1,02 B","R$ 0,64",1.157.732.000,421.832.000,421.832.000,1.579.564.000,0,0,0,0,1.157.732.000,421.832.000,1.579.564.000
41,31/03/2014,"R$ 14,48 B","R$ 989,02 M","R$ 0,63",1.157.732.000,421.832.000,421.832.000,1.579.564.000,0,0,0,0,1.157.732.000,421.832.000,1.579.564.000
42,31/12/2013,"R$ 14,27 B","R$ 971,99 M","R$ 0,62",1.157.732.000,421.832.000,421.832.000,1.579.564.000,0,0,0,0,1.157.732.000,421.832.000,1.579.564.000
43,30/09/2013,"R$ 14,03 B","R$ 901,92 M","R$ 0,60",1.093.320.000,421.832.000,421.832.000,1.515.152.000,0,0,0,0,1.093.320.000,421.832.000,1.515.152.000
44,30/06/2013,"R$ 13,55 B","R$ 854,02 M","R$ 0,56",1.093.320.000,421.832.000,421.832.000,1.515.152.000,0,0,0,0,1.093.320.000,421.832.000,1.515.152.000
45,31/03/2013,"R$ 12,85 B","R$ 752,41 M","R$ 0,50",1.093.320.000,421.832.000,421.832.000,1.515.152.000,0,0,0,0,1.093.320.000,421.832.000,1.515.152.000
46,31/12/2012,"R$ 12,61 B","R$ 876,42 M","R$ 0,58",1.093.320.000,421.832.000,421.832.000,1.515.152.000,0,0,0,0,1.093.320.000,421.832.000,1.515.152.000
47,30/09/2012,"R$ 11,19 B","R$ 852,57 M","R$ 0,56",1.093.320.000,421.832.000,421.832.000,1.515.152.000,0,0,0,0,1.093.320.000,421.832.000,1.515.152.000
48,30/06/2012,"R$ 11,09 B","R$ 830,96 M","R$ 5,48",109.332.000,42.183.000,42.183.000,151.515.000,0,0,0,0,109.332.000,42.183.000,151.515.000
49,31/03/2012,"R$ 11,34 B","R$ 837,37 M","R$ 5,53",109.305.000,42.183.000,42.183.000,151.488.000,0,0,0,0,109.305.000,42.183.000,151.488.000
