,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"-5,08%","-7,03%","-7,69%","-10,65%","-44,69%","-6,25%","27,77%","-7,68%","-4,93%","-0,78%","0,81","9,62","8,62","-33,46"
1,31/03/2024,"-5,33%","-7,23%","-8,07%","-10,96%","-51,13%","-7,56%","27,46%","-9,30%","-5,21%","-1,21%","0,81","9,79","8,79","-20,82"
2,31/12/2023,"-4,39%","-6,06%","-6,64%","-9,18%","-49,68%","-7,38%","27,92%","-9,10%","-4,02%","-0,08%","0,81","9,26","8,26","-290,27"
3,30/09/2023,"-0,62%","-0,81%","-0,95%","-1,23%","-32,48%","-5,25%","28,99%","-5,91%","-0,55%","3,17%","0,89","7,28","6,28","7,30"
4,30/06/2023,"2,12%","2,79%","3,21%","4,23%","-20,53%","-3,38%","30,67%","-3,76%","1,83%","5,52%","0,90","7,15","6,15","4,62"
5,31/03/2023,"3,79%","5,02%","5,74%","7,61%","-11,66%","-1,89%","31,36%","-2,13%","3,40%","7,07%","0,89","6,76","5,76","3,75"
6,31/12/2022,"4,25%","5,77%","6,44%","8,74%","-6,07%","-0,97%","31,04%","-1,11%","3,76%","7,38%","0,87","6,73","5,73","3,23"
7,30/09/2022,"4,24%","5,78%","6,43%","8,76%","-2,64%","-0,43%","30,44%","-0,50%","4,10%","7,77%","0,86","6,18","5,18","3,45"
8,30/06/2022,"-0,01%","-0,02%","-0,02%","-0,03%","-9,28%","-1,75%","30,15%","-1,92%","-0,01%","3,49%","0,91","6,07","5,07","7,17"
9,31/03/2022,"-1,06%","-1,40%","-1,61%","-2,12%","-7,45%","-1,37%","30,03%","-1,49%","-0,96%","2,41%","0,92","6,16","5,16","10,98"
10,31/12/2021,"-1,36%","-1,87%","-2,07%","-2,84%","-4,97%","-0,90%","30,19%","-0,96%","-1,11%","2,10%","0,93","6,27","5,27","11,76"
11,30/09/2021,"-2,41%","-3,33%","-3,65%","-5,05%","0,18%","0,03%","30,57%","0,03%","-1,82%","1,12%","1,07","6,18","5,18","23,44"
12,30/06/2021,"6,98%","11,23%","10,57%","17,02%","24,52%","4,27%","31,96%","3,79%","4,50%","7,35%","1,13","5,31","4,31","2,98"
13,31/03/2021,"10,85%","25,37%","16,44%","38,44%","182,68%","4,89%","32,84%","3,89%","5,38%","8,45%","1,26","5,42","4,42","3,04"
14,31/12/2020,"9,69%","20,89%","14,68%","31,65%","173,70%","4,11%","32,75%","3,47%","5,60%","8,76%","1,18","5,53","4,53","2,41"
15,30/09/2020,"3,27%","5,50%","4,95%","8,34%","-14,04%","-0,95%","32,50%","-0,77%","1,75%","5,21%","1,24","5,34","4,34","4,27"
16,30/06/2020,"-4,84%","-8,17%","-7,33%","-12,39%","-61,78%","-5,36%","31,00%","-4,59%","-2,92%","0,78%","1,17","5,74","4,74","18,46"
17,31/03/2020,"-6,77%","-12,33%","-10,26%","-18,68%","-68,71%","-6,22%","29,40%","-5,34%","-3,65%","-0,12%","1,17","37,35","36,35","-115,35"
18,31/12/2019,"-15,57%","-21,42%","-23,60%","-32,45%","-56,80%","-6,81%","28,62%","-5,59%","-4,06%","-0,62%","1,22","42,26","41,26","-28,53"
19,30/09/2019,"-5,12%","-5,52%","-7,76%","-8,37%","-29,92%","-4,54%","27,29%","-3,29%","-2,03%","-0,59%","1,38","14,80","13,80","-27,62"
20,30/06/2019,"-0,10%","-0,11%","-0,15%","-0,17%","-18,77%","-2,96%","27,58%","-2,06%","-0,04%","1,32%","1,44","11,53","10,53","11,61"
