,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield,ticker
0,Atual - 18/09/2024,"7,87","2,48","0,76","5,26","0,20","R$ 4,27 B","4,43%",275
1,30/06/2024,"6,85","2,16","0,66","4,58","0,17","R$ 3,74 B","6,45%",275
2,31/03/2024,"6,46","1,89","0,57","3,83","0,15","R$ 2,98 B","4,38%",275
3,31/12/2023,"5,85","1,47","0,44","-21,20","0,12","R$ 2,34 B","7,36%",275
4,30/09/2023,"4,83","0,95","0,28","-422,27","0,08","R$ 1,38 B","6,08%",275
5,30/06/2023,"6,09","0,97","0,29","-2,55","0,08","R$ 1,52 B","4,55%",275
6,31/03/2023,"5,32","0,79","0,25","-3,41","0,07","R$ 1,06 B","5,79%",275
7,31/12/2022,"5,32","0,80","0,26","4,52","0,07","R$ 1,11 B","2,77%",275
8,30/09/2022,"5,11","0,82","0,28","-8,46","0,07","R$ 1,10 B","5,73%",275
9,30/06/2022,"4,97","0,83","0,31","2,43","0,07","R$ 1,16 B","5,12%",275
10,31/03/2022,"5,18","0,86","0,34","-2,84","0,08","R$ 1,59 B","5,14%",275
11,31/12/2021,"5,91","1,01","0,41","-1,73","0,09","R$ 1,27 B","5,80%",275
12,30/09/2021,"5,07","0,87","0,36","-1,82","0,08","R$ 1,08 B","7,06%",275
13,30/06/2021,"6,15","1,03","0,44","-1,51","0,10","R$ 1,16 B","4,08%",275
14,31/03/2021,"6,07","0,91","0,39","-3,43","0,09","R$ 969,03 M","4,75%",275
15,31/12/2020,"5,11","0,92","0,37","31,89","0,08","R$ 920,43 M","3,86%",275
16,30/09/2020,"7,16","1,04","0,42","1,95","0,10","R$ 976,50 M","3,52%",275
17,30/06/2020,"4,92","0,74","0,27","0,74","0,07","R$ 769,56 M","5,11%",275
18,31/03/2020,"3,81","0,57","0,21","1,02","0,05","R$ 625,34 M","6,73%",275
19,31/12/2019,"7,56","0,95","0,33","0,81","0,08","R$ 838,26 M","4,15%",275
20,30/09/2019,"6,57","0,70","0,25","1,00","0,06","R$ 631,54 M","5,62%",275
21,30/06/2019,"8,67","0,79","0,28","0,72","0,07","R$ 669,45 M","5,15%",275
22,31/03/2019,"6,24","0,47","0,16","0,48","0,04","R$ 386,89 M","9,03%",275
23,31/12/2018,"7,56","0,53","0,17","1,17","0,04","R$ 423,30 M","8,09%",275
24,30/09/2018,"5,62","0,38","0,12","-5,41","0,03","R$ 345,09 M","11,25%",275
25,30/06/2018,"6,19","0,34","0,10","-0,75","0,03","R$ 273,82 M","11,32%",275
26,31/03/2018,"5,70","0,33","0,10","-0,42","0,03","R$ 266,10 M","11,96%",275
27,31/12/2017,"5,09","0,29","0,08","-1,60","0,02","R$ 316,29 M","6,26%",275
28,30/09/2017,"22,02","0,29","0,08","1,88","0,02","R$ 235,40 M","6,84%",275
29,30/06/2017,"19,58","0,31","0,07","-1,80","0,02","R$ 252,40 M","13,88%",275
30,31/03/2017,"21,99","0,31","0,07","1,51","0,02","R$ 250,61 M","14,15%",275
31,31/12/2016,"15,16","0,33","0,07","0,92","0,02","R$ 267,32 M","12,26%",275
32,30/09/2016,"7,03","0,26","0,06","0,23","0,02","R$ 210,40 M","16,55%",275
33,30/06/2016,"7,01","0,39","0,08","0,45","0,02","R$ 315,00 M","11,65%",275
34,31/03/2016,"3,18","0,34","0,07","0,49","0,02","R$ 265,34 M","13,08%",275
35,31/12/2015,"1,96","0,26","0,05","0,62","0,02","R$ 231,73 M","8,25%",275
36,30/09/2015,"9,44","0,27","0,06","-0,40","0,02","R$ 280,28 M","24,44%",275
37,30/06/2015,"-8,27","0,28","0,06","-0,79","0,02","R$ 203,75 M","23,87%",275
38,31/03/2015,"-1,60","0,29","0,06","-6,81","0,02","R$ 246,42 M","15,50%",275
39,31/12/2014,"-1,08","0,32","0,07","-1,94","0,02","R$ 278,60 M","20,78%",275
40,30/09/2014,"-2,25","0,28","0,07","0,61","0,02","R$ 244,13 M","7,63%",275
41,30/06/2014,"-2,81","0,40","0,11","6,82","0,02","R$ 427,55 M","5,07%",275
42,31/03/2014,"-7,52","0,44","0,13","-5,06","0,03","R$ 522,01 M","8,53%",275
43,31/12/2013,"3,96","0,35","0,11","-2,04","0,02","R$ 475,22 M","9,47%",275
44,30/09/2013,"-23,22","0,56","0,19","-0,60","0,03","R$ 585,71 M","6,43%",275
45,30/06/2013,"11,12","0,57","0,19","-4,35","0,03","R$ 619,82 M","6,33%",275
46,31/03/2013,"9,14","0,58","0,20","1,45","0,04","R$ 632,12 M","6,37%",275
47,31/12/2012,"3,68","0,59","0,17","0,80","0,03","R$ 601,54 M","6,44%",275
48,30/09/2012,"8,75","0,54","0,19","0,57","0,03","R$ 579,70 M","6,11%",275
49,30/06/2012,"7,27","0,50","0,16","0,46","0,03","R$ 538,41 M","5,56%",275
50,31/03/2012,"4,79","0,58","0,19","0,53","0,04","R$ 505,94 M","7,08%",275
51,31/12/2011,"6,12","0,68","0,17","0,85","0,04","R$ 504,04 M","7,03%",275
52,30/09/2011,"4,74","0,56","0,21","0,48","0,04","R$ 496,73 M","8,33%",275
53,30/06/2011,"4,73","0,52","0,23","28,14","0,04","R$ 476,54 M","9,19%",275
54,31/03/2011,"12,25","0,61","0,28","-47,30","0,04","R$ 502,12 M","12,86%",275
55,31/12/2010,"2,28","0,73","0,20","-40,59","0,04","R$ 482,21 M","12,73%",275
56,30/09/2010,"2,93","0,63","0,27","-2,09","0,04","R$ 483,95 M","11,89%",275
57,30/06/2010,"3,19","0,68","0,29","-57,08","0,05","R$ 523,19 M","2,23%",275
58,31/03/2010,"2,29","0,48","0,24","-12,19","0,04","R$ 353,78 M","5,04%",275
59,31/12/2009,"8,48","0,63","0,23","9,73","0,04","R$ 344,26 M","2,50%",275
60,30/09/2009,"9,86","0,66","0,22","0,83","0,05","R$ 357,29 M","4,72%",275
61,30/06/2009,"9,59","0,53","0,15","0,64","0,04","R$ 297,39 M","5,96%",275
62,31/03/2009,"7,20","0,48","0,14","1,34","0,04","R$ 257,21 M","7,47%",275
63,31/12/2008,"5,95","0,49","0,15","0,99","0,04","R$ 245,74 M","7,38%",275
64,30/09/2008,"5,95","0,44","0,16",,"0,03","R$ 287,75 M","8,15%",275
65,30/06/2008,"8,53","0,83","0,36",,"0,05","R$ 471,27 M","3,82%",275
66,31/03/2008,"10,68","0,94","0,38",,"0,06","R$ 488,55 M","3,44%",275
67,31/12/2007,"275,66","20,14","8,07",,"1,40","R$ 10,93 B","3,29%",275
68,30/09/2007,"12,82","0,80","0,33",,"0,06","R$ 475,09 M","4.114,71%",275
69,30/06/2007,"15,68","0,72","0,29",,"0,06","R$ 408,88 M","4.660,00%",275
70,31/03/2007,"25,88","0,96","0,39",,"0,08","R$ 538,11 M","3.499,37%",275
71,31/12/2006,"11,64","0,48","0,19",,"0,04","R$ 323,02 M","7.171,25%",275
72,30/09/2006,"7,79","0,35","0,14",,"0,03","R$ 258,63 M","9.776,22%",275
73,30/06/2006,"9,80","0,40","0,16",,"0,04","R$ 265,74 M","8.605,72%",275
74,31/03/2006,"9,85","0,39","0,16",,"0,04","R$ 263,57 M","8.932,91%",275
75,31/12/2005,"9,84","0,37","0,16",,"0,04","R$ 260,28 M","9.477,97%",275
76,30/09/2005,"6,44","0,42","0,16",,"0,04","R$ 220,09 M","7.877,14%",275
77,30/06/2005,"5,49","0,42","0,16",,"0,04","R$ 220,09 M","7.877,14%",275
78,31/03/2005,"5,12","0,42","0,16",,"0,04","R$ 220,09 M","8.399,52%",275
79,31/12/2004,"4,90","0,44","0,17",,"0,04","R$ 221,91 M","8.166,67%",275
80,30/09/2004,"11,42","0,76","0,29",,"0,06","R$ 268,15 M","4.593,80%",275
81,30/06/2004,"4,69","0,57","0,21",,"0,05","R$ 238,36 M","6.257,78%",275
82,31/03/2004,"4,43","0,47","0,17",,"0,04","R$ 239,36 M","6.675,68%",275
83,31/12/2003,"4,87","0,51","0,18",,"0,05","R$ 244,84 M","6.175,00%",275
84,30/09/2003,"4,46","0,46","0,17",,"0,04","R$ 239,36 M","6.175,68%",275
85,30/06/2003,"7,41","0,39","0,13",,"0,04","R$ 177,90 M","7.241,38%",275
86,31/03/2003,"7,00","0,40","0,15",,"0,04","R$ 179,72 M","7.000,00%",275
87,31/12/2002,"6,79","0,38","0,15",,"0,03","R$ 176,07 M","7.500,00%",275
88,30/09/2002,"5,18","0,36","0,15",,"0,04","R$ 176,07 M","8.160,71%",275
89,30/06/2002,"5,44","0,33","0,15",,"0,03","R$ 174,24 M","8.462,96%",275
90,31/03/2002,"5,04","0,44","0,20",,"0,05","R$ 188,86 M","7.057,14%",275
91,31/12/2001,"5,80","0,50","0,24",,"0,05","R$ 196,17 M","6.333,33%",275
92,30/06/2001,"4,27","0,46","0,24",,"0,05","R$ 188,86 M","7.057,14%",275
93,31/03/2001,"4,86","0,46","0,24",,"0,05","R$ 187,04 M","7.264,49%",275
94,31/12/2000,"4,19","0,46","0,25",,"0,05","R$ 187,03 M","7.264,71%",275
95,30/09/2000,"4,88","0,42","0,23",,"0,06","R$ 179,72 M","8.116,67%",275
96,30/06/2000,"4,50","0,37","0,20",,"0,05","R$ 151,02 M","9.452,64%",275
97,31/03/2000,"4,73","0,32","0,18",,"0,05","R$ 156,21 M","9.823,01%",275
