,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"9,31","0,70","8,90","7,34","7,36","0,61","82,76","0,84","-7,85","-7,37","1,02","-0,84","-0,70","-0,06","R$ 140,11 M","12,74%"
1,30/06/2024,"9,52","0,72","9,10","7,50","7,53","0,62","84,61","0,86","-6,00","-5,63","1,04","-0,65","-0,53","-0,04","R$ 143,24 M","12,47%"
2,31/03/2024,"9,13","0,77","11,00","8,70","8,72","0,67","46,21","0,92","-1,68","-1,62","1,13","-0,40","-0,32","-0,02","R$ 161,46 M","11,06%"
3,31/12/2023,"10,12","0,87","11,35","7,36","7,38","0,75","62,62","1,05","5,99","5,77","1,30","1,09","0,71","0,07","R$ 180,53 M","14,56%"
4,30/09/2023,"6,38","0,68","8,69","5,24","5,26","0,59","33,79","0,81","-4,41","-4,29","0,98","-1,13","-0,69","-0,08","R$ 139,15 M","18,88%"
5,30/06/2023,"5,39","0,73","8,30","4,48","4,52","0,63","15,99","0,86","-0,91","-0,90","1,05","-0,47","-0,26","-0,04","R$ 144,89 M","18,14%"
6,31/03/2023,"5,32","0,73","7,72","3,65","3,67","0,64","13,61","0,82","-2,96","-3,02","0,97","-1,68","-0,80","-0,14","R$ 149,18 M","17,62%"
7,31/12/2022,"6,58","0,85","9,33","4,83","4,85","0,74","16,51","0,97","0,12","0,12","1,16","0,07","0,03","0,01","R$ 172,81 M","4,70%"
8,30/09/2022,"5,05","0,56","6,42","3,23","3,25","0,50","10,90","0,65","-4,59","-4,41","0,75","-2,70","-1,37","-0,21","R$ 115,05 M","7,07%"
9,30/06/2022,"6,92","0,58","6,25","4,85","4,87","0,52","16,57","0,68","-5,67","-5,11","0,79","-2,14","-1,66","-0,18","R$ 113,68 M","7,15%"
10,31/03/2022,"11,44","0,55","6,31","13,26","13,43","0,49","44,33","0,67","-16,27","-10,14","0,79","-2,32","-4,93","-0,18","R$ 109,14 M","7,45%"
11,31/12/2021,"13,94","0,59","6,37","-61,89","-56,27","0,52","36,21","0,69","-10,27","-6,79","0,81","-1,81","15,97","-0,15","R$ 112,32 M","3,21%"
12,30/09/2021,"25,22","0,55","5,32","-23,99","-23,05","0,49","114,67","0,65","-35,94","-11,17","0,75","-1,67","7,22","-0,15","R$ 103,77 M","3,47%"
13,30/06/2021,"35,92","0,55","4,46","-17,39","-16,85","0,49","115,83","0,66","-36,12","-12,46","0,79","-1,39","5,25","-0,15","R$ 104,59 M","3,45%"
14,31/03/2021,"32,85","0,57","4,77","69,37","76,66","0,51","57,42","0,67","-19,80","-10,04","0,79","-1,65","-26,44","-0,18","R$ 107,32 M","3,36%"
15,31/12/2020,"31,61","0,58","5,05","14,79","14,98","0,51","79,12","0,69","-27,90","-11,68","0,82","-1,78","-5,28","-0,18","R$ 110,05 M","2,51%"
16,30/09/2020,"26,65","0,59","5,25","37,56","39,12","0,53","155,03","0,68","-48,11","-13,70","0,79","-1,63","-12,14","-0,16","R$ 109,14 M","2,53%"
17,30/06/2020,"24,68","0,52","5,85","21,63","22,19","0,45","-58,81","0,60","30,18","-71,24","0,72","-3,00","-11,38","-0,23","R$ 95,51 M","2,90%"
18,31/03/2020,"35,57","0,51","5,76","28,86","30,01","0,45","-18,72","0,57","10,72","21,22","0,66","-3,30","-17,18","-0,26","R$ 90,50 M","3,06%"
19,31/12/2019,"35,38","0,50","6,12","44,35","46,34","0,43","-17,81","0,60","8,58","15,78","0,74","-2,95","-22,33","-0,21","R$ 95,04 M","4,01%"
20,30/09/2019,"32,79","0,61","7,77","40,11","40,66","0,53","-25,81","0,73","5,23","8,90","0,90","-1,57","-8,23","-0,11","R$ 115,96 M","3,29%"
21,30/06/2019,"33,31","0,62","8,15","-256,55","-245,16","0,53","-25,88","0,73","5,26","7,36","0,91","-1,66","49,82","-0,11","R$ 115,96 M","3,29%"
22,31/03/2019,"31,91","0,62","8,43","-10,41","-10,41","0,53","-25,88","0,72","5,41","6,40","0,89","-1,76","2,18","-0,11","R$ 116,42 M","3,27%"
23,31/12/2018,"35,23","0,71","9,41","1.255,33","759,04","0,64","-30,57","0,80","4,68","4,81","0,91","-1,44","-116,16","-0,10","R$ 130,55 M","6,21%"
24,30/09/2018,"36,58","0,71","8,40","79,62","76,59","0,64","-30,48","0,79","4,77","4,91","0,90","-1,31","-11,99","-0,10","R$ 128,75 M","6,30%"
25,30/06/2018,"29,94","0,83","9,78","13,85","13,77","0,75","-48,52","0,92","1,69","1,77","1,04","-0,34","-0,48","-0,03","R$ 148,24 M","5,47%"
26,31/03/2018,"21,37","0,69","8,16","5,66","5,65","0,62","-59,36","0,78","15,07","16,20","0,90","-2,07","-1,43","-0,16","R$ 130,06 M","6,23%"
27,31/12/2017,"19,20","0,84","9,43","10,10","10,11","0,76","-51,05","0,92","1,55","1,65","1,05","-0,29","-0,31","-0,02","R$ 154,16 M","10,17%"
28,30/09/2017,"18,72","0,84","9,36","8,09","8,11","0,76","-30,67","0,91","0,70","0,73","1,04","-0,21","-0,18","-0,02","R$ 154,16 M","10,17%"
29,30/06/2017,"17,50","0,89","8,92","6,69","6,71","0,77","-26,35","0,93","0,89","0,92","1,10","-0,30","-0,23","-0,03","R$ 156,89 M","9,99%"
30,31/03/2017,"8,68","0,72","7,51","4,80","4,82","0,63","-34,51","0,76","8,88","9,46","0,90","-1,93","-1,24","-0,16","R$ 136,43 M","11,49%"
31,31/12/2016,"8,67","0,74","7,10","4,31","4,32","0,64","-37,54","0,78","7,71","8,27","0,95","-1,46","-0,89","-0,13","R$ 137,78 M","7,51%"
32,30/09/2016,"7,95","0,70","6,77","3,98","3,99","0,61","-27,92","0,74","6,37","6,73","0,87","-1,54","-0,91","-0,14","R$ 130,96 M","7,90%"
33,30/06/2016,"7,06","0,64","5,87","9,53","9,56","0,56","-25,55","0,66","9,29","9,86","0,78","-2,14","-3,48","-0,20","R$ 115,97 M","8,92%"
34,31/03/2016,"12,03","0,72","6,21","11,00","11,05","0,64","-22,89","0,74","6,00","6,29","0,85","-1,63","-2,90","-0,17","R$ 128,69 M","8,04%"
35,31/12/2015,"10,92","0,67","5,67","14,41","14,61","0,59","-23,06","0,68","7,63","8,03","0,78","-1,88","-4,83","-0,20","R$ 116,87 M","11,55%"
36,30/09/2015,"9,94","0,65","4,50","-31,78","-30,54","0,58","-84,49","0,67","25,03","30,52","0,77","-1,33","9,05","-0,17","R$ 114,14 M","11,83%"
37,30/06/2015,"9,88","0,66","4,01","11,89","12,05","0,58","442,74","0,71","-143,21","-74,85","0,83","-1,30","-3,90","-0,19","R$ 117,33 M","11,51%"
38,31/03/2015,"10,71","0,71","4,10","17,75","18,05","0,63","279,54","0,75","-73,78","-47,87","0,86","-1,08","-4,76","-0,17","R$ 129,15 M","10,45%"
39,31/12/2014,"10,97","0,71","3,90","16,57","16,73","0,62","272,66","0,75","-65,24","-41,56","0,88","-0,93","-4,00","-0,15","R$ 127,33 M","8,35%"
40,30/09/2014,"14,87","0,70","4,09","8,47","8,48","0,62","-225,42","0,67","39,61","76,85","0,77","-0,72","-1,49","-0,11","R$ 131,20 M","8,10%"
41,30/06/2014,"15,83","0,76","3,99","9,20","9,21","0,67","-1.100,78","0,73","128,80","-97,18","0,84","-0,47","-1,08","-0,08","R$ 138,70 M","7,66%"
42,31/03/2014,"16,79","0,76","3,95","20,13","20,16","0,66","234,27","0,73","-38,46","-25,47","0,84","-0,65","-3,31","-0,11","R$ 139,15 M","7,64%"
43,31/12/2013,"20,90","0,89","4,72","62,72","62,53","0,78","205,09","0,85","11,53","8,17","0,99","0,27","3,52","0,04","R$ 163,26 M","10,09%"
44,30/09/2013,"16,86","0,83","4,46","39,66","40,05","0,71","112,45","0,78","1,80","1,05","0,93","0,07","0,64","0,01","R$ 154,62 M","10,66%"
45,30/06/2013,"17,25","0,82","4,54","163,37","169,88","0,70","138,11","0,79","-4,09","-2,34","0,94","-0,13","-5,03","-0,02","R$ 149,16 M","11,05%"
46,31/03/2013,"17,68","0,81","4,67","18,89","18,94","0,69","197,35","0,77","-18,43","-10,35","0,92","-0,44","-1,77","-0,06","R$ 156,89 M","10,50%"
47,31/12/2012,"15,60","0,85","4,62","15,27","15,30","0,71","129,93","0,79","-4,67","-3,50","0,97","-0,17","-0,55","-0,03","R$ 163,71 M","14,24%"
48,30/09/2012,"13,03","0,79","4,48","13,27","13,25","0,67","242,24","0,73","-16,05","21,72","0,88","-0,30","-0,88","-0,04","R$ 155,03 M","15,04%"
49,30/06/2012,"9,95","0,72","3,93","9,68","9,64","0,60","91,80","0,66","-22,07","-55,30","0,81","-0,95","-2,32","-0,14","R$ 137,78 M","16,92%"
50,31/03/2012,"8,24","0,67","4,18","11,02","11,01","0,57","90,89","0,61","-29,65","-53,16","0,74","-1,36","-3,59","-0,18","R$ 140,97 M","16,54%"
51,31/12/2011,"7,53","0,87","5,16","11,72","8,19","0,71","22,94","0,80","-0,53","-0,56","1,01","-0,12","-0,19","-0,02","R$ 178,26 M","93,81%"
52,30/09/2011,"6,79","0,70","4,35","10,16","6,97","0,59","124,84","0,65","-27,09","-18,45","0,79","-0,94","-1,51","-0,13","R$ 145,07 M","115,27%"
53,30/06/2011,"0,66","0,60","4,08","6,79","0,61","0,50","0,50","0,55","-0,21","-0,21","0,66","-1,72","-0,26","-0,21","R$ 122,78 M","136,19%"
54,31/03/2011,"0,82","0,46","4,94","8,11","0,75","0,37","0,61","0,43","-0,77","-0,76","0,55","-6,23","-0,94","-0,46","R$ 150,07 M","111,43%"
55,31/12/2010,"2,21","1,21","12,75","26,80","2,02","0,80","1,60","1,14","0,24","0,24","2,20","1,94","0,31","0,12","R$ 384,26 M","2,90%"
56,30/09/2010,"1,69","0,82","9,84","17,97","1,64","0,63","1,20","0,79","-0,10",NA,"1,12","-0,84","-0,14","-0,05","R$ 295,59 M","3,77%"
57,30/06/2010,"36,96","1,50","9,06","22,02","3,40","1,28","-122,78","1,48","-61,02",NA,"1,79","4,50","1,69","0,64","R$ 282,40 M","3,95%"
58,31/03/2010,"27,15","1,07","6,88","15,58","-15,44","0,90","-127,95","1,04","-37,59",NA,"1,26","2,02","-4,54","0,27","R$ 214,19 M","5,21%"
59,31/12/2009,"20,45","0,86","5,51","13,12",NA,"0,72","-88,44","0,84","-12,37",NA,"1,04","0,77",NA,"0,10","R$ 172,81 M","5,88%"
60,30/09/2009,"15,40","0,87","5,15","17,27",NA,"0,72","-90,52","0,84","-16,34",NA,"1,05","0,93",NA,"0,13","R$ 172,81 M","5,88%"
61,30/06/2009,"14,21","0,96","4,94","18,92",NA,"0,78","-94,17","0,94","-19,65",NA,"1,23","1,03",NA,"0,16","R$ 186,45 M","5,45%"
62,31/03/2009,"20,59","1,27","5,69","40,27",NA,"1,01","-158,74","1,25","-60,44",NA,"1,67","2,16",NA,"0,39","R$ 238,74 M","4,25%"
63,31/12/2008,"23,58","1,37","6,60","65,24",NA,"1,11","-118,82","1,37","-49,56",NA,"1,81","2,75",NA,"0,46","R$ 250,11 M","5,09%"
64,30/09/2008,"34,27","1,48","6,06",NA,NA,"1,29","-239,80","1,58","-239,00",NA,"1,87","6,04",NA,"1,28","R$ 250,11 M","5,09%"
65,30/06/2008,"69,61","1,93","7,69",NA,NA,"1,62","-555,54","2,07","-554,85",NA,"2,61","7,68",NA,"1,62","R$ 318,33 M","4,00%"
