,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 1,46 B","R$ 1,14 B","R$ 13,13",87.003.692,0,0,87.003.692,1.395.300,0,0,1.395.300,85.608.392,0,85.608.392,211
1,31/03/2024,"R$ 1,45 B","R$ 1,11 B","R$ 12,71",87.003.692,0,0,87.003.692,0,0,0,0,87.003.692,0,87.003.692,211
2,31/12/2023,"R$ 1,44 B","R$ 1,08 B","R$ 12,45",87.003.692,0,0,87.003.692,785.800,0,0,785.800,86.217.892,0,86.217.892,211
3,30/09/2023,"R$ 1,39 B","R$ 1,08 B","R$ 12,41",87.003.692,0,0,87.003.692,704.700,0,0,704.700,86.298.992,0,86.298.992,211
4,30/06/2023,"R$ 1,33 B","R$ 1,06 B","R$ 11,70",90.909.092,0,0,90.909.092,3.905.400,0,0,3.905.400,87.003.692,0,87.003.692,211
5,31/03/2023,"R$ 1,35 B","R$ 1,07 B","R$ 11,73",90.909.092,0,0,90.909.092,3.805.400,0,0,3.805.400,87.103.692,0,87.103.692,211
6,31/12/2022,"R$ 1,35 B","R$ 1,06 B","R$ 12,20",86.756.392,0,0,86.756.392,4.152.700,0,0,4.152.700,82.603.692,0,82.603.692,211
7,30/09/2022,"R$ 1,39 B","R$ 1,06 B","R$ 11,70",90.909.092,0,0,90.909.092,3.448.700,0,0,3.448.700,87.460.392,0,87.460.392,211
8,30/06/2022,"R$ 1,37 B","R$ 1,03 B","R$ 11,34",90.909.092,0,0,90.909.092,3.169.100,0,0,3.169.100,87.739.992,0,87.739.992,211
9,31/03/2022,"R$ 1,41 B","R$ 1,02 B","R$ 11,23",90.909.092,0,0,90.909.092,2.474.200,0,0,2.474.200,88.434.892,0,88.434.892,211
10,31/12/2021,"R$ 1,45 B","R$ 1,03 B","R$ 11,33",90.909.092,0,0,90.909.092,2.304.200,0,0,2.304.200,88.604.892,0,88.604.892,211
11,30/09/2021,"R$ 1,17 B","R$ 1,02 B","R$ 11,24",90.909.092,0,0,90.909.092,0,0,0,0,90.909.092,0,90.909.092,211
12,30/06/2021,"R$ 1,07 B","R$ 1,01 B","R$ 11,16",90.909.092,0,0,90.909.092,0,0,0,0,90.909.092,0,90.909.092,211
13,31/03/2021,"R$ 1,53 B","R$ 1,04 B","R$ 11,46",90.909.092,0,0,90.909.092,0,0,0,0,90.909.092,0,90.909.092,211
14,31/12/2020,"R$ 456,93 M","R$ 154,63 M","R$ 1,70",90.909.092,0,0,90.909.092,0,0,0,0,90.909.092,0,90.909.092,211
15,30/09/2020,"R$ 455,55 M","R$ 155,34 M","R$ 0,01",18.339.103.855,0,0,18.339.103.855,0,0,0,0,18.339.103.855,0,18.339.103.855,211
16,30/06/2020,"R$ 390,49 M","R$ 371,49 M","R$ 0,02",18.339.103.855,0,0,18.339.103.855,1,0,0,1,18.339.103.854,0,18.339.103.854,211
17,31/03/2020,"R$ 382,27 M","R$ 362,27 M","R$ 0,02",18.339.103.855,0,0,18.339.103.855,1,0,0,1,18.339.103.854,0,18.339.103.854,211
18,31/12/2019,"R$ 372,89 M","R$ 352,30 M","R$ 0,02",18.339.103.855,0,0,18.339.103.855,1,0,0,1,18.339.103.854,0,18.339.103.854,211
