,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"- R$ 25,66 B","- R$ 645,11 M","R$ 2,76 B","- R$ 23,27 B",323
1,31/03/2024,"R$ 13,45 B","R$ 2,19 B","R$ 2,51 B","R$ 18,15 B",323
2,31/12/2023,"- R$ 2,80 B","- R$ 3,62 B","R$ 5,06 B","- R$ 1,41 B",323
3,30/09/2023,"R$ 8,91 B","- R$ 5,64 B","R$ 8,64 B","R$ 11,91 B",323
4,30/06/2023,"- R$ 18,25 B","- R$ 1,60 B","R$ 1,67 B","- R$ 18,25 B",323
5,31/03/2023,"R$ 10,08 B","- R$ 111,49 M","- R$ 2,86 B","R$ 7,11 B",323
6,31/12/2022,"R$ 23,87 B","- R$ 1,89 B","- R$ 1,40 B","R$ 20,67 B",323
7,30/09/2022,"- R$ 4,47 B","R$ 1,03 B","R$ 2,30 B","- R$ 1,12 B",323
8,30/06/2022,"R$ 6,39 B","- R$ 4,63 B","R$ 3,17 B","R$ 4,88 B",323
9,31/03/2022,"- R$ 3,77 B","- R$ 830,91 M","R$ 721,62 M","- R$ 3,88 B",323
10,31/12/2021,"R$ 12,59 B","- R$ 1,44 B","- R$ 896,84 M","R$ 10,25 B",323
11,30/09/2021,"- R$ 2,83 B","- R$ 641,94 M","R$ 3,96 B","R$ 483,62 M",323
12,30/06/2021,"R$ 159,34 M","R$ 409,57 M","- R$ 1,04 B","- R$ 467,15 M",323
13,31/03/2021,"- R$ 8,82 B","R$ 122,22 M","R$ 6,40 B","- R$ 2,29 B",323
14,31/12/2020,"- R$ 8,01 B","R$ 20,75 M","- R$ 210,06 M","- R$ 8,20 B",323
15,30/09/2020,"- R$ 9,91 B","R$ 576,70 M","R$ 5,07 B","- R$ 4,27 B",323
16,30/06/2020,"- R$ 8,56 B","- R$ 624,35 M","R$ 12,23 B","R$ 3,05 B",323
17,31/03/2020,"R$ 27,98 B","R$ 546,04 M","R$ 1,98 B","R$ 30,51 B",323
18,31/12/2019,,,,,323
19,30/09/2019,"- R$ 21,80 B","R$ 884,88 M","R$ 203,61 M","- R$ 20,71 B",323
20,30/06/2019,"R$ 4,72 B","R$ 235,59 M","R$ 1,00 B","R$ 5,95 B",323
21,31/03/2019,"R$ 8,71 B","R$ 404,29 M","R$ 2,15 B","R$ 11,27 B",323
22,31/12/2018,,,,,323
23,30/09/2018,"R$ 11,90 B","R$ 963,76 M","R$ 725,75 M","R$ 13,59 B",323
24,30/06/2018,"- R$ 3,86 B","R$ 136,12 M","R$ 1,64 B","- R$ 2,09 B",323
25,31/03/2018,"R$ 7,98 B","- R$ 217,49 M","- R$ 1,03 B","R$ 6,72 B",323
26,31/12/2017,,,,,323
27,30/09/2017,"- R$ 1,59 B","R$ 114,19 M","- R$ 2,31 B","- R$ 3,78 B",323
28,30/06/2017,"R$ 5,55 B","R$ 876,34 M","- R$ 447,04 M","R$ 5,98 B",323
29,31/03/2017,"R$ 9,26 B","R$ 629,66 M","- R$ 2,96 B","R$ 6,94 B",323
30,31/12/2016,,,,,323
31,30/09/2016,"R$ 3,80 B","R$ 1,38 B","- R$ 3,74 B","R$ 1,44 B",323
32,30/06/2016,"R$ 5,92 B","- R$ 1,16 B","- R$ 4,69 B","R$ 71,85 M",323
33,31/03/2016,"R$ 1,29 B","R$ 354,67 M","- R$ 4,28 B","- R$ 2,63 B",323
34,31/12/2015,,,,,323
35,30/09/2015,"- R$ 13,45 B","R$ 3,13 B","R$ 2,25 B","- R$ 8,07 B",323
36,30/06/2015,"R$ 5,63 B","- R$ 1,69 B","- R$ 532,23 M","R$ 3,40 B",323
37,31/03/2015,"R$ 796,74 M","- R$ 6,24 B","R$ 2,35 B","- R$ 3,10 B",323
38,31/12/2014,,,,,323
39,30/09/2014,"- R$ 2,74 B","- R$ 888,41 M","R$ 4,13 B","R$ 495,86 M",323
40,30/06/2014,"R$ 12,37 B","- R$ 530,06 M","R$ 1,69 B","R$ 13,53 B",323
41,31/03/2014,"- R$ 2,17 B","- R$ 355,85 M","R$ 182,11 M","- R$ 2,35 B",323
42,31/12/2013,,,,,323
43,30/09/2013,"- R$ 981,30 M","- R$ 999,77 M","- R$ 559,86 M","- R$ 2,54 B",323
44,30/06/2013,"- R$ 7,20 B","R$ 243,20 M","R$ 1,59 B","- R$ 5,37 B",323
45,31/03/2013,"R$ 3,07 B","R$ 23,81 M","R$ 4,12 B","R$ 7,21 B",323
46,31/12/2012,,,,,323
47,30/09/2012,"R$ 4,22 B","- R$ 82,97 M","R$ 2,77 B","R$ 6,91 B",323
48,30/06/2012,"- R$ 4,68 B","- R$ 302,21 M","R$ 3,16 B","- R$ 1,82 B",323
49,31/03/2012,"R$ 1,54 B","- R$ 29,88 M","R$ 504,86 M","R$ 2,02 B",323
50,31/12/2011,,,,,323
51,30/09/2011,"- R$ 5,61 B","- R$ 1,55 B","R$ 3,81 B","- R$ 3,36 B",323
52,30/06/2011,"- R$ 8,95 B","R$ 261,76 M","R$ 10,38 B","R$ 1,69 B",323
53,31/03/2011,"R$ 6,16 B","- R$ 14,80 M","- R$ 4,27 B","R$ 1,87 B",323
