,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 872,70 M","- R$ 721,99 M","R$ 235,44 M","R$ 386,41 M",100
1,31/03/2024,"- R$ 1,33 B","- R$ 703,02 M","R$ 1,84 B","- R$ 197,14 M",100
2,31/12/2023,"R$ 572,96 M","- R$ 384,45 M","- R$ 134,69 M","R$ 59,36 M",100
3,30/09/2023,"- R$ 4,53 B","- R$ 42,71 M","R$ 1,07 B","- R$ 3,51 B",100
4,30/06/2023,"R$ 243,16 M","R$ 3,47 B","- R$ 239,78 M","R$ 3,48 B",100
5,31/03/2023,"R$ 1,24 B","- R$ 540,89 M","- R$ 529,53 M","R$ 169,21 M",100
6,31/12/2022,"R$ 524,52 M","- R$ 39,61 M","- R$ 1,82 B","- R$ 1,33 B",100
7,30/09/2022,"- R$ 8,50 M","R$ 1,27 B","R$ 68,80 M","R$ 1,33 B",100
8,30/06/2022,"R$ 2,47 B","- R$ 3,47 B","R$ 1,00 B","R$ 9,53 M",100
9,31/03/2022,"R$ 1,01 B","- R$ 1,17 B","R$ 233,16 M","R$ 71,91 M",100
10,31/12/2021,"- R$ 2,12 B","- R$ 2,84 B","R$ 2,90 B","- R$ 2,07 B",100
11,30/09/2021,"R$ 1,03 B","R$ 29,17 M","- R$ 316,89 M","R$ 746,33 M",100
12,30/06/2021,"- R$ 4,29 B","- R$ 8,52 M","R$ 4,43 B","R$ 127,49 M",100
13,31/03/2021,"- R$ 647,23 M","- R$ 678,06 M","R$ 73,11 M","- R$ 1,25 B",100
14,31/12/2020,"R$ 105,31 M","- R$ 604,62 M","- R$ 303,74 M","- R$ 800,99 M",100
15,30/09/2020,"R$ 310,93 M","- R$ 66,75 M","R$ 339,39 M","R$ 583,56 M",100
16,30/06/2020,"R$ 1,07 B","- R$ 526,23 M","- R$ 408,71 M","R$ 132,77 M",100
17,31/03/2020,"- R$ 627,70 M","R$ 157,59 M","- R$ 9,47 M","- R$ 479,57 M",100
18,31/12/2019,"R$ 535,51 M","R$ 201,74 M","- R$ 348,08 M","R$ 390,99 M",100
19,30/09/2019,"- R$ 718,05 M","- R$ 16,92 M","R$ 486,22 M","- R$ 248,75 M",100
20,30/06/2019,"- R$ 323,08 M","R$ 30,31 M","R$ 324,32 M","R$ 31,55 M",100
21,31/03/2019,"R$ 310,78 M","R$ 31,43 M","- R$ 78,42 M","R$ 263,80 M",100
22,31/12/2018,"R$ 592,73 M","R$ 284,05 M","- R$ 1,85 B","- R$ 970,26 M",100
23,30/09/2018,"R$ 1,08 B","R$ 6,61 M","R$ 128,85 M","R$ 1,21 B",100
24,30/06/2018,"R$ 567,94 M","R$ 22,12 M","- R$ 195,89 M","R$ 394,18 M",100
25,31/03/2018,"- R$ 240,58 M","R$ 32,02 M","R$ 118,27 M","- R$ 90,29 M",100
26,31/12/2017,"R$ 163,39 M","R$ 847,13 M","- R$ 1,69 B","- R$ 676,58 M",100
27,30/09/2017,"R$ 142,95 M","- R$ 68,64 M","- R$ 54,12 M","R$ 20,19 M",100
28,30/06/2017,"R$ 443,38 M","- R$ 88,40 M","- R$ 232,82 M","R$ 122,17 M",100
29,31/03/2017,"R$ 403,86 M","- R$ 23,62 M","- R$ 346,15 M","R$ 34,10 M",100
30,31/12/2016,"R$ 1,01 B","R$ 167,62 M","- R$ 2,38 B","- R$ 1,21 B",100
31,30/09/2016,"R$ 88,69 M","R$ 13,05 M","- R$ 273,20 M","- R$ 171,46 M",100
32,30/06/2016,"R$ 59,14 M","- R$ 643,00 mil","- R$ 477,07 M","- R$ 418,57 M",100
33,31/03/2016,"R$ 872,37 M","R$ 5,57 M","- R$ 422,86 M","R$ 455,07 M",100
34,31/12/2015,"R$ 2,38 B","- R$ 151,84 M","- R$ 2,96 B","- R$ 729,23 M",100
35,30/09/2015,"R$ 503,08 M","R$ 42,87 M","- R$ 1,00 B","- R$ 454,33 M",100
36,30/06/2015,"R$ 990,02 M","R$ 56,00 mil","- R$ 555,75 M","R$ 434,33 M",100
37,31/03/2015,"R$ 164,13 M","- R$ 1,50 M","R$ 104,14 M","R$ 266,78 M",100
38,31/12/2014,"- R$ 1,47 B","R$ 201,86 M","- R$ 177,37 M","- R$ 1,44 B",100
39,30/09/2014,"- R$ 507,06 M","R$ 9,49 M","R$ 1,34 B","R$ 838,27 M",100
40,30/06/2014,"R$ 787,26 M","R$ 9,05 M","- R$ 544,52 M","R$ 251,80 M",100
41,31/03/2014,"- R$ 571,09 M","R$ 84,69 M","R$ 173,39 M","- R$ 313,00 M",100
42,31/12/2013,"- R$ 957,78 M","R$ 590,43 M","R$ 189,28 M","- R$ 178,06 M",100
43,30/09/2013,"- R$ 423,16 M","- R$ 47,29 M","R$ 16,40 M","- R$ 454,04 M",100
44,30/06/2013,"R$ 269,00 M","R$ 93,03 M","R$ 700,90 M","R$ 1,06 B",100
45,31/03/2013,"- R$ 267,49 M","R$ 33,22 M","R$ 413,53 M","R$ 179,26 M",100
46,31/12/2012,"- R$ 1,32 B","- R$ 683,74 M","R$ 1,39 B","- R$ 610,15 M",100
47,30/09/2012,"R$ 330,16 M","- R$ 867,39 M","R$ 4,84 M","- R$ 532,39 M",100
48,30/06/2012,"- R$ 1,04 B","- R$ 21,40 M","R$ 1,30 B","R$ 234,49 M",100
49,31/03/2012,"- R$ 306,24 M","- R$ 18,11 M","R$ 1,28 B","R$ 957,87 M",100
50,31/12/2011,"- R$ 2,11 B","R$ 70,37 M","R$ 889,55 M","- R$ 1,15 B",100
51,30/09/2011,"- R$ 62,34 M","R$ 61,16 M","- R$ 25,60 M","- R$ 26,78 M",100
52,30/06/2011,"- R$ 1,08 B","R$ 8,86 M","R$ 19,16 M","- R$ 1,05 B",100
53,31/03/2011,"R$ 65,15 M","R$ 65,50 M","R$ 1,22 B","R$ 1,35 B",100
