,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 1,44 B","- R$ 968,00 M","- R$ 1,02 B","- R$ 2,00 M"
1,31/03/2024,"R$ 965,00 M","- R$ 871,00 M","- R$ 264,00 M","R$ 28,00 M"
2,31/12/2023,"R$ 1,01 B","- R$ 1,51 B","R$ 1,16 B","R$ 550,64 M"
3,30/09/2023,"- R$ 2,46 B","- R$ 1,22 B","R$ 3,94 B","R$ 396,67 M"
4,30/06/2023,"R$ 1,98 B","- R$ 868,48 M","R$ 61,77 M","R$ 857,00 M"
5,31/03/2023,"- R$ 2,80 B","- R$ 924,89 M","R$ 3,72 B","- R$ 83,31 M"
6,31/12/2022,"R$ 2,31 B","- R$ 1,54 B","R$ 145,67 M","R$ 729,31 M"
7,30/09/2022,"R$ 2,94 B","- R$ 1,55 B","R$ 643,44 M","R$ 2,21 B"
8,30/06/2022,"R$ 2,00 B","- R$ 1,15 B","- R$ 1,88 B","- R$ 587,01 M"
9,31/03/2022,"R$ 1,71 B","- R$ 711,84 M","R$ 1,32 B","R$ 1,43 B"
10,31/12/2021,"R$ 4,23 B","- R$ 1,38 B","- R$ 6,40 B","- R$ 3,35 B"
11,30/09/2021,"R$ 5,74 B","- R$ 819,21 M","- R$ 3,01 B","R$ 2,26 B"
12,30/06/2021,"R$ 2,51 B","- R$ 708,94 M","- R$ 3,91 B","- R$ 2,73 B"
13,31/03/2021,"R$ 2,30 B","- R$ 475,07 M","- R$ 3,65 B","- R$ 1,37 B"
14,31/12/2020,"R$ 3,84 B","- R$ 807,80 M","- R$ 1,16 B","R$ 1,54 B"
15,30/09/2020,"R$ 971,23 M","- R$ 455,62 M","- R$ 3,32 B","- R$ 2,66 B"
16,30/06/2020,"- R$ 659,19 M","- R$ 556,14 M","R$ 5,72 B","R$ 4,93 B"
17,31/03/2020,"R$ 2,14 B","- R$ 902,26 M","R$ 936,01 M","R$ 3,25 B"
18,31/12/2019,"R$ 917,07 M","- R$ 881,78 M","R$ 1,15 B","R$ 1,09 B"
19,30/09/2019,"R$ 802,03 M","- R$ 904,99 M","- R$ 132,65 M","- R$ 73,28 M"
20,30/06/2019,"- R$ 498,12 M","- R$ 423,62 M","R$ 694,81 M","- R$ 315,67 M"
21,31/03/2019,"R$ 1,04 B","- R$ 456,03 M","- R$ 74,07 M","R$ 556,39 M"
22,31/12/2018,"R$ 1,01 B","- R$ 845,10 M","R$ 412,03 M","R$ 656,50 M"
23,30/09/2018,"R$ 2,11 B","- R$ 580,13 M","- R$ 1,61 B","- R$ 258,73 M"
24,30/06/2018,"R$ 4,33 B","- R$ 659,74 M","- R$ 1,67 B","R$ 1,74 B"
25,31/03/2018,"R$ 1,80 B","- R$ 403,35 M","- R$ 1,73 B","- R$ 361,84 M"
26,31/12/2017,"R$ 1,33 B","- R$ 1,33 B","- R$ 1,63 B","- R$ 1,68 B"
27,30/09/2017,"R$ 1,47 B","- R$ 762,72 M","- R$ 1,08 B","- R$ 259,02 M"
28,30/06/2017,"- R$ 908,57 M","- R$ 38,54 M","R$ 137,11 M","- R$ 905,71 M"
29,31/03/2017,"R$ 568,56 M","- R$ 274,82 M","- R$ 424,11 M","- R$ 84,70 M"
30,31/12/2016,"R$ 724,66 M","- R$ 851,68 M","- R$ 958,67 M","- R$ 1,03 B"
31,30/09/2016,"R$ 2,84 B","- R$ 541,79 M","- R$ 797,38 M","R$ 1,46 B"
32,30/06/2016,"R$ 425,58 M","- R$ 691,86 M","- R$ 847,24 M","- R$ 783,01 M"
33,31/03/2016,"R$ 755,21 M","- R$ 755,54 M","- R$ 154,03 M","R$ 83,92 M"
34,31/12/2015,"R$ 2,34 B","- R$ 1,13 B","- R$ 161,17 M","R$ 1,09 B"
35,30/09/2015,"R$ 3,03 B","- R$ 1,11 B","R$ 57,19 M","R$ 1,53 B"
36,30/06/2015,"R$ 520,02 M","- R$ 1,02 B","R$ 228,74 M","- R$ 250,25 M"
37,31/03/2015,"R$ 2,24 B","- R$ 816,42 M","- R$ 222,25 M","R$ 1,08 B"
38,31/12/2014,"R$ 1,92 B","- R$ 1,66 B","R$ 30,36 M","R$ 270,96 M"
39,30/09/2014,"R$ 1,05 B","- R$ 978,81 M","R$ 561,05 M","R$ 571,51 M"
40,30/06/2014,"R$ 620,59 M","- R$ 1,18 B","R$ 487,69 M","- R$ 63,17 M"
41,31/03/2014,"R$ 206,16 M","- R$ 1,16 B","- R$ 184,70 M","- R$ 1,12 B"
42,31/12/2013,"R$ 985,29 M","- R$ 1,42 B","R$ 1,03 B","R$ 480,93 M"
43,30/09/2013,"- R$ 321,44 M","- R$ 1,63 B","R$ 2,35 B","R$ 454,58 M"
44,30/06/2013,"R$ 1,83 B","- R$ 981,78 M","- R$ 434,82 M","R$ 398,15 M"
45,31/03/2013,"- R$ 39,52 M","- R$ 922,90 M","R$ 670,61 M","- R$ 285,42 M"
46,31/12/2012,"R$ 553,16 M","- R$ 974,86 M","R$ 142,41 M","- R$ 281,25 M"
47,30/09/2012,"R$ 668,71 M","- R$ 450,44 M","R$ 62,41 M","R$ 271,41 M"
48,30/06/2012,"- R$ 87,14 M","- R$ 575,38 M","R$ 710,81 M","R$ 28,88 M"
49,31/03/2012,"R$ 1,44 B","- R$ 833,63 M","- R$ 281,75 M","R$ 316,30 M"
