,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield,ticker
0,Atual - 18/09/2024,"5,52","0,52","0,29","0,27","0,04","R$ 5,14 B","3,28%",273
1,30/06/2024,"5,24","0,49","0,28","0,26","0,04","R$ 4,96 B","4,83%",273
2,31/03/2024,"4,61","0,46","0,27","0,36","0,04","R$ 4,52 B","7,24%",273
3,31/12/2023,,,,,,,,273
4,30/09/2023,"5,29","0,51","0,29","1,71","0,04","R$ 4,82 B","7,77%",273
5,30/06/2023,"6,80","0,58","0,34","-1,88","0,05","R$ 5,62 B","6,44%",273
6,31/03/2023,"5,45","0,52","0,31","-1,33","0,04","R$ 4,83 B","7,20%",273
7,31/12/2022,"5,29","0,47","0,29","5,30","0,04","R$ 4,24 B","8,09%",273
8,30/09/2022,"5,57","0,54","0,36","2,09","0,04","R$ 4,78 B","8,50%",273
9,30/06/2022,"4,78","0,54","0,39","1,17","0,04","R$ 4,64 B","9,90%",273
10,31/03/2022,"5,02","0,54","0,45","0,78","0,05","R$ 4,63 B","8,76%",273
11,31/12/2021,"4,51","0,54","0,51","1,34","0,05","R$ 4,64 B","7,98%",273
12,30/09/2021,"5,67","0,60","0,64","0,96","0,05","R$ 5,02 B","7,83%",273
13,30/06/2021,"6,25","0,65","0,73","0,68","0,06","R$ 5,28 B","5,53%",273
14,31/03/2021,"7,54","0,66","0,67","0,68","0,06","R$ 5,33 B","5,02%",273
15,31/12/2020,"9,60","0,72","0,64","0,52","0,06","R$ 5,72 B","4,51%",273
16,30/09/2020,"6,62","0,71","0,59","0,62","0,07","R$ 5,68 B","4,76%",273
17,30/06/2020,"5,91","0,77","0,59","0,76","0,07","R$ 6,08 B","6,24%",273
18,31/03/2020,"4,49","0,71","0,52","0,92","0,07","R$ 5,17 B","8,14%",273
19,31/12/2019,"7,28","1,18","0,91","-2.174,78","0,11","R$ 8,68 B","5,50%",273
20,30/09/2019,"7,86","1,22","0,87","94,90","0,12","R$ 9,13 B","9,93%",273
21,30/06/2019,"7,85","1,25","0,89","8,43","0,12","R$ 9,36 B","10,51%",273
22,31/03/2019,"8,19","1,25","0,85","2,21","0,12","R$ 9,49 B","8,86%",273
23,31/12/2018,"11,27","1,39","0,98","5,28","0,13","R$ 10,19 B","7,62%",273
24,30/09/2018,"6,22","1,13","0,77","2,41","0,11","R$ 8,23 B","6,19%",273
25,30/06/2018,"5,59","0,99","0,66","3,13","0,09","R$ 6,81 B","6,19%",273
26,31/03/2018,"6,19","1,01","0,68","-32,85","0,10","R$ 7,26 B","7,08%",273
27,31/12/2017,"10,24","1,52","1,01","7,87","0,15","R$ 9,28 B","3,72%",273
28,30/09/2017,"15,74","1,64","0,98","6,47","0,16","R$ 8,48 B","2,80%",273
29,30/06/2017,"13,60","1,21","0,68","6,97","0,11","R$ 7,23 B","4,49%",273
30,31/03/2017,"14,30","1,32","0,74","3,13","0,13","R$ 7,49 B","4,09%",273
31,31/12/2016,"11,10","1,20","0,66","2,04","0,12","R$ 7,44 B","3,07%",273
32,30/09/2016,"8,25","0,82","0,46","1,58","0,08","R$ 5,14 B","6,26%",273
33,30/06/2016,"6,36","0,89","0,49","2,15","0,09","R$ 5,09 B","6,09%",273
34,31/03/2016,"4,23","0,60","0,33","1,58","0,06","R$ 3,70 B","9,44%",273
35,31/12/2015,"2,98","0,40","0,24","1,16","0,04","R$ 2,32 B","14,05%",273
36,30/09/2015,"2,96","0,46","0,25","1,23","0,04","R$ 2,63 B","11,96%",273
37,30/06/2015,"4,58","0,63","0,35","2,34","0,06","R$ 3,49 B","8,41%",273
38,31/03/2015,"5,54","0,73","0,42","-9,12","0,07","R$ 4,23 B","6,92%",273
39,31/12/2014,"6,68","0,71","0,48","31,57","0,07","R$ 4,49 B","8,15%",273
40,30/09/2014,"7,96","0,93","0,60","-3,60","0,09","R$ 5,38 B","6,72%",273
41,30/06/2014,"8,71","0,99","0,66","-3,62","0,09","R$ 5,23 B","6,24%",273
42,31/03/2014,"6,77","0,87","0,58","-1,93","0,08","R$ 4,75 B","7,11%",273
43,31/12/2013,"6,29","0,88","0,65","-1,07","0,09","R$ 4,60 B","6,03%",273
44,30/09/2013,"7,19","1,14","0,81","-2,20","0,11","R$ 5,98 B","5,56%",273
45,30/06/2013,"6,74","1,13","0,83","-2,42","0,10","R$ 5,73 B","5,74%",273
46,31/03/2013,"7,80","1,32","0,91","-4,84","0,13","R$ 6,80 B","5,10%",273
47,31/12/2012,"7,85","1,28","0,96","4,66","0,14","R$ 6,59 B","5,50%",273
48,30/09/2012,"6,30","1,12","0,75","8,75","0,12","R$ 5,58 B","7,01%",273
49,30/06/2012,"6,47","1,23","0,77","7,78","0,13","R$ 6,26 B","6,54%",273
50,31/03/2012,"6,84","1,36","0,91","3,32","0,16","R$ 6,65 B","6,03%",273
51,31/12/2011,"7,45","1,52","1,08","7,83","0,18","R$ 7,58 B","4,53%",273
52,30/09/2011,"6,39","1,35","0,92","-16,80","0,16","R$ 6,59 B","5,40%",273
53,30/06/2011,"6,41","1,36","0,94","-5,01","0,16","R$ 5,89 B","5,46%",273
54,31/03/2011,"6,47","1,34","0,95","-4,12","0,16","R$ 6,41 B","5,57%",273
55,31/12/2010,"8,60","1,64","1,24","-2,48","0,20","R$ 6,69 B","4,53%",273
56,30/09/2010,"9,46","1,76","1,26","-4,02","0,20","R$ 7,28 B","3,44%",273
57,30/06/2010,"9,56","1,69","1,22","-3,18","0,20","R$ 6,21 B","3,64%",273
58,31/03/2010,"8,67","1,39","1,00","-4,62","0,16","R$ 4,92 B","4,53%",273
59,31/12/2009,"9,98","1,58","1,11","5,93","0,19","R$ 5,56 B","4,21%",273
60,30/09/2009,"9,36","1,50","1,00","27,51","0,17","R$ 5,03 B","4,50%",273
61,30/06/2009,"7,87","1,21","0,78","1,81","0,14","R$ 3,78 B","5,61%",273
62,31/03/2009,"5,32","0,98","0,65","1,54","0,12","R$ 3,01 B","6,89%",273
63,31/12/2008,"4,85","0,93","0,65","2,07","0,11","R$ 2,58 B","9,02%",273
64,30/09/2008,"5,98","1,07","0,79",,"0,13","R$ 2,56 B","9,00%",273
65,30/06/2008,"6,85","1,18","0,93",,"0,15","R$ 3,47 B","7,16%",273
66,31/03/2008,"12,00","1,70","1,34",,"0,22","R$ 4,64 B","4,68%",273
67,31/12/2007,"4,26","1,40","1,13",,"0,19","R$ 3,93 B","4,77%",273
68,30/09/2007,"5,13","1,71","1,27",,"0,23","R$ 4,76 B","5,15%",273
69,30/06/2007,"914,96","445,07","224,60",,"47,77","R$ 721,63 B","3,67%",273
70,31/03/2007,"6,30","3,09","1,56",,"0,35","R$ 231,86 B","3.563,03%",273
71,31/12/2006,"10,79","3,01","1,01",,"0,25","R$ 230,96 B","5.191,07%",273
72,30/09/2006,"6,91","2,06","0,66",,"0,17","R$ 230,34 B","8.433,94%",273
73,30/06/2006,"5,72","1,70","0,52",,"0,14","R$ 230,05 B","11.215,56%",273
74,31/03/2006,"6,08","1,75","0,55",,"0,15","R$ 230,05 B","10.287,68%",273
75,31/12/2005,"4,67","1,44","0,46",,"0,12","R$ 229,83 B","9.825,06%",273
76,30/09/2005,"3,46","1,11","0,38",,"0,09","R$ 229,64 B","7.737,17%",273
77,30/06/2005,"3,49","1,15","0,40",,"0,10","R$ 229,64 B","7.727,19%",273
78,31/03/2005,"3,29","1,10","0,38",,"0,09","R$ 229,59 B","7.570,31%",273
79,31/12/2004,"4,47","1,32","0,45",,"0,11","R$ 229,68 B","10.178,18%",273
80,30/09/2004,"3,92","1,31","0,38",,"0,10","R$ 229,58 B","15.894,24%",273
81,30/06/2004,"4,14","1,47","0,39",,"0,10","R$ 229,62 B","15.989,03%",273
82,31/03/2004,"3,20","1,01","0,27",,"0,07","R$ 229,44 B","22.841,47%",273
83,31/12/2003,"2,88","1,03","0,25",,"0,07","R$ 229,41 B","22.325,81%",273
84,30/09/2003,"3,23","0,82","0,20",,"0,05","R$ 229,33 B","11.416,55%",273
85,30/06/2003,"2,95","0,78","0,17",,"0,05","R$ 229,29 B","12.265,01%",273
86,31/03/2003,"3,17","0,82","0,19",,"0,05","R$ 229,29 B","12.265,01%",273
87,31/12/2002,"5,08","1,10","0,27",,"0,07","R$ 229,38 B","9.281,63%",273
88,30/09/2002,"7,05","1,28","0,32",,"0,07","R$ 229,41 B","7.611,15%",273
89,30/06/2002,"7,51","1,37","0,37",,"0,09","R$ 229,41 B","7.611,15%",273
90,31/03/2002,"3,77","0,73","0,21",,"0,05","R$ 229,23 B","22.608,09%",273
91,31/12/2001,"4,73","0,77","0,22",,"0,05","R$ 229,23 B","22.608,09%",273
92,31/03/2001,"5,41","0,83","0,28",,"0,06","R$ 229,23 B","11.694,59%",273
93,31/12/2000,"7,28","1,13","0,38",,"0,08","R$ 229,31 B","8.770,95%",273
94,30/09/2000,"5,99","0,76","0,29",,"0,06","R$ 229,22 B","12.481,73%",273
95,30/06/2000,"6,41","0,62","0,21",,"0,05","R$ 229,17 B","9.088,87%",273
96,31/03/2000,"12,44","0,72","0,23",,"0,06","R$ 229,19 B","8.129,49%",273
