,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 151,34 M","- R$ 1,06 B","R$ 602,11 M","- R$ 307,37 M",365
1,31/03/2024,"R$ 168,17 M","- R$ 1,07 B","R$ 875,61 M","- R$ 22,24 M",365
2,31/12/2023,"R$ 204,04 M","- R$ 1,14 B","R$ 933,51 M","- R$ 2,85 M",365
3,30/09/2023,"R$ 541,72 M","- R$ 1,29 B","R$ 859,04 M","R$ 108,39 M",365
4,30/06/2023,"R$ 636,35 M","- R$ 1,44 B","R$ 881,08 M","R$ 80,55 M",365
5,31/03/2023,"R$ 1,03 B","- R$ 1,52 B","R$ 699,80 M","R$ 204,38 M",365
6,31/12/2022,"R$ 467,23 M","- R$ 1,49 B","R$ 851,64 M","- R$ 172,83 M",365
7,30/09/2022,"R$ 40,23 M","- R$ 1,40 B","R$ 1,05 B","- R$ 306,34 M",365
8,30/06/2022,"- R$ 43,10 M","- R$ 1,35 B","R$ 1,64 B","R$ 251,40 M",365
9,31/03/2022,"- R$ 727,36 M","- R$ 1,28 B","R$ 1,88 B","- R$ 133,24 M",365
10,31/12/2021,"- R$ 736,29 M","- R$ 1,12 B","R$ 1,53 B","- R$ 325,72 M",365
11,30/09/2021,"- R$ 126,65 M","- R$ 797,89 M","R$ 795,70 M","- R$ 128,84 M",365
12,30/06/2021,"R$ 418,76 M","- R$ 835,30 M","R$ 449,03 M","R$ 32,50 M",365
13,31/03/2021,"R$ 610,56 M","- R$ 794,41 M","R$ 308,09 M","R$ 124,24 M",365
14,31/12/2020,"R$ 783,92 M","- R$ 869,94 M","R$ 349,64 M","R$ 263,62 M",365
15,30/09/2020,"R$ 958,38 M","- R$ 1,15 B","R$ 476,89 M","R$ 282,39 M",365
16,30/06/2020,"R$ 820,45 M","- R$ 837,40 M","- R$ 414,96 M","- R$ 431,92 M",365
17,31/03/2020,"R$ 650,49 M","- R$ 858,85 M","R$ 220,16 M","R$ 11,80 M",365
18,31/12/2019,"R$ 567,39 M","- R$ 753,73 M","R$ 222,33 M","R$ 35,99 M",365
19,30/09/2019,"R$ 477,17 M","- R$ 687,40 M","R$ 115,16 M","- R$ 95,07 M",365
20,30/06/2019,"R$ 291,40 M","- R$ 761,26 M","R$ 626,44 M","R$ 156,59 M",365
21,31/03/2019,"R$ 449,45 M","- R$ 634,62 M","- R$ 231,39 M","- R$ 416,55 M",365
22,31/12/2018,"R$ 501,01 M","- R$ 640,25 M","R$ 100,39 M","- R$ 38,84 M",365
23,30/09/2018,"R$ 515,14 M","- R$ 812,41 M","R$ 525,82 M","R$ 228,55 M",365
24,30/06/2018,"R$ 420,48 M","- R$ 1,04 B","R$ 990,70 M","R$ 369,55 M",365
25,31/03/2018,"R$ 237,79 M","- R$ 1,13 B","R$ 1,22 B","R$ 335,18 M",365
26,31/12/2017,"R$ 510,82 M","- R$ 1,15 B","R$ 693,60 M","R$ 54,56 M",365
27,30/09/2017,"R$ 606,00 M","- R$ 1,16 B","R$ 477,45 M","- R$ 74,75 M",365
28,30/06/2017,"R$ 784,18 M","- R$ 953,29 M","- R$ 87,53 M","- R$ 256,64 M",365
29,31/03/2017,"R$ 901,38 M","- R$ 909,26 M","- R$ 231,94 M","- R$ 239,82 M",365
30,31/12/2016,"R$ 669,29 M","- R$ 835,05 M","R$ 282,98 M","R$ 117,23 M",365
31,30/09/2016,"R$ 600,26 M","- R$ 801,66 M","R$ 359,72 M","R$ 158,32 M",365
32,30/06/2016,"R$ 595,49 M","- R$ 863,50 M","R$ 608,30 M","R$ 340,29 M",365
33,31/03/2016,"R$ 297,12 M","- R$ 852,30 M","R$ 972,37 M","R$ 417,19 M",365
34,31/12/2015,"R$ 310,81 M","- R$ 870,04 M","R$ 578,58 M","R$ 19,35 M",365
35,30/09/2015,"R$ 206,09 M","- R$ 642,51 M","R$ 156,01 M","- R$ 280,41 M",365
36,30/06/2015,"R$ 124,13 M","- R$ 595,87 M","R$ 358,68 M","- R$ 113,06 M",365
37,31/03/2015,"R$ 375,24 M","- R$ 491,99 M","- R$ 238,00 mil","- R$ 116,99 M",365
38,31/12/2014,"R$ 489,39 M","- R$ 479,43 M","- R$ 68,59 M","- R$ 58,62 M",365
39,30/09/2014,"R$ 538,36 M","- R$ 467,91 M","R$ 113,98 M","R$ 184,43 M",365
40,30/06/2014,"R$ 547,45 M","- R$ 408,41 M","- R$ 99,54 M","R$ 39,50 M",365
41,31/03/2014,"R$ 734,73 M","- R$ 492,39 M","- R$ 110,90 M","R$ 131,45 M",365
42,31/12/2013,"R$ 740,17 M","- R$ 490,56 M","- R$ 97,03 M","R$ 152,58 M",365
43,30/09/2013,"R$ 761,66 M","- R$ 453,20 M","- R$ 291,58 M","R$ 16,88 M",365
44,30/06/2013,"R$ 785,35 M","- R$ 337,70 M","- R$ 601,70 M","- R$ 154,05 M",365
45,31/03/2013,"R$ 601,71 M","- R$ 430,13 M","- R$ 175,98 M","- R$ 4,39 M",365
46,31/12/2012,"R$ 631,45 M","- R$ 440,81 M","- R$ 229,31 M","- R$ 38,68 M",365
47,30/09/2012,"R$ 597,63 M","- R$ 466,01 M","- R$ 139,63 M","- R$ 8,01 M",365
48,30/06/2012,"R$ 541,08 M","- R$ 600,38 M","R$ 263,94 M","R$ 204,63 M",365
49,31/03/2012,"R$ 621,84 M","- R$ 495,88 M","- R$ 128,10 M","- R$ 2,14 M",365
50,31/12/2011,"R$ 512,71 M","- R$ 429,55 M","- R$ 61,23 M","R$ 21,92 M",365
51,30/09/2011,"R$ 261,47 M","- R$ 406,79 M","R$ 150,30 M","R$ 4,98 M",365
52,30/06/2011,"R$ 298,29 M","- R$ 280,58 M","- R$ 58,24 M","- R$ 40,52 M",365
53,31/03/2011,"R$ 249,98 M","- R$ 207,62 M","- R$ 166,16 M","- R$ 123,80 M",365
