,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"-1,85","-0,27","0,20","-1,43","-1,43","0,12","4,86","38,05","27,06","15,73","-0,08","1,10","-7,97","0,69","R$ 955,87 M","0,00%"
1,30/06/2024,"-1,72","-0,25","0,18","-1,33","-1,33","0,11","4,51","35,36","26,71","15,52","-0,08","1,09","-7,86","0,68","R$ 887,31 M","0,00%"
2,31/03/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
3,31/12/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
4,30/09/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
5,30/06/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
6,31/03/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
7,31/12/2022,"-7,92","-0,77","0,47","5,22","5,23","0,31","8,29","6,55","19,88","12,08","-0,23","1,13","12,53","0,74","R$ 2,11 B","0,00%"
8,30/09/2022,"10,12","-0,93","0,56","27,08","37,74","0,42","7,13","1.085,09","13,54","9,30","-0,29","1,07","71,60","0,79","R$ 2,59 B","0,00%"
9,30/06/2022,"-19,15","-1,01","0,58","-5,64","-5,40","0,45","41,23","3,55","78,96","22,91","-0,34","1,12","-10,33","0,86","R$ 2,80 B","0,00%"
10,31/03/2022,"-15,61","-1,21","0,66","-5,93","-5,80","0,52","41,79","3,32","74,81","24,44","-0,41","1,18","-10,39","0,92","R$ 3,21 B","0,00%"
11,31/12/2021,"-7,44","-1,10","0,60","-7,04","-6,85","0,44","74,90","8,23","143,28","28,95","-0,32","1,15","-13,10","0,83","R$ 2,93 B","0,00%"
12,30/09/2021,"-3,09","-0,93","0,63","-13,32","-14,23","0,44","-10,54","4,42","-21,91","-48,44","-0,32","1,30","-29,56","0,92","R$ 2,87 B","0,00%"
13,30/06/2021,"-0,46","-0,16","0,11","0,74","0,73","0,08","-1,45","-0,29","-5,25","-10,05","-0,05","0,40","2,65","0,30","R$ 435,78 M","0,00%"
14,31/03/2021,"-0,43","-0,10","0,15","3,04","3,11","0,11","-0,98","-0,67","-2,78","-3,76","-0,05","0,44","8,88","0,32","R$ 561,85 M","0,00%"
15,31/12/2020,"-0,46","-0,13","0,21","20,25","22,66","0,19","-1,09","-0,70","-2,48","-3,15","-0,07","0,48","51,64","0,42","R$ 742,60 M","0,00%"
16,30/09/2020,"-0,32","-0,09","0,14","10,49","12,38","0,13","-0,84","-0,11","-2,67","-3,56","-0,04","0,45","39,28","0,40","R$ 492,07 M","0,00%"
17,30/06/2020,"-0,34","-0,11","0,17","-7,77","-7,41","0,14","-0,91","-0,14","-2,64","-3,44","-0,04","0,48","-21,57","0,41","R$ 562,66 M","0,00%"
18,31/03/2020,"-0,58","-0,19","0,23","-3,73","-3,64","0,19","-1,74","-0,23","-3,99","-6,01","-0,07","0,52","-8,34","0,43","R$ 777,74 M","0,00%"
19,31/12/2019,"-0,72","-0,21","0,23","-58,97","-47,53","0,19","-1,39","-0,25","-2,82","-3,79","-0,07","0,46","-96,61","0,38","R$ 777,74 M","0,00%"
