,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 14,74 B","R$ 3,12 B","R$ 3,02 B","- R$ 618,23 M","R$ 3,64 B","R$ 2,79 B","R$ 21,07"
1,31/03/2024,"R$ 14,86 B","R$ 3,13 B","R$ 2,80 B","- R$ 599,61 M","R$ 3,40 B","R$ 2,52 B","R$ 19,05"
2,31/12/2023,"R$ 15,16 B","R$ 3,23 B","R$ 2,92 B","- R$ 575,79 M","R$ 3,49 B","R$ 1,41 B","R$ 10,63"
3,30/09/2023,"R$ 15,93 B","R$ 3,54 B","R$ 2,89 B","- R$ 555,53 M","R$ 3,45 B","R$ 351,79 M","R$ 2,65"
4,30/06/2023,"R$ 17,20 B","R$ 3,61 B","R$ 2,87 B","- R$ 536,43 M","R$ 3,41 B","R$ 447,16 M","R$ 3,37"
5,31/03/2023,"R$ 17,71 B","R$ 3,58 B","R$ 2,85 B","- R$ 514,99 M","R$ 3,37 B","R$ 549,46 M","R$ 4,15"
6,31/12/2022,"R$ 17,41 B","R$ 3,45 B","R$ 2,72 B","- R$ 498,49 M","R$ 3,22 B","R$ 1,81 B","R$ 13,67"
7,30/09/2022,"R$ 16,45 B","R$ 3,86 B","R$ 2,59 B","- R$ 485,04 M","R$ 3,08 B","R$ 1,71 B","R$ 12,93"
8,30/06/2022,"R$ 14,67 B","R$ 3,84 B","R$ 2,64 B","- R$ 469,46 M","R$ 3,11 B","R$ 1,91 B","R$ 14,45"
9,31/03/2022,"R$ 12,99 B","R$ 3,67 B","R$ 2,69 B","- R$ 448,01 M","R$ 3,13 B","R$ 2,09 B","R$ 15,76"
10,31/12/2021,"R$ 11,71 B","R$ 3,51 B","R$ 2,58 B","- R$ 436,09 M","R$ 3,02 B","R$ 2,12 B","R$ 15,99"
11,30/09/2021,"R$ 10,55 B","R$ 3,30 B","R$ 2,61 B","- R$ 420,30 M","R$ 3,03 B","R$ 2,03 B","R$ 15,30"
12,30/06/2021,"R$ 9,59 B","R$ 3,01 B","R$ 2,37 B","- R$ 410,64 M","R$ 2,78 B","R$ 1,66 B","R$ 12,56"
13,31/03/2021,"R$ 8,31 B","R$ 2,71 B","R$ 1,89 B","- R$ 399,38 M","R$ 2,29 B","R$ 1,27 B","R$ 9,59"
14,31/12/2020,"R$ 8,32 B","R$ 2,81 B","R$ 2,00 B","- R$ 379,26 M","R$ 2,38 B","R$ 1,15 B","R$ 8,68"
15,30/09/2020,"R$ 8,47 B","R$ 2,89 B","R$ 1,97 B","- R$ 364,02 M","R$ 2,33 B","R$ 1,20 B","R$ 9,03"
16,30/06/2020,"R$ 8,84 B","R$ 3,07 B","R$ 2,10 B","- R$ 343,90 M","R$ 2,45 B","R$ 1,34 B","R$ 10,13"
17,31/03/2020,"R$ 9,76 B","R$ 3,35 B","R$ 2,41 B","- R$ 339,59 M","R$ 2,75 B","R$ 1,55 B","R$ 11,67"
18,31/12/2019,"R$ 9,51 B","R$ 3,11 B","R$ 2,17 B","- R$ 338,27 M","R$ 2,51 B","R$ 1,37 B","R$ 10,32"
19,30/09/2019,"R$ 8,90 B","R$ 2,74 B","R$ 2,64 B","- R$ 336,55 M","R$ 2,97 B","R$ 1,86 B","R$ 14,03"
20,30/06/2019,"R$ 8,22 B","R$ 2,35 B","R$ 2,26 B","- R$ 340,04 M","R$ 2,60 B","R$ 1,61 B","R$ 12,14"
21,31/03/2019,"R$ 7,47 B","R$ 2,01 B","R$ 1,92 B","- R$ 341,18 M","R$ 2,26 B","R$ 1,36 B","R$ 10,27"
22,31/12/2018,"R$ 6,84 B","R$ 1,94 B","R$ 1,84 B","- R$ 343,16 M","R$ 2,19 B","R$ 1,34 B","R$ 10,15"
23,30/09/2018,"R$ 6,42 B","R$ 1,99 B","R$ 1,12 B","- R$ 346,07 M","R$ 1,47 B","R$ 662,81 M","R$ 5,02"
24,30/06/2018,"R$ 6,06 B","R$ 2,07 B","R$ 1,20 B","- R$ 348,35 M","R$ 1,54 B","R$ 683,25 M","R$ 5,18"
25,31/03/2018,"R$ 5,82 B","R$ 2,11 B","R$ 1,22 B","- R$ 360,06 M","R$ 1,58 B","R$ 715,57 M","R$ 5,50"
26,31/12/2017,"R$ 5,54 B","R$ 2,05 B","R$ 1,14 B","- R$ 375,40 M","R$ 1,52 B","R$ 640,12 M","R$ 4,92"
27,30/09/2017,"R$ 5,37 B","R$ 1,99 B","R$ 1,06 B","- R$ 394,11 M","R$ 1,45 B","R$ 591,62 M","R$ 4,55"
28,30/06/2017,"R$ 5,21 B","R$ 2,01 B","R$ 1,07 B","- R$ 409,61 M","R$ 1,48 B","R$ 599,67 M","R$ 4,61"
29,31/03/2017,"R$ 5,34 B","R$ 2,28 B","R$ 1,35 B","- R$ 403,44 M","R$ 1,76 B","R$ 783,77 M","R$ 6,16"
30,31/12/2016,"R$ 5,66 B","R$ 2,48 B","R$ 1,58 B","- R$ 389,60 M","R$ 1,97 B","R$ 901,10 M","R$ 7,08"
31,30/09/2016,"R$ 5,98 B","R$ 2,57 B","R$ 1,70 B","- R$ 374,78 M","R$ 2,07 B","R$ 1,01 B","R$ 7,92"
32,30/06/2016,"R$ 6,35 B","R$ 2,45 B","R$ 1,60 B","- R$ 361,58 M","R$ 1,96 B","R$ 984,27 M","R$ 7,73"
33,31/03/2016,"R$ 6,52 B","R$ 2,27 B","R$ 1,44 B","- R$ 359,39 M","R$ 1,80 B","R$ 869,32 M","R$ 7,01"
34,31/12/2015,"R$ 6,60 B","R$ 2,02 B","R$ 1,17 B","- R$ 359,93 M","R$ 1,53 B","R$ 698,85 M","R$ 5,64"
35,30/09/2015,"R$ 6,60 B","R$ 2,02 B","R$ 1,17 B","- R$ 359,93 M","R$ 1,53 B","R$ 698,85 M","R$ 5,64"
36,30/06/2015,"R$ 6,56 B","R$ 1,88 B","R$ 1,04 B","- R$ 368,65 M","R$ 1,41 B","R$ 607,52 M","R$ 4,90"
37,31/03/2015,"R$ 6,40 B","R$ 1,82 B","R$ 962,24 M","- R$ 386,63 M","R$ 1,35 B","R$ 533,67 M","R$ 4,38"
38,31/12/2014,"R$ 6,39 B","R$ 1,89 B","R$ 1,05 B","- R$ 385,35 M","R$ 1,44 B","R$ 611,60 M","R$ 5,02"
39,30/09/2014,"R$ 6,38 B","R$ 1,92 B","R$ 1,11 B","- R$ 372,21 M","R$ 1,48 B","R$ 636,00 M","R$ 5,22"
