,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"658,47%","34,64%","997,67%","52,49%","634,86%","20,14%","21,17%","18,64%","20,14%","24,35%","1,08","15,48","14,48","2,07"
1,30/06/2024,"451,78%","35,09%","684,51%","53,16%","2.831,60%","20,27%","21,15%","18,95%","20,48%","24,67%","1,07","10,13","9,13","1,84"
2,31/03/2024,"2.227,91%","34,98%","3.375,63%","52,99%","-1.422,40%","19,44%","21,09%","16,98%","18,83%","22,86%","1,14","17,39","16,39","1,63"
3,31/12/2023,"106,25%","28,42%","160,98%","43,07%","136,41%","11,12%","21,32%","9,29%","19,24%","23,04%","1,20","8,11","7,11","1,47"
4,30/09/2023,"97,50%","27,61%","147,72%","41,83%","21,14%","2,72%","22,25%","2,21%","18,15%","21,64%","1,23","31,53","30,53","1,56"
5,30/06/2023,"82,76%","26,80%","125,40%","40,61%","35,95%","3,54%","20,96%","2,60%","16,69%","19,81%","1,36","139,72","138,72","1,64"
6,31/03/2023,"89,98%","27,71%","136,34%","41,98%","62,81%","4,26%","20,22%","3,10%","16,12%","19,03%","1,37","-73,15","-74,15","1,62"
7,31/12/2022,"71,97%","25,09%","109,05%","38,02%","163,90%","14,76%","19,82%","10,40%","15,64%","18,50%","1,42","12,26","11,26","1,78"
8,30/09/2022,"66,74%","24,38%","101,13%","36,94%","80,67%","12,68%","23,45%","10,42%","15,76%","18,71%","1,22","7,79","6,79","1,70"
9,30/06/2022,"103,24%","28,69%","156,42%","43,47%","128,25%","16,29%","26,16%","13,05%","18,03%","21,23%","1,25","10,15","9,15","1,87"
10,31/03/2022,"160,45%","30,26%","243,10%","45,84%","222,31%","20,96%","28,26%","16,08%","20,67%","24,12%","1,30","14,75","13,75","1,89"
11,31/12/2021,"134,39%","28,26%","203,62%","42,82%","359,14%","19,96%","30,00%","18,10%","22,03%","25,75%","1,10","11,10","10,10","2,01"
12,30/09/2021,"116,16%","28,91%","175,99%","43,81%","167,31%","17,50%","31,26%","19,22%","24,78%","28,76%","0,91","6,36","5,36","1,61"
13,30/06/2021,"104,11%","26,69%","157,74%","40,44%","180,34%","14,80%","31,39%","17,35%","24,74%","29,02%","0,85","7,87","6,87","1,65"
14,31/03/2021,"165,35%","23,30%","250,52%","35,31%","166,43%","15,00%","32,67%","15,29%","22,78%","27,58%","0,98","10,61","9,61","2,15"
15,31/12/2020,"831,69%","28,25%","1.260,13%","42,80%","221,48%","13,61%","33,80%","13,83%","24,09%","28,65%","0,98","17,99","16,99","2,28"
16,30/09/2020,"125,25%","23,88%","189,77%","36,18%","32,15%","12,29%","34,16%","14,13%","23,24%","27,53%","0,87","9,56","8,56","2,04"
17,30/06/2020,"98,80%","24,54%","149,70%","37,19%","40,88%","14,68%","34,75%","15,19%","23,82%","27,71%","0,97","12,18","11,18","2,02"
18,31/03/2020,"102,83%","27,96%","155,80%","42,37%","52,91%","17,97%","34,28%","15,84%","24,67%","28,15%","1,13","11,10","10,10","1,67"
19,31/12/2019,"82,79%","24,87%","125,44%","37,68%","50,24%","16,35%","32,71%","14,37%","22,85%","26,41%","1,14","16,27","15,27","1,66"
20,30/09/2019,"192,93%","34,80%","292,32%","52,73%","74,58%","20,70%","30,81%","20,89%","29,61%","33,39%","0,99","2,62","1,62","0,58"
21,30/06/2019,"128,75%","28,74%","195,07%","43,54%","69,80%","17,78%","28,56%","19,58%","27,52%","31,66%","0,91","2,78","1,78","0,91"
22,31/03/2019,"275,36%","28,20%","417,21%","42,72%","62,11%","16,45%","26,92%","18,21%","25,68%","30,25%","0,90","2,94","1,94","1,22"
23,31/12/2018,"279,10%","27,02%","422,88%","40,94%","66,40%","15,46%","28,34%","19,58%","26,95%","31,96%","0,79","3,07","2,07","1,39"
24,30/09/2018,"193,30%","16,55%","292,88%","25,07%","24,37%","7,55%","31,02%","10,32%","17,48%","22,87%","0,73","3,60","2,60","1,71"
25,30/06/2018,"170,54%","17,38%","258,39%","26,34%","27,21%","8,07%","34,14%","11,28%","19,74%","25,50%","0,72","3,93","2,93","1,87"
26,31/03/2018,"170,88%","17,78%","258,91%","26,94%","30,26%","8,72%","36,20%","12,29%","20,94%","27,13%","0,71","3,78","2,78","1,46"
27,31/12/2017,"164,31%","16,57%","248,95%","25,11%","24,71%","7,38%","36,94%","11,56%","20,64%","27,42%","0,64","4,30","3,30","1,64"
28,30/09/2017,"145,16%","15,10%","219,94%","22,87%","21,52%","7,24%","37,09%","11,03%","19,71%","27,06%","0,66","3,23","2,23","1,21"
29,30/06/2017,"131,91%","15,10%","199,86%","22,88%","23,68%","7,63%","38,51%","11,51%","20,61%","28,47%","0,66","3,37","2,37","1,37"
30,31/03/2017,"112,25%","18,07%","170,08%","27,38%","35,59%","10,23%","42,63%","14,67%","25,35%","32,90%","0,70","3,47","2,47","1,23"
