,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 2,48 B","R$ 1,04 B","R$ 508,06 M","- R$ 220,72 M","R$ 728,78 M","R$ 385,61 M","R$ 0,14",412
1,31/03/2024,"R$ 2,56 B","R$ 1,15 B","R$ 528,78 M","- R$ 219,68 M","R$ 748,46 M","R$ 503,33 M","R$ 0,19",412
2,31/12/2023,"R$ 2,77 B","R$ 1,34 B","R$ 778,56 M","- R$ 223,11 M","R$ 1,00 B","R$ 481,30 M","R$ 0,18",412
3,30/09/2023,"R$ 2,62 B","R$ 1,25 B","R$ 767,16 M","- R$ 226,36 M","R$ 993,52 M","R$ 456,78 M","R$ 0,17",412
4,30/06/2023,"R$ 2,64 B","R$ 1,25 B","R$ 1,20 B","- R$ 232,92 M","R$ 1,43 B","R$ 708,56 M","R$ 0,26",412
5,31/03/2023,"R$ 2,57 B","R$ 1,16 B","R$ 759,86 M","- R$ 236,81 M","R$ 996,67 M","R$ 440,50 M","R$ 0,16",412
6,31/12/2022,"R$ 2,75 B","R$ 1,27 B","R$ 679,22 M","- R$ 237,80 M","R$ 917,02 M","R$ 328,04 M","R$ 0,12",412
7,30/09/2022,"R$ 2,64 B","R$ 1,17 B","R$ 773,89 M","- R$ 234,75 M","R$ 1,01 B","R$ 422,14 M","R$ 0,16",412
8,30/06/2022,"R$ 2,54 B","R$ 1,07 B","R$ 785,10 M","- R$ 242,12 M","R$ 1,03 B","R$ 476,74 M","R$ 0,18",412
9,31/03/2022,"R$ 2,76 B","R$ 913,85 M","R$ 446,78 M","- R$ 267,01 M","R$ 713,79 M","R$ 184,55 M","R$ 0,07",412
10,31/12/2021,"R$ 3,01 B","- R$ 661,62 M","- R$ 2,74 B","- R$ 409,53 M","- R$ 2,33 B","- R$ 3,12 B","- R$ 1,15",412
11,30/09/2021,"R$ 1,27 B","R$ 491,23 M","R$ 268,79 M","- R$ 129,26 M","R$ 398,05 M","R$ 211,94 M","R$ 0,08",412
12,30/06/2021,"R$ 1,17 B","R$ 462,00 M","R$ 214,29 M","- R$ 123,63 M","R$ 337,92 M","R$ 180,41 M","R$ 0,07",412
13,31/03/2021,"R$ 1,17 B","R$ 418,01 M","R$ 256,56 M","- R$ 125,52 M","R$ 382,08 M","R$ 241,26 M","R$ 0,09",412
14,31/12/2020,"R$ 2,51 B","- R$ 944,93 M","- R$ 2,99 B","- R$ 547,93 M","- R$ 2,44 B","- R$ 3,11 B","- R$ 1,14",412
15,30/09/2020,"R$ 1,18 B","R$ 481,14 M","R$ 141,12 M","- R$ 115,53 M","R$ 256,65 M","R$ 100,44 M","R$ 0,04",412
16,30/06/2020,"R$ 977,72 M","R$ 335,21 M","- R$ 99,43 M","- R$ 119,40 M","R$ 19,96 M","- R$ 75,21 M","- R$ 0,03",412
17,31/03/2020,"R$ 1,21 B","R$ 484,65 M","R$ 177,21 M","- R$ 111,89 M","R$ 289,11 M","R$ 166,80 M","R$ 0,06",412
18,31/12/2019,"R$ 2,67 B","R$ 35,30 M","- R$ 887,68 M","- R$ 370,92 M","- R$ 516,76 M","- R$ 1,03 B","- R$ 0,38",412
19,30/09/2019,"R$ 1,25 B","R$ 612,71 M","R$ 327,12 M","- R$ 95,01 M","R$ 422,13 M","R$ 358,06 M","R$ 0,13",412
20,30/06/2019,"R$ 1,32 B","R$ 711,04 M","R$ 403,23 M","- R$ 82,22 M","R$ 485,45 M","R$ 431,15 M","R$ 0,16",412
