,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"23,92%","13,90%","36,24%","21,06%","19,79%","5,37%","16,69%","6,04%","9,32%","12,47%","0,89","3,71","2,71","1,94"
1,31/03/2024,"18,11%","12,16%","27,44%","18,43%","18,69%","4,85%","16,17%","5,48%","8,12%","11,24%","0,89","3,98","2,98","1,96"
2,31/12/2023,"17,40%","12,40%","26,37%","18,79%","19,32%","4,79%","15,93%","5,35%","7,93%","10,97%","0,89","4,20","3,20","1,99"
3,30/09/2023,"18,33%","15,27%","27,77%","23,14%","19,48%","4,75%","15,15%","5,50%","9,04%","11,98%","0,86","3,64","2,64","1,43"
4,30/06/2023,"16,04%","14,57%","24,31%","22,08%","21,13%","5,23%","15,14%","5,98%","9,03%","11,91%","0,88","3,68","2,68","1,18"
5,31/03/2023,"12,47%","13,55%","18,90%","20,54%","17,52%","3,86%","13,93%","4,98%","7,64%","10,48%","0,78","3,85","2,85","1,47"
6,31/12/2022,"12,76%","13,94%","19,33%","21,12%","20,62%","4,52%","14,27%","5,36%","7,96%","10,71%","0,84","4,03","3,03","1,40"
7,30/09/2022,"12,12%","14,66%","18,36%","22,21%","21,36%","4,33%","13,58%","5,10%","7,63%","10,33%","0,85","4,10","3,10","1,06"
8,30/06/2022,"12,82%","19,50%","19,43%","29,54%","27,36%","5,26%","13,19%","5,46%","8,01%","10,25%","0,96","4,04","3,04","1,10"
9,31/03/2022,"17,18%","18,56%","26,03%","28,12%","28,57%","5,92%","12,77%","5,43%","7,75%","9,93%","1,09","4,54","3,54","0,77"
10,31/12/2021,"15,81%","18,93%","23,95%","28,68%","28,38%","5,28%","11,35%","4,97%","7,03%","9,20%","1,06","4,56","3,56","1,13"
11,30/09/2021,"18,42%","25,21%","27,91%","38,20%","41,87%","6,80%","12,27%","6,29%","8,06%","10,15%","1,08","4,94","3,94","0,95"
12,30/06/2021,"13,85%","18,92%","20,99%","28,67%","38,05%","6,04%","13,28%","6,31%","8,14%","10,68%","0,96","5,20","4,20","0,79"
13,31/03/2021,"12,99%","17,53%","19,68%","26,56%","36,99%","6,09%","13,42%","6,19%","8,09%","10,72%","0,98","4,82","3,82","0,99"
14,31/12/2020,"12,72%","17,98%","19,28%","27,24%","36,86%","5,46%","13,59%","5,86%","7,69%","10,41%","0,93","5,37","4,37","0,86"
15,30/09/2020,"11,06%","11,87%","16,76%","17,98%","17,30%","3,24%","12,66%","4,27%","6,42%","9,32%","0,76","6,16","5,16","0,90"
16,30/06/2020,"11,89%","13,76%","18,02%","20,85%","19,17%","3,38%","12,86%","4,51%","6,89%","9,76%","0,75","6,30","5,30","1,43"
17,31/03/2020,"20,69%","15,45%","31,35%","23,41%","18,88%","3,61%","13,04%","4,44%","7,15%","10,05%","0,81","6,08","5,08","1,58"
18,31/12/2019,"17,51%","13,01%","26,53%","19,70%","15,75%","2,88%","12,39%","3,54%","6,20%","9,04%","0,81","6,75","5,75","1,51"
19,30/09/2019,"17,69%","12,27%","26,80%","18,59%","10,00%","2,11%","12,25%","2,63%","6,26%","9,19%","0,80","5,34","4,34","1,29"
