,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"17,35%","14,91%","26,29%","22,58%","25,25%","10,93%","23,26%","15,74%","19,83%","23,35%","0,69","2,13","1,13","1,14"
1,31/03/2024,"16,68%","14,79%","25,27%","22,41%","24,22%","10,20%","22,34%","14,81%","18,93%","22,42%","0,69","2,26","1,26","1,13"
2,31/12/2023,"17,44%","15,43%","26,43%","23,39%","26,47%","10,74%","22,75%","15,64%","19,62%","23,08%","0,69","2,23","1,23","0,98"
3,30/09/2023,"15,65%","14,71%","23,71%","22,28%","25,08%","9,69%","22,68%","14,42%","18,52%","21,89%","0,67","2,30","1,30","1,22"
4,30/06/2023,"17,51%","16,51%","26,53%","25,01%","25,69%","9,83%","24,15%","14,58%","20,70%","24,09%","0,67","2,31","1,31","1,12"
5,31/03/2023,"13,88%","13,41%","21,03%","20,32%","19,52%","7,90%","19,85%","11,44%","16,77%","20,18%","0,69","2,37","1,37","1,22"
6,31/12/2022,"12,92%","12,51%","19,58%","18,96%","21,03%","7,86%","19,76%","11,87%","16,50%","19,93%","0,66","2,46","1,46","1,33"
7,30/09/2022,"11,72%","11,58%","17,75%","17,54%","18,01%","6,87%","19,45%","10,62%","15,71%","19,07%","0,65","2,59","1,59","1,43"
8,30/06/2022,"10,22%","10,16%","15,49%","15,39%","14,55%","5,36%","16,67%","8,19%","13,32%","16,56%","0,65","2,61","1,61","1,60"
9,31/03/2022,"15,11%","15,76%","22,90%","23,87%","26,74%","9,03%","20,09%","13,92%","20,29%","23,48%","0,65","2,47","1,47","1,05"
10,31/12/2021,"13,92%","14,89%","21,09%","22,56%","21,47%","6,94%","19,98%","11,15%","20,66%","23,78%","0,62","2,67","1,67","1,32"
11,30/09/2021,"13,61%","14,22%","20,62%","21,54%","16,56%","5,37%","20,12%","9,16%","22,04%","25,31%","0,59","2,62","1,62","1,33"
12,30/06/2021,"12,69%","13,49%","19,23%","20,44%","25,01%","8,03%","21,75%","14,99%","23,07%","26,55%","0,54","2,71","1,71","1,43"
13,31/03/2021,"11,47%","12,35%","17,37%","18,72%","21,19%","6,66%","21,49%","12,76%","21,92%","25,67%","0,52","2,96","1,96","1,68"
14,31/12/2020,"9,53%","10,31%","14,44%","15,62%","18,03%","5,74%","21,34%","11,35%","18,66%","22,58%","0,51","3,10","2,10","2,34"
15,30/09/2020,"8,03%","8,29%","12,16%","12,56%","11,79%","4,05%","23,11%","8,20%","16,08%","19,99%","0,49","3,08","2,08","2,97"
16,30/06/2020,"4,94%","5,27%","7,48%","7,98%","6,87%","1,83%","18,18%","4,92%","10,00%","13,95%","0,37","3,11","2,11","4,36"
17,31/03/2020,"5,85%","5,62%","8,87%","8,51%","14,79%","3,78%","22,03%","8,90%","9,57%","13,37%","0,42","3,18","2,18","4,38"
18,31/12/2019,"7,60%","7,21%","11,52%","10,93%","21,45%","5,22%","22,81%","12,32%","12,25%","16,02%","0,42","3,14","2,14","3,50"
19,30/09/2019,"7,37%","6,39%","11,17%","9,68%","24,27%","8,41%","22,92%","14,84%","11,42%","15,25%","0,57","2,91","1,91","3,88"
20,30/06/2019,"10,33%","8,91%","15,65%","13,50%","28,24%","9,96%","26,62%","16,87%","15,54%","19,20%","0,59","3,75","2,75","2,77"
21,31/03/2019,"8,03%","6,91%","12,17%","10,47%","13,79%","5,00%","21,86%","8,75%","12,61%","16,28%","0,57","3,92","2,92","3,52"
22,31/12/2018,"6,93%","5,95%","10,50%","9,01%","11,87%","4,02%","20,61%","7,64%","11,21%","14,96%","0,53","4,11","3,11","4,17"
23,30/09/2018,"9,90%","8,53%","15,00%","12,92%","9,80%","3,11%","21,06%","5,58%","14,80%","18,45%","0,56","2,88","1,88","3,23"
24,30/06/2018,"7,52%","6,52%","11,39%","9,88%","7,29%","2,32%","19,02%","4,38%","12,01%","15,84%","0,53","2,83","1,83","3,88"
25,31/03/2018,"7,08%","6,16%","10,72%","9,34%","8,45%","2,69%","18,56%","5,14%","11,62%","15,57%","0,52","2,76","1,76","3,91"
26,31/12/2017,"7,39%","6,43%","11,19%","9,75%","7,74%","2,38%","19,46%","4,61%","12,17%","16,08%","0,52","2,95","1,95","3,83"
27,30/09/2017,"3,20%","2,77%","4,85%","4,20%","0,64%","0,21%","18,65%","0,46%","6,11%","10,40%","0,46","3,15","2,15","6,54"
28,30/06/2017,"6,35%","5,49%","9,62%","8,32%","4,41%","1,42%","23,02%","3,10%","11,79%","16,11%","0,46","3,14","2,14","4,33"
29,31/03/2017,"6,53%","5,51%","9,90%","8,34%","5,18%","1,62%","24,54%","3,51%","11,80%","16,17%","0,46","3,14","2,14","4,49"
30,31/12/2016,"5,21%","4,38%","7,89%","6,63%","2,58%","0,82%","23,14%","1,78%","9,62%","14,06%","0,46","3,25","2,25","5,37"
31,30/09/2016,"4,35%","4,73%","6,59%","7,17%","6,46%","2,39%","23,82%","4,84%","9,97%","14,19%","0,49","3,03","2,03","5,38"
