,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"39,50%","41,17%","59,85%","62,38%","44,19%","17,58%","51,11%","25,62%","35,23%","41,42%","0,69","2,63","1,63","-0,38"
1,31/03/2024,"34,09%","33,22%","51,65%","50,33%","29,87%","12,85%","46,85%","20,20%","32,01%","38,01%","0,64","2,46","1,46","-0,31"
2,31/12/2023,"37,66%","29,95%","57,05%","45,39%","31,32%","14,24%","47,89%","18,90%","31,97%","37,49%","0,75","2,78","1,78","-0,23"
3,30/09/2023,"37,53%","29,95%","56,87%","45,37%","23,40%","11,62%","46,73%","17,76%","30,79%","36,77%","0,65","2,59","1,59","-0,34"
4,30/06/2023,"29,26%","23,31%","44,33%","35,32%","18,79%","9,92%","44,23%","15,73%","27,92%","34,64%","0,63","2,51","1,51","-0,05"
5,31/03/2023,"23,66%","19,90%","35,85%","30,15%","18,50%","11,34%","44,53%","19,63%","27,57%","34,86%","0,58","2,32","1,32","-0,15"
6,31/12/2022,"52,29%","39,24%","79,22%","59,45%","21,08%","10,93%","46,63%","22,23%","35,81%","43,33%","0,49","2,20","1,20","0,33"
7,30/09/2022,"49,92%","37,18%","75,64%","56,34%","19,54%","9,81%","42,30%","23,29%","33,29%","41,29%","0,42","2,01","1,01","-0,28"
8,30/06/2022,"36,03%","29,72%","54,59%","45,02%","19,83%","11,24%","42,08%","25,02%","35,19%","42,50%","0,45","1,89","0,89","-0,14"
9,31/03/2022,"66,16%","56,35%","100,24%","85,37%","35,84%","21,77%","55,44%","27,45%","47,02%","51,85%","0,79","1,63","0,63","-0,23"
10,31/12/2021,"79,51%","69,80%","120,46%","105,75%","60,09%","32,47%","57,94%","33,46%","49,74%","53,68%","0,97","1,93","0,93","-0,59"
11,30/09/2021,"91,39%","78,36%","138,47%","118,72%","65,70%","36,17%","60,68%","33,00%","52,40%","58,51%","1,10","1,99","0,99","-0,58"
12,30/06/2021,"99,60%","82,78%","150,91%","125,42%","74,10%","44,42%","65,85%","34,22%","55,35%","61,03%","1,30","1,76","0,76","-0,43"
13,31/03/2021,"66,03%","56,75%","100,04%","85,99%","61,40%","37,07%","62,62%","34,03%","51,90%","58,93%","1,09","1,65","0,65","-0,36"
14,31/12/2020,"45,84%","39,96%","69,45%","60,54%","43,07%","25,39%","60,26%","29,23%","45,70%","54,63%","0,87","1,85","0,85","-0,22"
15,30/09/2020,"37,59%","32,77%","56,95%","49,65%","36,34%","21,42%","60,67%","28,07%","42,66%","47,56%","0,76","1,82","0,82","-0,22"
16,30/06/2020,"29,64%","25,84%","44,91%","39,15%","31,32%","18,46%","56,60%","28,13%","39,11%","44,57%","0,66","1,67","0,67","-0,10"
17,31/03/2020,"34,30%","29,90%","51,98%","45,31%","35,50%","20,92%","60,24%","30,67%","43,53%","48,57%","0,68","1,66","0,66","0,16"
18,31/12/2019,NA,NA,NA,NA,NA,NA,"61,90%","31,99%","46,29%","50,63%",NA,"1,70","0,70","0,18"
