,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 30/09/2024,"5,79","0,42","0,26","2,06","0,15","R$ 2,28 B","7,18%"
1,30/06/2024,"6,62","0,48","0,30","2,36","0,18","R$ 2,38 B","6,28%"
2,31/03/2024,"7,42","0,62","0,32","2,88","0,20","R$ 2,70 B","0,00%"
3,31/12/2023,"10,72","0,81","0,39","6,28","0,26","R$ 3,38 B","1,42%"
4,30/09/2023,"5,92","0,75","0,37","5,59","0,24","R$ 3,18 B","1,51%"
5,30/06/2023,"8,55","1,00","0,47","4,75","0,31","R$ 4,11 B","3,21%"
6,31/03/2023,"6,39","0,97","0,44","3,73","0,31","R$ 3,89 B","8,27%"
7,31/12/2022,"5,46","0,88","0,41","3,90","0,28","R$ 4,08 B","8,66%"
8,30/09/2022,"6,81","0,95","0,41","4,89","0,28","R$ 4,09 B","15,19%"
9,30/06/2022,"6,82","0,97","0,40","8,24","0,30","R$ 4,13 B","12,72%"
10,31/03/2022,"8,25","1,18","0,49","-141,79","0,36","R$ 4,39 B","6,21%"
11,31/12/2021,"9,04","1,27","0,54","35,81","0,39","R$ 4,46 B","12,75%"
12,30/09/2021,"8,99","1,21","0,57","12,63","0,39","R$ 4,49 B","7,83%"
13,30/06/2021,"10,90","1,39","0,73","6,18","0,46","R$ 4,98 B","6,98%"
14,31/03/2021,"16,58","1,35","0,74","5,10","0,45","R$ 5,07 B","7,36%"
15,31/12/2020,"15,47","1,27","0,70","4,11","0,44","R$ 4,14 B","8,06%"
16,30/09/2020,"12,76","1,45","0,81","4,12","0,47","R$ 5,13 B","7,15%"
17,30/06/2020,"13,09","1,60","0,89","6,41","0,53","R$ 5,05 B","6,59%"
18,31/03/2020,"8,00","1,20","0,69","6,06","0,42","R$ 3,49 B","8,60%"
19,31/12/2019,"12,17","1,58","0,92","7,89","0,57","R$ 4,05 B","5,91%"
20,30/09/2019,"14,35","1,58","0,90","9,17","0,56","R$ 4,21 B","6,18%"
21,30/06/2019,"14,24","1,60","0,89","10,15","0,54","R$ 4,19 B","6,23%"
22,31/03/2019,"14,69","1,46","0,80","9,20","0,59","R$ 3,82 B","4,04%"
23,31/12/2018,"10,68","1,36","0,76","9,01","0,60","R$ 3,60 B","4,37%"
24,30/09/2018,"10,45","1,27","0,71","7,71","0,53","R$ 3,48 B","4,75%"
25,30/06/2018,"10,18","1,43","0,82","8,30","0,62","R$ 3,62 B","4,31%"
26,31/03/2018,"10,23","1,61","0,93","7,38","0,75","R$ 4,18 B","3,95%"
27,31/12/2017,"10,54","1,78","1,00","6,15","0,81","R$ 4,34 B","6,75%"
28,30/09/2017,"9,08","1,57","0,90","4,91","0,77","R$ 3,99 B","7,70%"
29,30/06/2017,"9,59","1,52","0,86","4,39","0,74","R$ 3,46 B","8,30%"
30,31/03/2017,"8,78","1,50","0,86","4,09","0,74","R$ 3,40 B","8,57%"
31,31/12/2016,"8,86","1,51","0,85","3,28","0,71","R$ 3,35 B","4,14%"
32,30/09/2016,"10,93","1,58","0,92","3,63","0,72","R$ 3,39 B","4,03%"
33,30/06/2016,"10,35","1,69","0,95","4,25","0,77","R$ 3,35 B","3,87%"
34,31/03/2016,"10,35","1,69","0,95","4,25","0,77","R$ 3,35 B","3,87%"
35,31/12/2015,"6,90","1,25","0,61","5,28","0,54","R$ 2,40 B","3,34%"
36,30/09/2015,"6,28","1,47","0,69","8,83","0,66","R$ 2,91 B","2,79%"
37,30/06/2015,"7,91","1,56","0,73","7,70","0,69","R$ 3,08 B","2,78%"
38,31/03/2015,"10,22","1,76","0,81","10,53","0,78","R$ 3,27 B","2,57%"
39,31/12/2014,"11,27","1,65","0,78","12,73","0,70","R$ 3,38 B","5,42%"
40,30/09/2014,"29,39","1,74","0,88","11,04","0,76","R$ 2,79 B","5,53%"
41,30/06/2014,"25,07","1,72","0,90","14,95","0,76","R$ 2,79 B","5,56%"
42,31/03/2014,"18,12","1,76","0,99","8,44","0,79","R$ 3,46 B","5,35%"
43,31/12/2013,"23,88","2,39","1,31","7,44","1,11","R$ 3,76 B","11,45%"
44,30/09/2013,"10,60","1,92","1,08","5,59","0,87","R$ 3,11 B","13,99%"
45,30/06/2013,"9,05","2,01","1,12","5,02","0,89","R$ 3,24 B","13,44%"
46,31/03/2013,"10,37","2,31","1,31","6,52","1,03","R$ 3,78 B","11,38%"
47,31/12/2012,"8,68","2,34","1,26","6,08","1,02","R$ 3,63 B","15,14%"
48,30/09/2012,"6,58","1,75","0,97","4,41","0,78","R$ 2,80 B","20,14%"
49,30/06/2012,"6,77","2,00","1,09","4,95","0,86","R$ 2,82 B","18,46%"
50,31/03/2012,"5,71","1,75","1,04","4,41","0,81","R$ 2,64 B","19,86%"
51,31/12/2011,"6,30","2,02","1,13","5,07","0,89","R$ 2,91 B","22,42%"
52,30/09/2011,"6,41","1,86","0,97","4,97","0,86","R$ 2,66 B","24,64%"
53,30/06/2011,"5,07","1,76","0,85","3,88","0,73","R$ 2,40 B","27,93%"
54,31/03/2011,"5,19","1,64","0,84","3,92","0,77","R$ 2,37 B","27,84%"
55,31/12/2010,"5,49","1,91","0,91","3,95","0,84","R$ 2,60 B","16,43%"
56,30/09/2010,"4,98","1,58","0,89","2,81","0,70","R$ 2,13 B","19,68%"
57,30/06/2010,"5,77","1,86","0,96","3,03","0,76","R$ 2,25 B","18,75%"
58,31/03/2010,"5,42","1,59","0,89","2,85","0,68","R$ 1,99 B","21,54%"
59,31/12/2009,"7,12","2,29","1,11","3,74","0,83","R$ 2,46 B","22,09%"
60,30/09/2009,"5,77","1,90","1,08","5,87","0,76","R$ 2,32 B","23,72%"
61,30/06/2009,"5,40","1,84","1,01",NA,"0,69","R$ 1,99 B","26,72%"
62,31/03/2009,"4,77","1,77","0,90","4,68","0,62","R$ 1,80 B","29,78%"
63,31/12/2008,"5,23","1,93","0,92","4,69","0,64","R$ 1,83 B","27,64%"
64,30/09/2008,"5,30","1,24","0,70",NA,"0,46","R$ 1,38 B","37,42%"
65,30/06/2008,"5,30","1,24","0,70",NA,"0,46","R$ 1,38 B","37,42%"
66,31/03/2008,"8,58","1,76","0,94",NA,"0,60","R$ 1,58 B","30,90%"
67,31/12/2007,"8,58","1,76","0,94",NA,"0,60","R$ 1,58 B","30,90%"
68,30/09/2007,"6,71","1,80","1,02",NA,"0,69","R$ 2,09 B","31,66%"
69,30/06/2007,"6,15","1,92","1,04",NA,"0,71","R$ 2,04 B","31,37%"
70,31/03/2007,"5,96","2,19","1,12",NA,"0,74","R$ 2,19 B","29.091,82%"
71,31/12/2006,"6,75","2,58","1,19",NA,"0,80","R$ 2,21 B","22.394,96%"
72,30/09/2006,"5,27","1,68","0,92",NA,"0,67","R$ 1,68 B","27.995,59%"
73,30/06/2006,"5,58","1,78","0,92",NA,"0,67","R$ 1,60 B","28.403,30%"
74,31/03/2006,"6,10","1,82","0,89",NA,"0,61","R$ 1,53 B","30.795,15%"
75,31/12/2005,"9,63","2,48","1,15",NA,"0,76","R$ 1,75 B","11.010,46%"
76,30/09/2005,"7,09","1,05","0,65",NA,"0,43","R$ 952,53 M","8.626,06%"
77,30/06/2005,"9,29","0,93","0,57",NA,"0,37","R$ 726,87 M","10.310,03%"
78,31/03/2005,"16,78","0,72","0,63",NA,"0,35","R$ 719,44 M","9.479,18%"
79,31/12/2004,"24,17","0,77","0,66",NA,"0,37","R$ 760,79 M","3.594,67%"
80,30/09/2004,"17,75","0,54","0,49",NA,"0,26","R$ 565,76 M","16.613,81%"
81,30/06/2004,"13,09","0,54","0,52",NA,"0,26","R$ 605,63 M","27.549,97%"
82,31/03/2004,"6,50","0,56","0,57",NA,"0,26","R$ 631,18 M","26.951,06%"
83,31/12/2003,"8,05","0,65","0,72",NA,"0,30","R$ 724,01 M","358,68%"
84,30/09/2003,"6,28","0,53","0,63",NA,"0,25","R$ 574,77 M","412,57%"
85,30/06/2003,"6,14","0,38","0,46",NA,"0,18","R$ 489,19 M","559,35%"
86,31/03/2003,"8,00","0,39","0,51",NA,"0,18","R$ 483,38 M","544,18%"
87,31/12/2002,"5,74","0,41","0,52",NA,"0,19","R$ 664,54 M","534,78%"
88,30/09/2002,"3,19","0,35","0,41",NA,"0,16","R$ 454,99 M","590,57%"
89,30/06/2002,"4,00","0,37","0,47",NA,"0,19","R$ 460,58 M","568,09%"
90,31/03/2002,"5,21","0,54","0,69",NA,"0,30","R$ 541,60 M","393,65%"
91,31/12/2001,"5,90","0,57","0,76",NA,"0,29","R$ 549,34 M","376,96%"
92,30/06/2001,"8,83","0,62","1,02",NA,"0,38","R$ 726,36 M","346,31%"
93,31/03/2001,"10,19","0,71","1,22",NA,"0,46","R$ 807,66 M","293,90%"
94,31/12/2000,"11,88","0,81","1,42",NA,"0,53","R$ 881,18 M","257,56%"
95,30/09/2000,"9,24","0,66","1,23",NA,"0,45","R$ 700,29 M","313,10%"
96,30/06/2000,"11,78","0,82","1,58",NA,"0,56","R$ 775,72 M","256,10%"
97,31/03/2000,"8,93","0,54","1,12",NA,"0,38","R$ 644,65 M","382,52%"
