,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 6,72 B","- R$ 5,40 B","- R$ 3,33 B","- R$ 2,01 B",105
1,31/03/2024,"R$ 7,08 B","- R$ 5,74 B","- R$ 2,23 B","- R$ 887,74 M",105
2,31/12/2023,"R$ 8,90 B","- R$ 4,64 B","- R$ 3,57 B","R$ 689,03 M",105
3,30/09/2023,"R$ 8,93 B","- R$ 4,44 B","- R$ 3,09 B","R$ 1,40 B",105
4,30/06/2023,"R$ 9,71 B","- R$ 4,42 B","- R$ 3,89 B","R$ 1,40 B",105
5,31/03/2023,"R$ 9,98 B","- R$ 6,21 B","- R$ 3,07 B","R$ 710,41 M",105
6,31/12/2022,"R$ 8,98 B","- R$ 6,26 B","- R$ 1,17 B","R$ 1,55 B",105
7,30/09/2022,"R$ 8,40 B","- R$ 7,53 B","- R$ 1,47 B","- R$ 605,75 M",105
8,30/06/2022,"R$ 6,43 B","- R$ 7,38 B","R$ 1,82 B","R$ 872,77 M",105
9,31/03/2022,"R$ 4,82 B","- R$ 5,52 B","- R$ 419,45 M","- R$ 1,12 B",105
10,31/12/2021,"R$ 3,86 B","- R$ 4,21 B","- R$ 1,37 B","- R$ 1,72 B",105
11,30/09/2021,"R$ 3,78 B","- R$ 2,29 B","- R$ 3,61 B","- R$ 2,12 B",105
12,30/06/2021,"R$ 5,07 B","- R$ 1,57 B","- R$ 7,75 B","- R$ 4,25 B",105
13,31/03/2021,"R$ 5,70 B","- R$ 3,18 B","- R$ 3,47 B","- R$ 950,60 M",105
14,31/12/2020,"R$ 6,36 B","- R$ 3,12 B","- R$ 1,26 B","R$ 1,98 B",105
15,30/09/2020,"R$ 6,94 B","R$ 755,00 M","- R$ 4,17 B","R$ 3,53 B",105
16,30/06/2020,"R$ 5,99 B","- R$ 3,76 B","- R$ 2,22 B","R$ 6,13 M",105
17,31/03/2020,"R$ 4,94 B","- R$ 2,33 B","- R$ 480,13 M","R$ 2,13 B",105
18,31/12/2019,"R$ 5,79 B","- R$ 3,07 B","- R$ 2,67 B","R$ 45,71 M",105
19,30/09/2019,"R$ 3,76 B","- R$ 6,23 B","R$ 2,12 B","- R$ 347,11 M",105
20,30/06/2019,"R$ 3,32 B","- R$ 1,89 B","R$ 3,06 B","R$ 4,49 B",105
21,31/03/2019,"R$ 3,22 B","- R$ 1,83 B","- R$ 977,83 M","R$ 411,83 M",105
22,31/12/2018,"R$ 856,69 M","- R$ 1,85 B","- R$ 364,19 M","- R$ 1,36 B",105
23,30/09/2018,"R$ 920,15 M","- R$ 1,95 B","R$ 778,15 M","- R$ 253,32 M",105
24,30/06/2018,"R$ 1,12 B","- R$ 2,04 B","- R$ 908,17 M","- R$ 1,83 B",105
25,31/03/2018,"R$ 1,30 B","- R$ 2,28 B","- R$ 870,20 M","- R$ 1,85 B",105
26,31/12/2017,"R$ 2,03 B","- R$ 2,51 B","- R$ 2,44 B","- R$ 2,92 B",105
27,30/09/2017,"R$ 3,98 B","- R$ 4,00 B","- R$ 1,49 B","- R$ 1,51 B",105
28,30/06/2017,"R$ 4,30 B","- R$ 4,23 B","- R$ 1,22 B","- R$ 1,15 B",105
29,31/03/2017,"R$ 4,56 B","- R$ 4,02 B","- R$ 61,61 M","R$ 472,02 M",105
