,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 3,93 B","- R$ 2,24 B","R$ 1,22 B","R$ 2,91 B",18
1,31/03/2024,"R$ 3,76 B","- R$ 2,19 B","R$ 1,38 B","R$ 2,95 B",18
2,31/12/2023,"R$ 3,52 B","- R$ 3,14 B","R$ 2,70 B","R$ 3,08 B",18
3,30/09/2023,"R$ 3,13 B","- R$ 3,56 B","R$ 1,90 B","R$ 1,47 B",18
4,30/06/2023,"R$ 3,17 B","- R$ 3,60 B","R$ 1,26 B","R$ 829,31 M",18
5,31/03/2023,"R$ 3,26 B","- R$ 3,75 B","- R$ 564,47 M","- R$ 1,06 B",18
6,31/12/2022,"R$ 3,90 B","- R$ 2,77 B","- R$ 1,92 B","- R$ 794,39 M",18
7,30/09/2022,"R$ 3,66 B","- R$ 2,96 B","- R$ 1,22 B","- R$ 523,94 M",18
8,30/06/2022,"R$ 4,58 B","- R$ 415,58 M","- R$ 1,98 B","R$ 2,19 B",18
9,31/03/2022,"R$ 4,05 B","- R$ 69,50 M","- R$ 2,65 B","R$ 1,33 B",18
10,31/12/2021,"R$ 3,39 B","R$ 31,91 M","- R$ 2,88 B","R$ 534,31 M",18
11,30/09/2021,"R$ 3,60 B","R$ 630,34 M","- R$ 2,65 B","R$ 1,59 B",18
12,30/06/2021,"R$ 3,11 B","- R$ 1,71 B","- R$ 2,30 B","- R$ 911,25 M",18
13,31/03/2021,"R$ 3,63 B","- R$ 1,76 B","- R$ 1,68 B","R$ 190,69 M",18
14,31/12/2020,"R$ 3,94 B","- R$ 1,67 B","- R$ 1,72 B","R$ 558,16 M",18
15,30/09/2020,"R$ 4,14 B","- R$ 1,71 B","- R$ 630,91 M","R$ 1,80 B",18
16,30/06/2020,"R$ 3,40 B","- R$ 1,64 B","- R$ 766,00 M","R$ 995,30 M",18
17,31/03/2020,"R$ 2,97 B","- R$ 1,64 B","- R$ 370,73 M","R$ 960,99 M",18
18,31/12/2019,"R$ 2,95 B","- R$ 1,66 B","- R$ 288,04 M","R$ 993,32 M",18
19,30/09/2019,"R$ 2,26 B","- R$ 1,78 B","R$ 691,86 M","R$ 1,17 B",18
20,30/06/2019,"R$ 1,83 B","- R$ 1,99 B","R$ 365,25 M","R$ 202,56 M",18
21,31/03/2019,"R$ 1,93 B","- R$ 2,07 B","R$ 496,82 M","R$ 356,51 M",18
22,31/12/2018,"R$ 1,77 B","- R$ 2,15 B","R$ 1,29 B","R$ 908,33 M",18
