,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 316,50 M","R$ 294,02 M","R$ 180,00 mil","- R$ 58,55 M","R$ 58,73 M","- R$ 22,17 M","- R$ 0,04",16
1,31/03/2024,"R$ 353,31 M","R$ 317,36 M","R$ 33,13 M","- R$ 49,84 M","R$ 82,96 M","- R$ 34,37 M","- R$ 0,07",16
2,31/12/2023,"R$ 492,04 M","R$ 352,25 M","- R$ 7,44 M","- R$ 61,73 M","R$ 54,29 M","- R$ 74,47 M","- R$ 0,14",16
3,30/09/2023,"R$ 375,84 M","R$ 375,84 M","- R$ 31,39 M","- R$ 51,04 M","R$ 19,65 M","- R$ 87,50 M","- R$ 0,20",16
4,30/06/2023,"R$ 269,36 M","R$ 269,36 M","- R$ 55,29 M","- R$ 53,74 M","- R$ 1,54 M","- R$ 166,95 M","- R$ 0,38",16
5,31/03/2023,"R$ 295,46 M","R$ 295,46 M","- R$ 36,36 M","- R$ 51,98 M","R$ 15,62 M","- R$ 127,96 M","- R$ 0,46",16
6,31/12/2022,"R$ 321,40 M","R$ 321,40 M","R$ 29,25 M","- R$ 53,42 M","R$ 82,67 M","- R$ 96,77 M","- R$ 0,35",16
7,30/09/2022,"R$ 337,62 M","R$ 337,62 M","- R$ 1,36 M","- R$ 52,02 M","R$ 50,66 M","- R$ 75,05 M","- R$ 0,27",16
8,30/06/2022,"R$ 269,74 M","R$ 269,74 M","- R$ 49,54 M","- R$ 48,69 M","- R$ 844,00 mil","- R$ 94,81 M","- R$ 0,34",16
9,31/03/2022,"R$ 292,84 M","R$ 292,84 M","- R$ 15,93 M","- R$ 49,05 M","R$ 33,13 M","- R$ 166,82 M","- R$ 0,74",16
10,31/12/2021,"R$ 314,04 M","R$ 314,04 M","- R$ 96,13 M","- R$ 60,69 M","- R$ 35,44 M","- R$ 147,23 M","- R$ 0,65",16
11,30/09/2021,"R$ 230,37 M","R$ 230,37 M","- R$ 66,69 M","- R$ 47,23 M","- R$ 19,47 M","- R$ 81,05 M","- R$ 0,36",16
12,30/06/2021,"R$ 115,52 M","R$ 115,52 M","- R$ 173,71 M","- R$ 49,96 M","- R$ 123,75 M","- R$ 171,02 M","- R$ 0,85",16
13,31/03/2021,"R$ 165,94 M","R$ 165,94 M","- R$ 107,12 M","- R$ 50,71 M","- R$ 56,40 M","- R$ 77,05 M","- R$ 0,38",16
14,31/12/2020,"R$ 162,80 M","R$ 162,80 M","- R$ 129,36 M","- R$ 19,43 M","- R$ 109,93 M","R$ 388,95 M","R$ 2,25",16
15,30/09/2020,"R$ 62,03 M","R$ 62,03 M","- R$ 221,34 M","- R$ 79,58 M","- R$ 141,76 M","- R$ 212,17 M","- R$ 1,23",16
16,30/06/2020,"R$ 2,95 M","R$ 2,95 M","- R$ 256,04 M","- R$ 58,57 M","- R$ 197,47 M","- R$ 237,65 M","- R$ 1,59",16
17,31/03/2020,"R$ 397,06 M","R$ 289,60 M","- R$ 796,50 M","- R$ 55,07 M","- R$ 741,43 M","- R$ 1,14 B","- R$ 7,61",16
18,31/12/2019,"R$ 306,73 M","R$ 265,10 M","- R$ 68,48 M","- R$ 48,48 M","- R$ 20,00 M","- R$ 163,96 M","- R$ 1,10",16
19,30/09/2019,"R$ 449,62 M","R$ 449,62 M","R$ 132,89 M","- R$ 35,70 M","R$ 168,59 M","R$ 79,54 M","R$ 0,53",16
20,30/06/2019,"R$ 387,45 M","R$ 387,45 M","R$ 27,63 M","- R$ 37,11 M","R$ 64,74 M","- R$ 15,92 M","- R$ 0,11",16
21,31/03/2019,"R$ 565,66 M","R$ 467,68 M","R$ 184,46 M","- R$ 30,57 M","R$ 215,03 M","R$ 96,44 M","R$ 0,65",16
22,31/12/2018,"R$ 576,31 M","R$ 448,91 M","R$ 139,11 M","- R$ 35,36 M","R$ 174,47 M","R$ 81,46 M","R$ 0,56",16
23,30/09/2018,"R$ 414,87 M","R$ 414,87 M","R$ 164,45 M","- R$ 27,69 M","R$ 192,14 M","R$ 82,56 M","R$ 0,56",16
24,30/06/2018,"R$ 316,38 M","R$ 316,38 M","R$ 79,10 M","- R$ 25,60 M","R$ 104,70 M","R$ 24,73 M","R$ 0,17",16
25,31/03/2018,"R$ 385,01 M","R$ 385,01 M","R$ 161,95 M","- R$ 25,81 M","R$ 187,75 M","R$ 81,52 M","R$ 0,56",16
26,31/12/2017,"R$ 338,78 M","R$ 338,78 M","R$ 136,68 M","- R$ 23,41 M","R$ 160,09 M","R$ 79,22 M","R$ 0,56",16
27,30/09/2017,"R$ 313,78 M","R$ 313,78 M","R$ 139,55 M","- R$ 16,81 M","R$ 156,36 M","R$ 70,19 M","R$ 0,52",16
28,30/06/2017,"R$ 250,38 M","R$ 234,29 M","R$ 68,57 M","- R$ 16,13 M","R$ 84,70 M","R$ 13,47 M","R$ 0,10",16
29,31/03/2017,"R$ 298,30 M","R$ 298,30 M","R$ 144,18 M","- R$ 15,86 M","R$ 160,04 M","R$ 61,01 M","R$ 0,45",16
30,31/12/2016,"R$ 235,56 M","R$ 292,06 M","R$ 127,37 M","- R$ 13,70 M","R$ 141,07 M","R$ 55,96 M","R$ 0,42",16
31,30/09/2016,"R$ 297,54 M","R$ 276,31 M","R$ 122,90 M","- R$ 15,65 M","R$ 138,55 M","R$ 50,90 M","R$ 0,38",16
32,30/06/2016,"R$ 229,66 M","R$ 215,15 M","R$ 60,98 M","- R$ 15,88 M","R$ 76,86 M","R$ 12,25 M","R$ 0,09",16
