,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"18,26%","18,26%","27,66%","27,67%","24,66%","24,46%","0,00%","0,00%","0,00%","0,00%","0,00","1,07","0,07","0,00"
1,30/06/2024,"18,93%","18,93%","28,68%","28,68%","25,58%","25,33%","0,00%","0,00%","0,00%","0,00%","0,00","1,08","0,08","0,00"
2,31/03/2024,"20,08%","20,08%","30,42%","30,42%","27,48%","25,85%","0,00%","0,00%","0,00%","0,00%","0,00","1,11","0,11","0,00"
3,31/12/2023,"23,94%","23,95%","36,28%","36,29%","32,90%","30,59%","0,00%","0,00%","0,00%","0,00%","0,00","1,11","0,11","0,00"
4,30/09/2023,"19,90%","19,90%","30,14%","30,15%","26,40%","26,06%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","0,00"
5,30/06/2023,"22,52%","22,52%","34,12%","34,13%","30,04%","29,70%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","0,00"
6,31/03/2023,"20,82%","20,83%","31,55%","31,56%","27,72%","27,44%","0,00%","0,00%","0,00%","0,00%","0,00","1,06","0,06","0,00"
7,31/12/2022,"20,76%","20,76%","31,45%","31,46%","27,97%","27,71%","0,00%","0,00%","0,00%","0,00%","0,00","1,08","0,08","0,00"
8,30/09/2022,"17,71%","17,72%","26,84%","26,84%","23,58%","23,37%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","0,00"
9,30/06/2022,"16,51%","16,51%","25,01%","25,01%","21,80%","21,67%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","0,00"
10,31/03/2022,"15,31%","15,32%","23,20%","23,21%","20,14%","18,61%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","0,00"
11,31/12/2021,"15,88%","15,88%","24,05%","24,06%","20,87%","20,05%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","0,00"
12,30/09/2021,"28,95%","28,95%","43,86%","43,87%","38,00%","37,49%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","-0,02"
13,30/06/2021,"26,99%","26,99%","40,89%","40,89%","30,41%","30,13%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","0,00"
14,31/03/2021,"26,33%","27,37%","39,90%","41,47%","33,51%","32,07%","0,00%","0,00%","0,00%","0,00%","0,00","1,08","0,08","0,00"
15,31/12/2020,"28,81%","30,26%","43,65%","45,85%","35,97%","32,67%","0,00%","0,00%","0,00%","0,00%","0,00","1,04","0,04","0,00"
16,30/09/2020,"26,38%","26,39%","39,97%","39,98%","32,94%","32,66%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","-0,02"
17,30/06/2020,"26,58%","26,59%","40,28%","40,29%","28,59%","28,40%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","-0,50"
18,31/03/2020,"24,30%","24,79%","36,82%","37,57%","31,64%","30,65%","0,00%","0,00%","0,00%","0,00%","0,00","1,04","0,04","-0,23"
19,31/12/2019,"25,90%","26,42%","39,25%","40,04%","34,00%","32,86%","0,00%","0,00%","0,00%","0,00%","0,00","1,10","0,10","-0,29"
20,30/09/2019,"30,39%","30,40%","46,05%","46,05%","36,75%","36,51%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","-0,19"
21,30/06/2019,"30,99%","30,99%","46,95%","46,96%","38,03%","37,77%","0,00%","0,00%","0,00%","0,00%","0,00","1,01","0,01","-0,67"
22,31/03/2019,"27,47%","28,00%","41,62%","42,43%","33,56%","30,63%","0,00%","0,00%","0,00%","0,00%","0,00","1,03","0,03","-0,19"
23,31/12/2018,"28,15%","28,67%","42,65%","43,44%","35,97%","32,91%","0,00%","0,00%","0,00%","0,00%","0,00","1,03","0,03","-0,15"
