,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 28,13 B","R$ 7,15 B","R$ 9,50",752.799.844,0,0,752.799.844,5.378.193,0,0,5.378.193,747.421.651,0,747.421.651,153
1,31/03/2024,"R$ 26,94 B","R$ 7,18 B","R$ 9,54",752.799.844,0,0,752.799.844,5.609.222,0,0,5.609.222,747.190.622,0,747.190.622,153
2,31/12/2023,"R$ 26,21 B","R$ 7,33 B","R$ 9,74",752.799.844,0,0,752.799.844,5.751.757,0,0,5.751.757,747.048.087,0,747.048.087,153
3,30/09/2023,"R$ 27,09 B","R$ 7,94 B","R$ 10,55",752.799.844,0,0,752.799.844,5.839.733,0,0,5.839.733,746.960.111,0,746.960.111,153
4,30/06/2023,"R$ 27,38 B","R$ 8,14 B","R$ 10,81",752.799.844,0,0,752.799.844,5.920.197,0,0,5.920.197,746.879.647,0,746.879.647,153
5,31/03/2023,"R$ 26,32 B","R$ 6,79 B","R$ 12,21",555.942.170,0,0,555.942.170,5.920.197,0,0,5.920.197,550.021.973,0,550.021.973,153
6,31/12/2022,"R$ 26,84 B","R$ 7,08 B","R$ 12,63",560.578.264,0,0,560.578.264,23.943.660,0,0,23.943.660,536.634.604,0,536.634.604,153
7,30/09/2022,"R$ 25,12 B","R$ 7,35 B","R$ 13,12",560.578.264,0,0,560.578.264,751.266,0,0,751.266,559.826.998,0,559.826.998,153
8,30/06/2022,"R$ 25,06 B","R$ 7,47 B","R$ 13,33",560.578.264,0,0,560.578.264,91.666,0,0,91.666,560.486.598,0,560.486.598,153
9,31/03/2022,"R$ 24,53 B","R$ 7,57 B","R$ 13,51",560.578.264,0,0,560.578.264,91.666,0,0,91.666,560.486.598,0,560.486.598,153
