,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 3,96 B","R$ 1,14 B","R$ 345,68 M","- R$ 322,48 M","R$ 668,16 M","- R$ 104,62 M","- R$ 0,14",153
1,31/03/2024,"R$ 3,73 B","R$ 1,07 B","R$ 303,25 M","- R$ 335,46 M","R$ 638,71 M","- R$ 175,96 M","- R$ 0,23",153
2,31/12/2023,"R$ 3,32 B","R$ 638,28 M","R$ 60,98 M","- R$ 346,09 M","R$ 407,07 M","- R$ 509,13 M","- R$ 0,68",153
3,30/09/2023,"R$ 3,77 B","R$ 1,11 B","R$ 330,95 M","- R$ 329,83 M","R$ 660,78 M","- R$ 180,51 M","- R$ 0,24",153
4,30/06/2023,"R$ 3,63 B","R$ 1,08 B","R$ 215,37 M","- R$ 310,70 M","R$ 526,07 M","- R$ 282,10 M","- R$ 0,37",153
5,31/03/2023,"R$ 3,53 B","R$ 1,05 B","R$ 306,02 M","- R$ 309,69 M","R$ 615,71 M","- R$ 166,05 M","- R$ 0,30",153
6,31/12/2022,"R$ 3,28 B","R$ 842,12 M","R$ 192,97 M","- R$ 258,18 M","R$ 451,14 M","- R$ 214,55 M","- R$ 0,38",153
7,30/09/2022,"R$ 3,43 B","R$ 1,07 B","R$ 307,93 M","- R$ 296,22 M","R$ 604,14 M","- R$ 89,36 M","- R$ 0,16",153
8,30/06/2022,"R$ 3,29 B","R$ 923,25 M","R$ 227,27 M","- R$ 285,03 M","R$ 512,30 M","- R$ 120,12 M","- R$ 0,21",153
9,31/03/2022,"R$ 3,14 B","R$ 964,02 M","R$ 288,44 M","- R$ 272,10 M","R$ 560,54 M","R$ 37,11 M","R$ 0,07",153
10,31/12/2021,"R$ 2,67 B","R$ 673,49 M","- R$ 39,21 M","- R$ 262,13 M","R$ 222,92 M","- R$ 167,13 M","- R$ 0,30",153
11,30/09/2021,"R$ 2,76 B","R$ 903,33 M","R$ 262,33 M","- R$ 244,79 M","R$ 507,12 M","R$ 73,60 M","R$ 0,13",153
12,30/06/2021,"R$ 2,61 B","R$ 822,69 M","- R$ 187,04 M","- R$ 211,79 M","R$ 24,76 M","- R$ 120,67 M","- R$ 0,22",153
13,31/03/2021,"R$ 2,38 B","R$ 717,31 M","R$ 52,43 M","- R$ 211,05 M","R$ 263,48 M","- R$ 12,37 M","- R$ 0,03",153
14,31/12/2020,"R$ 2,23 B","R$ 645,50 M","R$ 60,46 M","- R$ 229,60 M","R$ 290,05 M","R$ 23,21 M","R$ 0,05",153
15,30/09/2020,"R$ 2,07 B","R$ 591,53 M","R$ 170,26 M","- R$ 171,06 M","R$ 341,32 M","R$ 49,43 M","R$ 0,10",153
16,30/06/2020,"R$ 1,28 B","R$ 125,56 M","- R$ 80,48 M","- R$ 200,38 M","R$ 119,90 M","- R$ 145,31 M","- R$ 0,30",153
17,31/03/2020,"R$ 1,46 B","R$ 393,12 M","R$ 16,31 M","- R$ 164,55 M","R$ 180,86 M","- R$ 78,14 M","- R$ 0,16",153
18,31/12/2019,"R$ 1,07 B","R$ 361,07 M","- R$ 28,95 M","- R$ 120,29 M","R$ 91,34 M","- R$ 16,67 M","- R$ 0,05",153
19,30/09/2019,"R$ 1,17 B","R$ 440,46 M","R$ 156,00 M","- R$ 123,50 M","R$ 279,51 M","R$ 41,87 M","R$ 0,13",153
20,30/06/2019,"R$ 1,09 B","R$ 377,80 M","R$ 116,92 M","- R$ 113,41 M","R$ 230,33 M","R$ 33,44 M","R$ 0,11",153
21,31/03/2019,"R$ 1,03 B","R$ 367,08 M","R$ 154,30 M","- R$ 109,83 M","R$ 264,13 M","R$ 66,13 M","R$ 0,21",153
22,31/12/2018,"R$ 947,66 M","R$ 303,64 M","- R$ 65,06 M","- R$ 65,36 M","R$ 307,00 mil","- R$ 14,40 M","- R$ 0,05",153
23,30/09/2018,"R$ 1,03 B","R$ 389,48 M","R$ 137,78 M","- R$ 64,10 M","R$ 201,88 M","R$ 72,57 M","R$ 0,23",153
24,30/06/2018,"R$ 989,32 M","R$ 349,46 M","R$ 116,14 M","- R$ 65,56 M","R$ 181,69 M","R$ 43,98 M","R$ 0,14",153
25,31/03/2018,"R$ 967,71 M","R$ 354,18 M","R$ 156,82 M","- R$ 64,79 M","R$ 221,61 M","R$ 82,23 M","R$ 0,26",153
26,31/12/2017,"R$ 899,77 M","R$ 277,18 M","R$ 41,84 M","- R$ 65,99 M","R$ 107,83 M","R$ 10,98 M","R$ 0,04",153
27,30/09/2017,"R$ 875,95 M","R$ 313,62 M","R$ 96,23 M","- R$ 55,80 M","R$ 152,03 M","R$ 37,95 M","R$ 0,12",153
28,30/06/2017,"R$ 801,69 M","R$ 248,30 M","R$ 49,92 M","- R$ 53,45 M","R$ 103,37 M","R$ 4,57 M","R$ 0,01",153
29,31/03/2017,"R$ 821,90 M","R$ 346,73 M","R$ 148,07 M","- R$ 52,62 M","R$ 200,69 M","R$ 77,95 M","R$ 0,25",153
30,31/12/2016,"R$ 759,72 M","R$ 220,32 M","R$ 24,69 M","- R$ 75,45 M","R$ 100,15 M","R$ 8,92 M","R$ 0,03",153
31,30/09/2016,"R$ 794,40 M","R$ 274,46 M","R$ 122,98 M","- R$ 52,49 M","R$ 175,46 M","R$ 60,54 M","R$ 0,19",153
32,30/06/2016,"R$ 761,66 M","R$ 239,24 M","R$ 87,95 M","- R$ 50,31 M","R$ 138,26 M","R$ 21,46 M","R$ 0,07",153
33,31/03/2016,"R$ 725,00 M","R$ 230,56 M","R$ 64,37 M","- R$ 50,97 M","R$ 115,33 M","R$ 3,81 M","R$ 0,01",153
34,31/12/2015,"R$ 683,69 M","R$ 174,94 M","R$ 35,21 M","- R$ 48,67 M","R$ 83,88 M","R$ 4,22 M","R$ 0,01",153
35,30/09/2015,"R$ 728,18 M","R$ 203,53 M","R$ 53,79 M","- R$ 49,01 M","R$ 102,80 M","R$ 9,57 M","R$ 0,03",153
36,30/06/2015,"R$ 726,79 M","R$ 208,34 M","R$ 48,20 M","- R$ 44,10 M","R$ 92,30 M","R$ 9,72 M","R$ 0,03",153
37,31/03/2015,"R$ 655,74 M","R$ 181,59 M","R$ 21,98 M","- R$ 44,32 M","R$ 66,30 M","R$ 296,00 mil","R$ 0,00",153
38,31/12/2014,"R$ 620,18 M","R$ 174,82 M","R$ 19,72 M","- R$ 42,50 M","R$ 62,22 M","- R$ 21,55 M","- R$ 0,07",153
39,30/09/2014,"R$ 727,85 M","R$ 240,12 M","R$ 87,30 M","- R$ 41,29 M","R$ 128,59 M","R$ 43,51 M","R$ 0,14",153
40,30/06/2014,"R$ 687,40 M","R$ 215,69 M","R$ 75,40 M","- R$ 39,59 M","R$ 115,00 M","R$ 31,74 M","R$ 0,10",153
41,31/03/2014,"R$ 662,15 M","R$ 209,89 M","R$ 66,28 M","- R$ 46,30 M","R$ 112,58 M","R$ 28,60 M","R$ 0,09",153
42,31/12/2013,"R$ 628,40 M","R$ 187,22 M","R$ 74,73 M","- R$ 28,93 M","R$ 103,66 M","R$ 36,71 M","R$ 0,12",153
43,30/09/2013,"R$ 646,17 M","R$ 209,47 M","R$ 84,42 M","- R$ 36,30 M","R$ 120,73 M","R$ 35,91 M","R$ 0,12",153
44,30/06/2013,"R$ 631,33 M","R$ 197,18 M","R$ 73,07 M","- R$ 37,75 M","R$ 110,82 M","R$ 35,16 M","R$ 0,11",153
45,31/03/2013,"R$ 581,59 M","R$ 178,98 M","R$ 57,27 M","- R$ 41,81 M","R$ 99,08 M","R$ 23,52 M","R$ 0,08",153
46,31/12/2012,"R$ 547,40 M","R$ 133,12 M","R$ 21,60 M","- R$ 43,66 M","R$ 65,26 M","- R$ 1,40 M","- R$ 0,00",153
47,30/09/2012,"R$ 588,43 M","R$ 183,65 M","R$ 65,83 M","- R$ 41,00 M","R$ 106,83 M","R$ 26,95 M","R$ 0,09",153
48,30/06/2012,"R$ 571,62 M","R$ 185,97 M","R$ 67,40 M","- R$ 35,66 M","R$ 103,06 M","R$ 23,28 M","R$ 0,07",153
49,31/03/2012,"R$ 556,69 M","R$ 196,48 M","R$ 90,12 M","- R$ 32,26 M","R$ 122,38 M","R$ 36,37 M","R$ 0,12",153
50,31/12/2011,"R$ 528,81 M","R$ 167,00 M","R$ 65,58 M","- R$ 39,18 M","R$ 104,76 M","R$ 18,57 M","R$ 0,06",153
51,30/09/2011,"R$ 599,74 M","R$ 226,34 M","R$ 114,95 M","- R$ 30,69 M","R$ 145,63 M","R$ 56,64 M","R$ 0,18",153
52,30/06/2011,"R$ 541,18 M","R$ 193,46 M","R$ 89,28 M","- R$ 28,44 M","R$ 117,72 M","R$ 25,67 M","R$ 0,08",153
53,31/03/2011,"R$ 510,14 M","R$ 193,86 M","R$ 104,74 M","- R$ 27,46 M","R$ 132,20 M","R$ 44,58 M","R$ 0,14",153
54,31/12/2010,"R$ 370,37 M","R$ 125,59 M","R$ 55,80 M",,,"- R$ 29,75 M","- R$ 0,13",153
55,30/09/2010,"R$ 393,88 M","R$ 153,63 M","R$ 87,29 M",,,"R$ 51,14 M","R$ 0,22",153
56,30/06/2010,"R$ 378,29 M","R$ 143,38 M","R$ 79,68 M",,,"R$ 39,58 M","R$ 0,17",153
57,31/03/2010,"R$ 359,43 M","R$ 129,93 M","R$ 66,79 M",,,"R$ 33,30 M","R$ 0,15",153
58,31/12/2009,"R$ 343,55 M","R$ 104,13 M","R$ 24,97 M",,,"R$ 9,92 M","R$ 0,17",153
59,30/09/2009,"R$ 369,97 M","R$ 127,23 M","R$ 65,36 M",,,"R$ 34,97 M","R$ 0,61",153
60,30/06/2009,"R$ 349,40 M","R$ 110,25 M","R$ 6,53 M",,,"R$ 5,15 M","R$ 0,09",153
61,31/03/2009,"R$ 325,39 M","R$ 103,28 M","R$ 50,80 M",,,"R$ 33,78 M","R$ 0,59",153
62,31/12/2008,"R$ 296,55 M","R$ 80,01 M","R$ 2,48 M",,,"- R$ 16,40 M","- R$ 0,29",153
63,30/09/2008,"R$ 306,01 M","R$ 102,34 M","R$ 26,64 M",,,"- R$ 15,35 M","- R$ 0,27",153
64,30/06/2008,"R$ 278,22 M","R$ 89,18 M","R$ 26,63 M",,,"R$ 10,51 M","R$ 0,18",153
65,31/03/2008,"R$ 256,75 M","R$ 85,89 M","R$ 23,41 M",,,"R$ 8,25 M","R$ 0,14",153
66,31/12/2007,"R$ 232,65 M","R$ 68,48 M","R$ 1,90 M",,,"- R$ 8,66 M","- R$ 0,15",153
67,30/09/2007,"R$ 234,02 M","R$ 76,76 M","R$ 17,80 M",,,"R$ 7,81 M","R$ 0,14",153
68,30/06/2007,"R$ 203,25 M","R$ 64,45 M","R$ 13,82 M",,,"R$ 8,49 M","R$ 0,15",153
69,31/03/2007,"R$ 188,90 M","R$ 64,53 M","R$ 17,96 M",,,"R$ 48,99 M","R$ 0,85",153
70,31/12/2006,"R$ 175,44 M","R$ 52,12 M","R$ 5,55 M",,,"R$ 1,68 M","R$ 0,03",153
71,30/09/2006,"R$ 179,97 M","R$ 67,29 M","R$ 26,36 M",,,"R$ 14,81 M","R$ 0,26",153
72,30/06/2006,"R$ 161,08 M","R$ 54,56 M","R$ 11,30 M",,,"R$ 5,05 M","R$ 0,09",153
73,31/03/2006,"R$ 153,96 M","R$ 53,01 M","R$ 3,53 M",,,"- R$ 5,03 M","- R$ 0,09",153
74,31/12/2005,"R$ 131,87 M","R$ 36,29 M","R$ 2,13 M",,,"- R$ 7,57 M","- R$ 0,14",153
75,30/09/2005,"R$ 143,45 M","R$ 48,56 M","R$ 15,53 M",,,"R$ 7,15 M","R$ 0,13",153
76,30/06/2005,"R$ 133,23 M","R$ 43,90 M","R$ 10,78 M",,,"R$ 4,99 M","R$ 0,09",153
77,31/03/2005,"R$ 119,73 M","R$ 37,12 M","R$ 13,26 M",,,"R$ 5,58 M","R$ 0,10",153
78,31/12/2004,"R$ 114,41 M","R$ 33,13 M","- R$ 6,78 M",,,"- R$ 12,54 M","- R$ 0,23",153
79,30/09/2004,"R$ 121,02 M","R$ 44,31 M","R$ 8,51 M",,,"R$ 1,21 M","R$ 0,03",153
