,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"- R$ 574,92 M","R$ 667,16 M","R$ 1,28 B","R$ 1,37 B",153
1,31/03/2024,"- R$ 486,71 M","R$ 1,84 M","R$ 1,29 B","R$ 804,01 M",153
2,31/12/2023,"- R$ 963,62 M","R$ 978,96 M","R$ 284,87 M","R$ 300,20 M",153
3,30/09/2023,"R$ 1,00 B","- R$ 822,06 M","R$ 111,77 M","R$ 291,00 M",153
4,30/06/2023,"R$ 1,18 B","R$ 90,20 M","- R$ 529,78 M","R$ 738,70 M",153
5,31/03/2023,"R$ 1,15 B","R$ 490,23 M","- R$ 1,46 B","R$ 175,86 M",153
6,31/12/2022,"R$ 1,34 B","- R$ 1,60 B","R$ 402,08 M","R$ 141,97 M",153
7,30/09/2022,"R$ 427,57 M","- R$ 2,53 B","R$ 2,24 B","R$ 146,03 M",153
8,30/06/2022,"R$ 576,71 M","- R$ 3,30 B","R$ 2,46 B","- R$ 265,09 M",153
9,31/03/2022,"R$ 724,16 M","- R$ 5,69 B","R$ 5,25 B","R$ 283,28 M",153
10,31/12/2021,"R$ 1,30 B","- R$ 4,95 B","R$ 4,04 B","R$ 389,42 M",153
11,30/09/2021,"R$ 1,04 B","- R$ 3,15 B","R$ 2,53 B","R$ 421,36 M",153
12,30/06/2021,"R$ 700,74 M","- R$ 3,90 B","R$ 3,17 B","- R$ 28,84 M",153
13,31/03/2021,"R$ 916,51 M","- R$ 1,81 B","R$ 957,04 M","R$ 61,26 M",153
14,31/12/2020,"R$ 766,50 M","- R$ 941,20 M","R$ 360,50 M","R$ 185,80 M",153
15,30/09/2020,"R$ 468,79 M","- R$ 667,40 M","R$ 338,88 M","R$ 140,27 M",153
16,30/06/2020,"R$ 782,20 M","- R$ 1,02 B","R$ 799,48 M","R$ 558,58 M",153
17,31/03/2020,"R$ 826,69 M","- R$ 344,65 M","- R$ 387,56 M","R$ 94,47 M",153
18,31/12/2019,"R$ 699,37 M","- R$ 518,46 M","- R$ 157,87 M","R$ 23,04 M",153
19,30/09/2019,"R$ 925,32 M","- R$ 1,04 B","- R$ 56,41 M","- R$ 171,84 M",153
20,30/06/2019,"R$ 725,90 M","- R$ 301,08 M","- R$ 265,33 M","R$ 159,49 M",153
21,31/03/2019,"R$ 552,81 M","- R$ 302,20 M","- R$ 17,65 M","R$ 232,96 M",153
22,31/12/2018,"R$ 530,33 M","- R$ 925,72 M","R$ 428,49 M","R$ 33,10 M",153
23,30/09/2018,"R$ 386,22 M","- R$ 332,59 M","R$ 202,78 M","R$ 256,41 M",153
24,30/06/2018,"R$ 452,57 M","- R$ 1,04 B","R$ 625,60 M","R$ 34,82 M",153
25,31/03/2018,"R$ 515,81 M","- R$ 1,07 B","R$ 616,80 M","R$ 61,33 M",153
26,31/12/2017,"R$ 653,24 M","- R$ 540,77 M","R$ 111,31 M","R$ 223,77 M",153
27,30/09/2017,"R$ 625,55 M","- R$ 1,02 B","R$ 247,30 M","- R$ 149,80 M",153
