,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"-1,92","0,26","0,13","-3,25","-1,83","0,07","1,79","0,53","9,94","4,35","-0,11","0,70","-10,15","0,37","R$ 1,87 B","0,00%"
1,30/06/2024,"-2,17","0,29","0,14","-3,67","-2,07","0,07","2,03","0,59","10,17","4,46","-0,12","0,72","-10,39","0,38","R$ 2,11 B","0,00%"
2,31/03/2024,"-2,29","0,37","0,18","-5,40","-2,84","0,10","2,89","1,16","13,54","5,52","-0,15","0,85","-13,32","0,46","R$ 2,63 B","0,00%"
3,31/12/2023,"-4,67","0,73","0,37","-5,52","-3,70","0,20","5,82","3,82","15,75","6,51","-0,30","1,01","-10,01","0,55","R$ 5,31 B","0,00%"
4,30/09/2023,"-8,93","0,95","0,53","7,52","15,11","0,28","7,20","4,34","16,80","7,79","-0,43","1,24","35,26","0,65","R$ 7,53 B","0,97%"
5,30/06/2023,"-12,21","1,13","0,66","7,79","15,71","0,34","8,98","21,51","18,39","8,56","-0,49","1,36","32,16","0,69","R$ 9,18 B","0,79%"
6,31/03/2023,"-11,05","0,96","0,48","5,69","14,88","0,25","6,31","-7,36","16,41","7,77","-0,32","1,25","38,74","0,64","R$ 6,52 B","0,83%"
7,31/12/2022,"-11,76","0,64","0,35","3,40","6,91","0,17","4,48","2,93","14,49","6,92","-0,25","1,12","22,36","0,55","R$ 4,55 B","1,19%"
8,30/09/2022,"-30,15","1,39","0,82","23,94","-54,54","0,41","13,05","9,01","24,54","10,13","-0,62","1,54","-102,57","0,77","R$ 10,24 B","1,65%"
9,30/06/2022,"-75,73","1,79","1,13","23,18","-201,88","0,53","18,10","8,65","30,49","12,49","-0,83","1,90","-340,09","0,90","R$ 13,37 B","1,26%"
10,31/03/2022,"-57,71","1,35","0,91","14,11","95,52","0,42","31,49","30,58","56,96","14,05","-0,61","1,65","172,80","0,75","R$ 10,22 B","1,65%"
11,31/12/2021,"-63,21","1,90","1,37","11,03","22,02","0,62","161,79","-174,36","235,27","20,45","-0,91","2,00","32,02","0,90","R$ 14,32 B","1,18%"
12,30/09/2021,"-579,30","2,83","2,10","20,25","41,55","1,14","111,53","25,68","135,50","23,49","-2,07","2,56","50,48","1,39","R$ 20,99 B","0,75%"
13,30/06/2021,"-501,23","4,17","3,26","43,20","106,48","1,70","315,01","10,52","363,90","38,03","-3,97","3,77","123,00","1,97","R$ 30,27 B","0,52%"
14,31/03/2021,"-333,02","8,03","3,56","30,90","60,17","2,02","139,74","54,98","164,79","32,91","-2,84","4,20","70,96","2,38","R$ 28,32 B","0,48%"
15,31/12/2020,"-465,41","19,85","9,97","91,57","232,60","5,26","421,41","58,60","448,94","80,21","-8,15","10,62","247,79","5,60","R$ 70,19 B","0,20%"
16,30/09/2020,"-148,77","7,28","4,82","60,51","-680,47","2,28","367,73","22,07","423,66","44,56","-3,92","5,55","-783,95","2,63","R$ 28,37 B","0,95%"
17,30/06/2020,"-169,78","8,69","6,75","43,03","117,98","2,72","535,24","22,80","596,87","55,88","-4,81","7,53","131,56","3,04","R$ 33,66 B","0,80%"
18,31/03/2020,"-1.640,46","7,96","6,67","38,68","75,45","2,76","122,84","35,44","135,26","45,02","-4,79","7,34","83,08","3,04","R$ 31,97 B","0,85%"
19,31/12/2019,"189,30","7,22","5,41","33,77","81,67","2,67","59,31","33,16","64,97","29,91","-4,87","5,93","89,48","2,93","R$ 23,62 B","0,75%"
20,30/09/2019,"111,56","3,97","3,34","15,32","25,04","1,59","39,13","18,46","45,67","21,36","-3,09","3,90","29,23","1,85","R$ 14,17 B","1,25%"
21,30/06/2019,"61,51","2,75","2,37","13,37","22,87","1,19","28,21","13,55","33,28","16,43","-2,47","2,79","26,98","1,40","R$ 9,70 B","1,82%"
22,31/03/2019,"52,96","2,56","2,23","16,12","30,30","1,07","25,97","11,78","31,42","16,64","-2,18","2,70","36,66","1,30","R$ 8,91 B","1,96%"
23,31/12/2018,"49,89","2,76","2,34","17,35","29,75","1,27","26,61","10,40","32,39","18,49","-3,06","2,85","36,22","1,55","R$ 9,20 B","1,90%"
24,30/09/2018,"40,88","2,42","2,21","22,20","52,62","1,28","18,95","15,00","22,68","14,40","-3,31","2,64","62,99","1,53","R$ 8,57 B","0,49%"
25,30/06/2018,"46,29","2,34","2,17","17,91","37,32","1,23","19,72","15,50","24,16","14,98","-3,15","2,66","45,72","1,51","R$ 8,11 B","0,52%"
26,31/03/2018,"62,03","2,46","2,37","16,32","29,11","1,29","24,42","11,95","29,69","17,50","-3,52","2,89","35,39","1,57","R$ 8,42 B","0,50%"
27,31/12/2017,"61,69","2,43","2,39","12,41","17,54","1,30","24,13","97,62","27,94","16,65","-2,87","2,76","20,31","1,50","R$ 8,11 B","0,54%"
28,30/09/2017,"65,08","2,79","2,58","13,46","21,37","1,40","26,40","22,25","31,24","17,91","-3,19","3,06","25,29","1,65","R$ 8,42 B","0,32%"
29,30/06/2017,"57,48","2,97","2,75","13,06","20,01","1,71","25,27","14,34","27,91","16,64","-5,59","3,04","22,10","1,88","R$ 8,74 B","0,30%"
30,31/03/2017,"53,39","3,07","2,87","12,31","18,36","1,79","23,50","14,06","25,95","16,20","-6,15","3,17","20,28","1,97","R$ 9,02 B","0,29%"
31,31/12/2016,"70,55","2,34","2,20","7,94","11,47","1,30","22,28","11,52","25,82","14,63","-3,97","2,55","13,29","1,51","R$ 6,68 B","0,47%"
32,30/09/2016,"67,75","2,12","2,06","8,96","13,28","1,26","19,64","7,55","22,31","13,51","-5,19","2,34","15,08","1,43","R$ 6,10 B","0,10%"
33,30/06/2016,"131,15","1,82","1,77","8,14","12,63","1,08","21,23","6,96","24,50","13,43","-4,35","2,04","14,58","1,25","R$ 5,12 B","0,12%"
34,31/03/2016,"114,33","1,12","1,09","5,83","9,95","0,67","15,50","4,92","19,91","10,18","-2,48","1,40","12,77","0,86","R$ 3,12 B","0,20%"
35,31/12/2015,"139,04","1,19","1,18","6,70","11,88","0,71","20,80","5,48","26,65","12,29","-2,57","1,52","15,22","0,91","R$ 3,31 B","0,59%"
36,30/09/2015,"-1.356,87","0,95","0,97","6,14","12,27","0,55","18,50","4,02","25,18","11,18","-1,93","1,32","16,69","0,75","R$ 2,66 B","0,74%"
37,30/06/2015,"97,51","1,12","1,14","7,98","16,68","0,65","17,60","4,89","23,65","11,99","-2,23","1,53","22,41","0,87","R$ 3,12 B","0,63%"
38,31/03/2015,"56,60","1,10","1,14","7,87","15,05","0,60","14,95","3,33","20,37","11,19","-2,24","1,55","20,51","0,82","R$ 3,06 B","0,64%"
39,31/12/2014,"40,39","1,20","1,23","7,24","11,46","0,72","13,36","5,38","17,20","10,22","-2,72","1,59","14,75","0,93","R$ 3,32 B","0,95%"
40,30/09/2014,"21,81","1,09","1,13","6,63","9,37","0,65","10,09","4,30","12,74","8,42","-2,53","1,43","11,83","0,82","R$ 3,07 B","1,03%"
41,30/06/2014,"34,87","1,67","1,77","12,99","18,79","1,01","15,41","6,97","18,23","12,13","-4,01","2,09","22,22","1,19","R$ 4,64 B","0,68%"
42,31/03/2014,"30,57","1,52","1,62","13,07","19,27","0,87","13,97","5,18","16,91","11,27","-3,34","1,97","23,34","1,05","R$ 4,17 B","0,76%"
43,31/12/2013,"34,91","1,69","1,84","17,98","31,17","0,98","15,83","6,48","19,08","12,72","-3,59","2,22","37,56","1,18","R$ 4,58 B","0,45%"
44,30/09/2013,"39,01","1,35","1,51","12,73","17,10","0,84","15,38","10,40","19,13","11,42","-2,80","1,88","21,27","1,04","R$ 3,64 B","0,57%"
45,30/06/2013,"44,80","1,42","1,61","12,38","18,04","0,87","17,32","9,67","21,38","12,19","-2,97","1,98","22,26","1,08","R$ 3,77 B","0,55%"
46,31/03/2013,"49,39","1,36","1,56","11,91","19,76","0,83","16,85","5,83","20,99","11,90","-3,33","1,95","24,63","1,03","R$ 3,57 B","0,58%"
47,31/12/2012,"47,62","1,56","1,79","12,86","25,99","0,95","16,56","6,85","20,14","12,41","-3,78","2,18","31,61","1,16","R$ 4,06 B","0,25%"
48,30/09/2012,"41,18","1,65","1,93","100,49","-23,44","1,02","14,99","10,17","18,23","12,05","-3,58","2,35","-28,51","1,24","R$ 4,33 B","0,23%"
49,30/06/2012,"25,90","1,34","1,55","51,72","-20,78","0,83","10,33","8,39","13,09","9,30","-2,96","1,96","-26,33","1,05","R$ 3,49 B","1,15%"
50,31/03/2012,"31,40","1,67","1,94","139,35","-22,72","1,02","11,97","10,51","14,42","10,58","-3,53","2,33","-27,37","1,23","R$ 4,31 B","0,93%"
51,31/12/2011,"31,94","1,83","2,13","-181,17","-22,96","1,08","12,40","11,25","14,70","11,00","-3,50","2,53","-27,21","1,29","R$ 4,65 B","0,65%"
52,30/09/2011,"46,96","1,80","2,26","-69,56","-19,09","1,10","12,51","9,35","14,62","11,17","-4,10","2,64","-22,31","1,29","R$ 4,56 B","1,55%"
53,30/06/2011,"60,39","2,20","3,05","-119,00","-30,37","1,37","16,42","10,46","18,48","14,16","-5,53","3,43","-34,19","1,54","R$ 5,53 B","0,74%"
54,31/03/2011,"64,99","2,75","4,15","50,44","249,17","1,71","20,94","53,32","22,86","17,66","-4,91","4,53","271,91","1,86","R$ 6,86 B","0,60%"
55,31/12/2010,"44,77","7,13","2,92","22,46","43,42","2,25","14,94","27,48","16,57","12,64","-3,75","3,24","48,16","2,50","R$ 4,39 B","0,69%"
56,30/09/2010,"40,22","7,54","3,45","21,51","27,91","2,99","20,18","12,82","21,29",NA,"-8,05","3,64","29,44","3,15","R$ 5,09 B","0,46%"
57,30/06/2010,"32,86","6,02","2,59","20,01","28,23","2,26","16,04","10,50","17,64",NA,"-5,53","2,84","31,04","2,49","R$ 3,75 B","0,63%"
58,31/03/2010,"42,24","6,15","2,47","21,63","35,55","2,19","21,51","9,40","23,90",NA,"-5,31","2,75","39,49","2,43","R$ 3,52 B","0,67%"
59,31/12/2009,"10,44","1,62","0,63","8,24","22,01","0,54","5,93","2,39","8,71",NA,"-1,23","0,93","32,33","0,79","R$ 875,40 M","0,67%"
60,30/09/2009,"33,56","5,25","2,08","11,66","17,40","1,70","20,32","7,67","23,34",NA,"-3,75","2,39","19,98","1,95","R$ 2,80 B","0,00%"
61,30/06/2009,"42,11","4,48","1,82","7,80","11,36","1,36","24,21","6,23","29,15",NA,"-2,83","2,19","13,68","1,63","R$ 2,32 B","0,00%"
62,31/03/2009,"110,56","3,66","1,56","5,63","8,50","1,02","16,56","4,05","21,43",NA,"-2,16","2,01","11,00","1,32","R$ 1,88 B","0,00%"
63,31/12/2008,"-106,45","2,89","1,21","4,08","6,73","0,75","17,45","2,62","24,06",NA,"-1,63","1,67","9,28","1,03","R$ 1,38 B","0,97%"
64,30/09/2008,"-260,32","2,65","1,27",NA,NA,"0,77","17,38","2,67","22,80",NA,"-1,81","1,67",NA,"1,01","R$ 1,37 B","0,98%"
65,30/06/2008,"125,60","4,24","2,25",NA,NA,"1,36","32,25","5,20","37,88",NA,"-3,24","2,64",NA,"1,59","R$ 2,25 B","0,60%"
66,31/03/2008,"140,89","4,30","2,42",NA,NA,"1,78","39,31","22,89","45,87",NA,"-3,51","2,82",NA,"2,08","R$ 2,24 B","0,60%"
67,31/12/2007,"34,16","3,77","2,25",NA,NA,"1,59","37,56","24,08","44,56",NA,"-3,09","2,67",NA,"1,88","R$ 1,93 B","0,03%"
68,30/09/2007,"32,66","4,09","2,73",NA,NA,"1,90","39,67","19,33","45,22",NA,"-4,33","3,11",NA,"2,16","R$ 2,19 B","0,02%"
69,30/06/2007,"34,85","4,89","3,45",NA,NA,"2,38","40,47","8,86","42,18",NA,"-9,66","3,59",NA,"2,48","R$ 2,58 B","0,02%"
70,31/03/2007,"37,03","5,04","3,70",NA,NA,"2,46","42,70","7,30","43,12",NA,"-13,97","3,74",NA,"2,48","R$ 2,61 B","0,02%"
71,31/12/2006,"153,18","5,39","3,77",NA,NA,"2,48","54,11","7,21","54,31",NA,"-12,73","3,79",NA,"2,49","R$ 2,53 B","0,00%"
72,30/09/2006,"360,55","5,59","4,18",NA,NA,"2,59","60,43","6,49","59,45",NA,"-18,89","4,11",NA,"2,55","R$ 2,62 B","0,00%"
73,30/06/2006,"-5.864,77","5,07","3,89",NA,NA,"2,34","70,75","5,67","69,36",NA,"-18,76","3,82",NA,"2,30","R$ 2,30 B","0,00%"
74,31/03/2006,"-7.315,85","7,89","5,94",NA,NA,"4,39","104,56","16,59","103,65",NA,"-24,54","5,89",NA,"4,35","R$ 3,34 B","0,00%"
75,31/12/2005,"269,17","10,28","5,18",NA,NA,"4,61","65,57","50,16","67,99",NA,"-10,02","5,37",NA,"4,78","R$ 2,73 B","0,00%"
76,30/09/2005,"374,69","7,18","3,80",NA,NA,"3,39","59,24","15,39","59,95",NA,"-11,01","3,85",NA,"3,43","R$ 1,94 B","0,00%"
77,30/06/2005,"-2.103,52","6,15","3,28",NA,NA,"2,88","62,19","10,28","62,16",NA,"-11,45","3,28",NA,"2,88","R$ 1,60 B","0,00%"
78,31/03/2005,"-109,13","5,92","3,19",NA,NA,"2,76","94,90","8,67","94,99",NA,"-12,87","3,20",NA,"2,77","R$ 1,50 B","0,00%"
79,31/12/2004,"-90,96","7,02","3,83",NA,NA,"3,23","172,93","10,52","173,64",NA,"-13,80","3,84",NA,"3,24","R$ 1,72 B","0,00%"
80,30/09/2004,"-76,69","8,88","1,63",NA,NA,"2,64","37,71","90,72","41,25",NA,"-3,91","1,78",NA,"2,88","R$ 1,14 B","0,00%"
81,30/06/2004,"-7,09","0,96","0,20",NA,NA,"0,27","5,26","30,30","9,76",NA,"-0,39","0,37",NA,"0,51","R$ 113,52 M","0,00%"
82,31/03/2004,"-17,36","0,81","0,30",NA,NA,"0,30","6,92","2,54","11,83",NA,"-0,60","0,51",NA,"0,52","R$ 113,52 M","0,00%"
83,31/12/2003,"-13,38","0,84","0,31",NA,NA,"0,32","8,47","2,93","13,96",NA,"-0,63","0,51",NA,"0,53","R$ 113,52 M","0,00%"
