,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 27,75 B","R$ 3,24 B","R$ 4,65",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
1,31/03/2024,"R$ 27,52 B","R$ 2,97 B","R$ 4,26",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
2,31/12/2023,"R$ 25,96 B","R$ 2,74 B","R$ 3,93",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
3,30/09/2023,"R$ 23,71 B","R$ 2,76 B","R$ 3,96",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
4,30/06/2023,"R$ 21,41 B","R$ 2,54 B","R$ 3,64",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
5,31/03/2023,"R$ 19,28 B","R$ 2,42 B","R$ 3,47",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
6,31/12/2022,"R$ 18,11 B","R$ 2,30 B","R$ 3,31",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
7,30/09/2022,"R$ 18,06 B","R$ 2,25 B","R$ 3,24",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
8,30/06/2022,"R$ 15,90 B","R$ 2,13 B","R$ 3,05",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
9,31/03/2022,"R$ 16,74 B","R$ 2,14 B","R$ 3,07",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
10,31/12/2021,"R$ 16,39 B","R$ 2,12 B","R$ 3,04",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
11,30/09/2021,"R$ 17,22 B","R$ 2,11 B","R$ 3,03",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
12,30/06/2021,"R$ 14,26 B","R$ 1,97 B","R$ 2,82",696.334.000,0,0,696.334.000,713.000,0,0,713.000,695.621.000,0,695.621.000,111
13,31/03/2021,"R$ 11,34 B","R$ 144,17 M","R$ 0,26",558.699.000,0,0,558.699.000,713.000,0,0,713.000,557.986.000,0,557.986.000,111
14,31/12/2020,"R$ 11,09 B","R$ 56,18 M","R$ 0,10",558.699.000,0,0,558.699.000,713.000,0,0,713.000,557.986.000,0,557.986.000,111
15,30/09/2020,"R$ 12,39 B","R$ 686,93 M","R$ 1,23",558.699.000,0,0,558.699.000,713.000,0,0,713.000,557.986.000,0,557.986.000,111
16,30/06/2020,"R$ 11,46 B","R$ 615,30 M","R$ 1,10",558.699.000,0,0,558.699.000,713.000,0,0,713.000,557.986.000,0,557.986.000,111
17,31/03/2020,"R$ 11,82 B","R$ 580,01 M","R$ 1,04",558.699.000,0,0,558.699.000,713.000,0,0,713.000,557.986.000,0,557.986.000,111
18,31/12/2019,"R$ 11,54 B","R$ 455,35 M","R$ 0,82",558.699.000,0,0,558.699.000,2.206.000,0,0,2.206.000,556.493.000,0,556.493.000,111
19,30/09/2019,"R$ 12,66 B","R$ 375,63 M","R$ 0,67",558.699.000,0,0,558.699.000,2.236.000,0,0,2.236.000,556.463.000,0,556.463.000,111
