,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 2,41 B","R$ 953,57 M","R$ 882,53 M","- R$ 228,02 M","R$ 1,11 B","R$ 268,06 M","R$ 0,38",111
1,31/03/2024,"R$ 2,13 B","R$ 932,63 M","R$ 846,05 M","- R$ 216,83 M","R$ 1,06 B","R$ 231,37 M","R$ 0,33",111
2,31/12/2023,"R$ 2,66 B","R$ 968,06 M","R$ 683,84 M","- R$ 229,42 M","R$ 913,26 M","R$ 117,68 M","R$ 0,17",111
3,30/09/2023,"R$ 2,57 B","R$ 886,22 M","R$ 813,23 M","- R$ 184,65 M","R$ 997,87 M","R$ 219,03 M","R$ 0,31",111
4,30/06/2023,"R$ 2,01 B","R$ 750,55 M","R$ 683,88 M","- R$ 200,69 M","R$ 884,57 M","R$ 120,10 M","R$ 0,17",111
5,31/03/2023,"R$ 1,60 B","R$ 649,87 M","R$ 601,70 M","- R$ 183,36 M","R$ 785,06 M","R$ 112,75 M","R$ 0,16",111
6,31/12/2022,"R$ 1,91 B","R$ 731,58 M","R$ 554,96 M","- R$ 164,24 M","R$ 719,20 M","R$ 108,56 M","R$ 0,16",111
7,30/09/2022,"R$ 1,67 B","R$ 456,97 M","R$ 379,90 M","- R$ 144,95 M","R$ 524,85 M","R$ 128,24 M","R$ 0,18",111
8,30/06/2022,"R$ 1,34 B","R$ 351,72 M","R$ 289,63 M","- R$ 138,23 M","R$ 427,86 M","- R$ 7,02 M","- R$ 0,01",111
9,31/03/2022,"R$ 1,14 B","R$ 386,41 M","R$ 317,89 M","- R$ 133,80 M","R$ 451,69 M","R$ 15,92 M","R$ 0,02",111
10,31/12/2021,"R$ 1,29 B","R$ 474,61 M","R$ 346,42 M","- R$ 179,17 M","R$ 525,59 M","R$ 12,97 M","R$ 0,02",111
11,30/09/2021,"R$ 1,26 B","R$ 494,21 M","R$ 469,38 M","- R$ 181,28 M","R$ 650,66 M","R$ 143,72 M","R$ 0,21",111
12,30/06/2021,"R$ 1,10 B","R$ 422,27 M","R$ 363,12 M","- R$ 176,39 M","R$ 539,52 M","R$ 127,36 M","R$ 0,18",111
13,31/03/2021,"R$ 1,01 B","R$ 448,80 M","R$ 389,01 M","- R$ 154,30 M","R$ 543,31 M","R$ 87,99 M","R$ 0,16",111
14,31/12/2020,"R$ 1,06 B","R$ 451,43 M","- R$ 62,23 M","- R$ 132,59 M","R$ 70,36 M","- R$ 630,74 M","- R$ 1,13",111
15,30/09/2020,"R$ 1,06 B","R$ 426,29 M","R$ 343,76 M","- R$ 145,04 M","R$ 488,80 M","R$ 71,62 M","R$ 0,13",111
16,30/06/2020,"R$ 907,76 M","R$ 322,79 M","R$ 210,71 M","- R$ 143,58 M","R$ 354,30 M","R$ 35,30 M","R$ 0,06",111
17,31/03/2020,"R$ 970,03 M","R$ 442,47 M","R$ 373,50 M","- R$ 125,85 M","R$ 499,34 M","R$ 99,84 M","R$ 0,18",111
18,31/12/2019,"R$ 1,11 B","R$ 408,65 M","R$ 372,71 M","- R$ 156,04 M","R$ 528,74 M","R$ 79,23 M","R$ 0,14",111
19,30/09/2019,"R$ 976,54 M","R$ 387,90 M","- R$ 160,75 M","- R$ 154,98 M","- R$ 6,68 M","- R$ 408,63 M","- R$ 0,73",111
20,30/06/2019,"R$ 972,84 M","R$ 359,83 M","R$ 297,17 M","- R$ 134,69 M","R$ 431,86 M","R$ 60,88 M","R$ 0,11",111
21,31/03/2019,"R$ 881,86 M","R$ 346,15 M","R$ 287,47 M","- R$ 121,80 M","R$ 409,27 M","R$ 86,07 M","R$ 0,15",111
22,31/12/2018,"R$ 893,04 M","R$ 339,45 M","R$ 268,23 M","- R$ 87,18 M","R$ 355,41 M","R$ 56,58 M","R$ 0,10",111
23,30/09/2018,"R$ 766,78 M","R$ 340,30 M","R$ 292,67 M","- R$ 117,22 M","R$ 409,89 M","R$ 93,53 M","R$ 0,17",111
24,30/06/2018,"R$ 721,14 M","R$ 319,44 M","R$ 273,75 M","- R$ 115,63 M","R$ 389,38 M","R$ 79,50 M","R$ 0,14",111
25,31/03/2018,"R$ 788,30 M","R$ 390,06 M","R$ 349,66 M","- R$ 113,53 M","R$ 463,19 M","R$ 145,58 M","R$ 0,26",111
26,31/12/2017,"R$ 850,24 M","R$ 386,24 M","R$ 290,62 M","- R$ 107,87 M","R$ 398,49 M","R$ 92,93 M","R$ 0,17",111
27,30/09/2017,"R$ 826,93 M","R$ 394,73 M","R$ 314,37 M","- R$ 105,78 M","R$ 420,15 M","R$ 125,34 M","R$ 0,22",111
28,30/06/2017,"R$ 773,75 M","R$ 367,18 M","R$ 286,45 M","- R$ 103,03 M","R$ 389,47 M","R$ 76,42 M","R$ 0,14",111
29,31/03/2017,"R$ 749,79 M","R$ 409,40 M","R$ 320,25 M","- R$ 101,83 M","R$ 422,08 M","R$ 97,79 M","R$ 0,18",111
30,31/12/2016,"R$ 745,53 M","R$ 247,35 M","R$ 271,90 M","- R$ 77,57 M","R$ 349,47 M","R$ 88,74 M","R$ 0,16",111
31,30/09/2016,"R$ 755,36 M","R$ 348,82 M","R$ 267,02 M","- R$ 87,42 M","R$ 354,44 M","R$ 67,08 M","R$ 0,12",111
32,30/06/2016,"R$ 664,65 M","R$ 323,94 M","- R$ 59,69 M","- R$ 76,65 M","R$ 25,05 M","- R$ 1,18 B","- R$ 2,11",111
33,31/03/2016,"R$ 736,95 M","R$ 366,60 M","R$ 287,16 M","- R$ 98,33 M","R$ 385,48 M","R$ 56,49 M","R$ 0,10",111
34,31/12/2015,"R$ 774,45 M","R$ 340,83 M","R$ 257,29 M","- R$ 102,19 M","R$ 359,48 M","R$ 40,61 M","R$ 0,07",111
35,30/09/2015,"R$ 777,48 M","R$ 334,11 M","R$ 248,93 M","- R$ 96,96 M","R$ 345,89 M","R$ 20,10 M","R$ 0,04",111
36,30/06/2015,"R$ 663,24 M","R$ 281,58 M","R$ 199,90 M","- R$ 84,52 M","R$ 284,42 M","R$ 19,62 M","R$ 0,04",111
37,31/03/2015,"R$ 685,55 M","R$ 324,00 M","R$ 239,63 M","- R$ 81,95 M","R$ 321,58 M","R$ 28,65 M","R$ 0,05",111
38,31/12/2014,"R$ 735,20 M","R$ 301,73 M","R$ 197,54 M","- R$ 91,02 M","R$ 288,56 M","R$ 53,89 M","R$ 0,10",111
39,30/09/2014,"R$ 712,27 M","R$ 326,73 M","R$ 216,70 M","- R$ 75,22 M","R$ 291,92 M","R$ 77,36 M","R$ 0,14",111
40,30/06/2014,"R$ 827,30 M","R$ 254,61 M","R$ 187,10 M","- R$ 71,06 M","R$ 258,15 M","R$ 52,24 M","R$ 0,09",111
41,31/03/2014,"R$ 662,24 M","R$ 332,77 M","R$ 508,09 M","- R$ 71,66 M","R$ 579,75 M","R$ 288,41 M","R$ 0,52",111
42,31/12/2013,"R$ 717,48 M","R$ 357,23 M","R$ 217,65 M","- R$ 79,88 M","R$ 297,53 M","R$ 88,29 M","R$ 0,16",111
43,30/09/2013,"R$ 699,36 M","R$ 294,13 M","R$ 254,72 M","- R$ 56,87 M","R$ 311,59 M","R$ 111,29 M","R$ 0,20",111
44,30/06/2013,"R$ 653,89 M","R$ 318,39 M","R$ 233,69 M","- R$ 53,78 M","R$ 287,47 M","R$ 87,11 M","R$ 0,16",111
45,31/03/2013,"R$ 568,33 M","R$ 322,70 M","R$ 253,59 M","- R$ 46,11 M","R$ 299,70 M","R$ 111,16 M","R$ 0,20",111
46,31/12/2012,"R$ 720,55 M","R$ 416,08 M","R$ 288,64 M","- R$ 69,17 M","R$ 357,81 M","R$ 130,54 M","R$ 0,23",111
47,30/09/2012,"R$ 691,74 M","R$ 313,19 M","R$ 254,41 M","- R$ 71,48 M","R$ 325,88 M","R$ 99,69 M","R$ 0,18",111
48,30/06/2012,"R$ 521,22 M","R$ 262,91 M","R$ 195,95 M","- R$ 49,63 M","R$ 245,58 M","R$ 84,42 M","R$ 0,15",111
49,31/03/2012,"R$ 475,60 M","R$ 254,58 M","R$ 214,06 M","- R$ 47,15 M","R$ 261,21 M","R$ 107,43 M","R$ 0,19",111
50,31/12/2011,"R$ 492,67 M","R$ 309,12 M","R$ 208,32 M","- R$ 42,89 M","R$ 251,20 M","R$ 102,78 M","R$ 0,18",111
51,30/09/2011,"R$ 471,02 M","R$ 252,51 M","R$ 207,91 M","- R$ 42,41 M","R$ 250,32 M","R$ 102,74 M","R$ 0,18",111
52,30/06/2011,"R$ 441,28 M","R$ 229,69 M","R$ 178,37 M","- R$ 41,84 M","R$ 220,21 M","R$ 85,91 M","R$ 0,15",111
53,31/03/2011,"R$ 422,40 M","R$ 223,04 M","R$ 193,67 M","- R$ 41,09 M","R$ 234,76 M","R$ 91,58 M","R$ 0,16",111
54,31/12/2010,"R$ 508,68 M","R$ 256,78 M","R$ 451,72 M",,,"R$ 332,49 M","R$ 0,60",111
55,30/09/2010,"R$ 320,43 M","R$ 191,13 M","R$ 155,65 M",,,"R$ 76,14 M","R$ 0,14",111
56,30/06/2010,"R$ 337,90 M","R$ 193,03 M","R$ 164,86 M",,,"R$ 70,37 M","R$ 0,13",111
57,31/03/2010,"R$ 303,23 M","R$ 182,00 M","R$ 215,88 M",,,"R$ 119,72 M","R$ 0,26",111
58,31/12/2009,"R$ 290,70 M","R$ 170,37 M","R$ 139,25 M",,,"R$ 53,26 M","R$ 0,11",111
59,30/09/2009,"R$ 255,54 M","R$ 128,73 M","R$ 117,32 M",,,"R$ 38,42 M","R$ 0,08",111
60,30/06/2009,"R$ 226,65 M","R$ 141,52 M","R$ 107,50 M",,,"R$ 46,43 M","R$ 0,10",111
61,31/03/2009,"R$ 229,81 M","R$ 150,74 M","R$ 121,02 M",,,"R$ 54,29 M","R$ 0,12",111
62,31/12/2008,"R$ 236,36 M","R$ 153,31 M","R$ 110,08 M",,,"R$ 34,80 M","R$ 0,07",111
63,30/09/2008,"R$ 209,83 M","R$ 131,56 M","R$ 103,69 M",,,"R$ 35,54 M","R$ 0,08",111
64,30/06/2008,"R$ 193,49 M","R$ 129,71 M","R$ 88,85 M",,,"R$ 18,27 M","R$ 0,04",111
65,31/03/2008,"R$ 191,61 M","R$ 122,92 M","R$ 101,54 M",,,"R$ 41,02 M","R$ 0,09",111
66,31/12/2007,"R$ 171,53 M","R$ 100,76 M","R$ 76,55 M",,,"R$ 35,84 M","R$ 0,08",111
67,30/09/2007,"R$ 163,24 M","R$ 101,86 M","R$ 83,87 M",,,"R$ 37,42 M","R$ 0,08",111
68,30/06/2007,"R$ 146,78 M","R$ 90,58 M","R$ 76,13 M",,,"R$ 40,74 M","R$ 0,09",111
69,31/03/2007,"R$ 161,76 M","R$ 102,59 M","R$ 85,74 M",,,"R$ 45,80 M","R$ 0,10",111
70,31/12/2006,"R$ 150,67 M","R$ 77,99 M","R$ 63,89 M",,,"R$ 22,44 M","R$ 0,05",111
71,30/09/2006,"R$ 140,39 M","R$ 71,07 M","R$ 45,33 M",,,"R$ 21,36 M","R$ 0,05",111
72,30/06/2006,"R$ 131,93 M","R$ 74,10 M","R$ 59,39 M",,,"R$ 34,79 M","R$ 0,07",111
73,31/03/2006,"R$ 147,28 M","R$ 91,91 M","R$ 81,55 M",,,"R$ 56,50 M","R$ 0,12",111
74,31/12/2005,"R$ 139,65 M","R$ 55,57 M","R$ 54,71 M",,,"R$ 20,33 M","R$ 0,04",111
75,30/09/2005,"R$ 134,21 M","R$ 81,17 M","R$ 63,21 M",,,"R$ 45,25 M","R$ 0,10",111
76,30/06/2005,"R$ 121,69 M","R$ 70,78 M","R$ 54,97 M",,,"R$ 51,42 M","R$ 0,11",111
77,31/03/2005,"R$ 132,70 M","R$ 85,04 M","R$ 69,21 M",,,"R$ 35,04 M","R$ 0,08",111
78,31/12/2004,"R$ 126,46 M","R$ 73,80 M","R$ 62,32 M",,,"R$ 45,25 M","R$ 0,10",111
79,30/09/2004,"R$ 122,53 M","R$ 73,73 M","R$ 61,38 M",,,"R$ 46,02 M","R$ 0,10",111
80,30/06/2004,"R$ 50,91 M","R$ 30,71 M","R$ 20,16 M",,,"R$ 9,67 M","R$ 0,02",111
81,31/03/2004,"R$ 24,60 M","R$ 14,62 M","R$ 8,80 M",,,"R$ 3,93 M","R$ 0,15",111
82,31/12/2003,"R$ 20,73 M","R$ 8,08 M","R$ 1,70 M",,,"- R$ 413,00 mil","- R$ 0,02",111
83,30/09/2003,"R$ 21,95 M","R$ 12,03 M","R$ 6,53 M",,,"R$ 2,59 M","R$ 0,10",111
84,30/06/2003,"R$ 23,33 M","R$ 13,18 M","R$ 9,52 M",,,"R$ 3,87 M","R$ 0,15",111
85,31/03/2003,"R$ 19,65 M","R$ 10,06 M","R$ 6,26 M",,,"R$ 1,37 M","R$ 0,05",111
86,31/12/2002,,,,,,,,111
