,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 998,67 M","- R$ 2,29 B","- R$ 771,71 M","- R$ 2,06 B",111
1,31/03/2024,"R$ 740,49 M","- R$ 696,83 M","R$ 802,88 M","R$ 846,54 M",111
2,31/12/2023,"R$ 1,05 B","- R$ 1,66 B","R$ 1,38 B","R$ 775,13 M",111
3,30/09/2023,"R$ 979,19 M","- R$ 1,53 B","R$ 1,27 B","R$ 721,11 M",111
4,30/06/2023,"R$ 905,16 M","- R$ 1,89 B","R$ 1,26 B","R$ 277,58 M",111
5,31/03/2023,"R$ 615,37 M","- R$ 740,81 M","R$ 496,40 M","R$ 370,96 M",111
6,31/12/2022,"R$ 630,93 M","- R$ 799,43 M","- R$ 899,23 M","- R$ 1,07 B",111
7,30/09/2022,"R$ 519,03 M","- R$ 760,69 M","R$ 1,66 B","R$ 1,42 B",111
8,30/06/2022,"R$ 387,32 M","- R$ 614,22 M","- R$ 680,82 M","- R$ 907,71 M",111
9,31/03/2022,"R$ 348,55 M","- R$ 430,34 M","- R$ 50,39 M","- R$ 132,19 M",111
10,31/12/2021,"R$ 497,48 M","- R$ 588,17 M","- R$ 1,13 B","- R$ 1,22 B",111
11,30/09/2021,"R$ 512,61 M","- R$ 1,88 B","R$ 1,41 B","R$ 47,25 M",111
12,30/06/2021,"R$ 450,91 M","- R$ 870,72 M","R$ 2,13 B","R$ 1,71 B",111
13,31/03/2021,"R$ 412,08 M","- R$ 130,46 M","- R$ 96,93 M","R$ 184,69 M",111
14,31/12/2020,"R$ 413,77 M","- R$ 299,29 M","- R$ 914,57 M","- R$ 800,09 M",111
15,30/09/2020,"R$ 370,33 M","- R$ 318,95 M","R$ 646,24 M","R$ 697,62 M",111
16,30/06/2020,"R$ 366,41 M","R$ 515,77 M","- R$ 584,55 M","R$ 297,63 M",111
17,31/03/2020,"R$ 320,67 M","- R$ 949,59 M","- R$ 80,27 M","- R$ 709,19 M",111
18,31/12/2019,"R$ 549,33 M","- R$ 267,09 M","- R$ 1,30 B","- R$ 1,02 B",111
19,30/09/2019,"R$ 298,93 M","- R$ 254,03 M","- R$ 347,31 M","- R$ 302,40 M",111
20,30/06/2019,"R$ 402,36 M","- R$ 881,03 M","R$ 1,14 B","R$ 663,72 M",111
21,31/03/2019,"R$ 153,10 M","- R$ 241,74 M","- R$ 50,62 M","- R$ 139,26 M",111
22,31/12/2018,"R$ 392,22 M","- R$ 275,61 M","- R$ 262,36 M","- R$ 145,76 M",111
23,30/09/2018,"R$ 382,39 M","- R$ 168,34 M","R$ 531,82 M","R$ 745,87 M",111
24,30/06/2018,"R$ 213,40 M","- R$ 60,74 M","- R$ 582,81 M","- R$ 430,16 M",111
25,31/03/2018,"R$ 355,74 M","- R$ 303,08 M","R$ 819,89 M","R$ 872,55 M",111
26,31/12/2017,"R$ 268,96 M","- R$ 181,80 M","R$ 823,34 M","R$ 910,49 M",111
27,30/09/2017,"R$ 370,63 M","- R$ 162,74 M","- R$ 115,56 M","R$ 92,33 M",111
28,30/06/2017,"R$ 324,78 M","- R$ 154,28 M","- R$ 365,37 M","- R$ 194,88 M",111
29,31/03/2017,"R$ 321,42 M","- R$ 91,80 M","- R$ 19,09 M","R$ 210,53 M",111
30,31/12/2016,"R$ 128,60 M","- R$ 7,41 M","- R$ 303,99 M","- R$ 182,80 M",111
31,30/09/2016,"R$ 359,45 M","- R$ 255,03 M","- R$ 71,25 M","R$ 33,17 M",111
32,30/06/2016,"R$ 328,99 M","- R$ 151,43 M","- R$ 300,36 M","- R$ 122,81 M",111
33,31/03/2016,"R$ 282,99 M","- R$ 77,24 M","- R$ 116,71 M","R$ 89,04 M",111
34,31/12/2015,"R$ 317,75 M","- R$ 157,25 M","- R$ 55,94 M","R$ 104,56 M",111
35,30/09/2015,"R$ 334,72 M","- R$ 200,36 M","R$ 58,92 M","R$ 193,28 M",111
36,30/06/2015,"R$ 264,78 M","- R$ 293,42 M","- R$ 214,25 M","- R$ 242,90 M",111
37,31/03/2015,"R$ 243,77 M","- R$ 107,88 M","- R$ 23,05 M","R$ 112,85 M",111
38,31/12/2014,"R$ 295,78 M","- R$ 262,50 M","- R$ 147,03 M","- R$ 113,75 M",111
39,30/09/2014,"R$ 192,72 M","- R$ 219,43 M","R$ 23,11 M","- R$ 3,59 M",111
40,30/06/2014,"R$ 185,17 M","- R$ 294,13 M","- R$ 591,92 M","- R$ 700,88 M",111
41,31/03/2014,"R$ 579,82 M","- R$ 162,11 M","- R$ 65,42 M","R$ 352,29 M",111
