,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 2,80 B","R$ 1,69 B","R$ 1,70 B","- R$ 265,06 M","R$ 1,96 B","R$ 871,30 M","R$ 1,07",145
1,31/03/2024,"R$ 2,61 B","R$ 1,52 B","R$ 2,92 B","- R$ 245,72 M","R$ 3,17 B","R$ 1,68 B","R$ 2,06",145
2,31/12/2023,"R$ 2,71 B","R$ 1,38 B","R$ 1,57 B","- R$ 233,34 M","R$ 1,80 B","R$ 947,87 M","R$ 1,16",145
3,30/09/2023,"R$ 2,51 B","R$ 1,32 B","R$ 1,48 B","- R$ 232,42 M","R$ 1,71 B","R$ 867,28 M","R$ 1,06",145
4,30/06/2023,"R$ 2,61 B","R$ 1,53 B","R$ 1,48 B","- R$ 231,94 M","R$ 1,71 B","R$ 732,60 M","R$ 0,90",145
5,31/03/2023,"R$ 2,91 B","R$ 1,68 B","R$ 1,84 B","- R$ 226,56 M","R$ 2,06 B","R$ 881,81 M","R$ 1,08",145
6,31/12/2022,"R$ 3,10 B","R$ 1,41 B","R$ 1,49 B","- R$ 227,44 M","R$ 1,71 B","R$ 890,23 M","R$ 1,09",145
7,30/09/2022,"R$ 2,75 B","R$ 1,09 B","R$ 1,22 B","- R$ 253,46 M","R$ 1,47 B","R$ 733,87 M","R$ 0,90",145
8,30/06/2022,"R$ 3,00 B","R$ 1,55 B","R$ 1,46 B","- R$ 259,87 M","R$ 1,72 B","R$ 394,26 M","R$ 0,48",145
9,31/03/2022,"R$ 3,06 B","R$ 1,53 B","R$ 1,64 B","- R$ 249,03 M","R$ 1,89 B","R$ 644,72 M","R$ 0,79",145
10,31/12/2021,"R$ 2,77 B","R$ 1,89 B","R$ 749,92 M","- R$ 333,84 M","R$ 1,08 B","R$ 77,44 M","R$ 0,09",145
11,30/09/2021,"R$ 3,39 B","R$ 1,40 B","R$ 1,51 B","- R$ 240,00 M","R$ 1,75 B","R$ 638,70 M","R$ 0,78",145
12,30/06/2021,"R$ 3,13 B","R$ 1,22 B","R$ 1,13 B","- R$ 237,91 M","R$ 1,37 B","R$ 318,79 M","R$ 0,39",145
13,31/03/2021,"R$ 3,25 B","R$ 1,40 B","R$ 1,51 B","- R$ 230,68 M","R$ 1,74 B","R$ 528,80 M","R$ 0,65",145
14,31/12/2020,"R$ 3,77 B","R$ 2,14 B","R$ 2,06 B","- R$ 223,44 M","R$ 2,29 B","R$ 1,03 B","R$ 1,26",145
15,30/09/2020,"R$ 3,21 B","R$ 1,17 B","R$ 1,21 B","- R$ 223,39 M","R$ 1,43 B","R$ 489,71 M","R$ 0,60",145
16,30/06/2020,"R$ 2,69 B","R$ 1,10 B","R$ 1,20 B","- R$ 232,75 M","R$ 1,43 B","R$ 765,71 M","R$ 0,94",145
17,31/03/2020,"R$ 2,59 B","R$ 1,06 B","R$ 1,10 B","- R$ 235,39 M","R$ 1,33 B","R$ 511,56 M","R$ 0,63",145
18,31/12/2019,"R$ 2,80 B","R$ 1,07 B","R$ 1,07 B","- R$ 242,80 M","R$ 1,32 B","R$ 617,23 M","R$ 0,76",145
19,30/09/2019,"R$ 2,49 B","R$ 1,07 B","R$ 1,36 B","- R$ 225,79 M","R$ 1,58 B","R$ 742,40 M","R$ 0,91",145
20,30/06/2019,"R$ 2,18 B","R$ 932,61 M","R$ 848,42 M","- R$ 203,53 M","R$ 1,05 B","R$ 385,12 M","R$ 0,47",145
21,31/03/2019,"R$ 2,34 B","R$ 1,08 B","R$ 1,02 B","- R$ 191,23 M","R$ 1,21 B","R$ 565,18 M","R$ 0,69",145
22,31/12/2018,"R$ 2,30 B","R$ 976,23 M","R$ 903,12 M","- R$ 173,71 M","R$ 1,08 B","R$ 761,28 M","R$ 0,93",145
23,30/09/2018,"R$ 2,49 B","R$ 905,40 M","R$ 849,12 M","- R$ 160,36 M","R$ 1,01 B","R$ 475,07 M","R$ 0,73",145
24,30/06/2018,"R$ 2,13 B","R$ 1,11 B","R$ 1,04 B","- R$ 157,05 M","R$ 1,20 B","R$ 588,97 M","R$ 0,90",145
25,31/03/2018,"R$ 1,87 B","R$ 925,27 M","R$ 875,58 M","- R$ 169,06 M","R$ 1,04 B","R$ 489,04 M","R$ 0,75",145
26,31/12/2017,"R$ 2,07 B","R$ 902,84 M","R$ 880,51 M","- R$ 168,52 M","R$ 1,05 B","R$ 704,38 M","R$ 1,08",145
27,30/09/2017,"R$ 1,65 B","R$ 588,72 M","R$ 546,66 M","- R$ 164,12 M","R$ 710,77 M","R$ 357,76 M","R$ 0,55",145
28,30/06/2017,"R$ 1,68 B","R$ 734,97 M","R$ 688,38 M","- R$ 166,57 M","R$ 854,95 M","R$ 490,87 M","R$ 0,75",145
29,31/03/2017,"R$ 1,61 B","R$ 779,56 M","R$ 734,67 M","- R$ 149,73 M","R$ 884,40 M","R$ 450,41 M","R$ 0,69",145
30,31/12/2016,"R$ 1,67 B","R$ 715,33 M","R$ 540,52 M","- R$ 160,37 M","R$ 700,89 M","R$ 475,30 M","R$ 0,73",145
31,30/09/2016,"R$ 1,60 B","R$ 692,78 M","R$ 648,72 M","- R$ 158,07 M","R$ 806,79 M","R$ 396,61 M","R$ 0,61",145
32,30/06/2016,"R$ 1,57 B","R$ 646,44 M","R$ 593,78 M","- R$ 157,70 M","R$ 751,47 M","R$ 328,50 M","R$ 0,50",145
33,31/03/2016,"R$ 1,60 B","R$ 686,37 M","R$ 638,60 M","- R$ 154,12 M","R$ 792,72 M","R$ 346,89 M","R$ 0,53",145
34,31/12/2015,"R$ 1,71 B","R$ 864,43 M","R$ 805,10 M","- R$ 151,60 M","R$ 956,69 M","R$ 599,40 M","R$ 0,92",145
35,30/09/2015,"R$ 1,64 B","R$ 669,86 M","R$ 618,67 M","- R$ 153,06 M","R$ 771,73 M","R$ 347,37 M","R$ 0,53",145
36,30/06/2015,"R$ 1,54 B","R$ 487,28 M","R$ 437,01 M","- R$ 149,02 M","R$ 586,03 M","R$ 209,12 M","R$ 0,32",145
37,31/03/2015,"R$ 1,62 B","R$ 687,38 M","R$ 643,06 M","- R$ 146,75 M","R$ 789,80 M","R$ 344,51 M","R$ 0,53",145
38,31/12/2014,"R$ 1,73 B","R$ 784,52 M","R$ 733,77 M","- R$ 150,32 M","R$ 884,09 M","R$ 481,69 M","R$ 0,74",145
39,30/09/2014,"R$ 1,74 B","R$ 918,53 M","R$ 870,27 M","- R$ 145,08 M","R$ 1,02 B","R$ 538,02 M","R$ 0,82",145
40,30/06/2014,"R$ 1,36 B","R$ 203,61 M","R$ 152,48 M","- R$ 149,01 M","R$ 301,50 M","R$ 73,61 M","R$ 0,11",145
41,31/03/2014,"R$ 1,64 B","R$ 591,05 M","R$ 546,43 M","- R$ 147,71 M","R$ 694,14 M","R$ 289,05 M","R$ 0,44",145
42,31/12/2013,"R$ 1,49 B","R$ 548,51 M","R$ 423,45 M","- R$ 148,93 M","R$ 572,38 M","R$ 286,15 M","R$ 0,44",145
43,30/09/2013,"R$ 1,42 B","R$ 707,15 M","R$ 659,48 M","- R$ 147,38 M","R$ 806,87 M","R$ 401,39 M","R$ 0,61",145
44,30/06/2013,"R$ 1,27 B","R$ 624,74 M","R$ 574,92 M","- R$ 145,02 M","R$ 719,93 M","R$ 323,87 M","R$ 0,50",145
45,31/03/2013,"R$ 1,39 B","R$ 776,40 M","R$ 729,38 M","- R$ 141,16 M","R$ 870,54 M","R$ 424,71 M","R$ 0,65",145
46,31/12/2012,"R$ 1,27 B","R$ 697,98 M","R$ 613,30 M","- R$ 148,83 M","R$ 762,13 M","R$ 433,72 M","R$ 0,66",145
47,30/09/2012,"R$ 1,30 B","R$ 772,98 M","R$ 712,89 M","- R$ 139,15 M","R$ 852,04 M","R$ 392,18 M","R$ 0,60",145
48,30/06/2012,"R$ 1,19 B","R$ 686,12 M","R$ 640,78 M","- R$ 139,10 M","R$ 779,88 M","R$ 344,23 M","R$ 0,53",145
49,31/03/2012,"R$ 1,15 B","R$ 624,49 M","R$ 580,27 M","- R$ 134,09 M","R$ 714,36 M","R$ 329,38 M","R$ 0,50",145
50,31/12/2011,"R$ 1,10 B","R$ 627,31 M","R$ 633,60 M","- R$ 132,80 M","R$ 766,41 M","R$ 449,63 M","R$ 0,69",145
51,30/09/2011,"R$ 1,15 B","R$ 622,29 M","R$ 596,29 M","- R$ 128,99 M","R$ 725,28 M","R$ 332,28 M","R$ 0,51",145
52,30/06/2011,"R$ 1,06 B","R$ 608,96 M","R$ 604,84 M","- R$ 120,68 M","R$ 725,52 M","R$ 358,77 M","R$ 0,55",145
53,31/03/2011,"R$ 1,02 B","R$ 607,77 M","R$ 573,86 M","- R$ 118,63 M","R$ 692,49 M","R$ 306,95 M","R$ 0,47",145
54,31/12/2010,"R$ 1,11 B","R$ 607,10 M","R$ 572,30 M",,,"R$ 373,35 M","R$ 0,57",145
55,30/09/2010,"R$ 1,08 B","R$ 604,88 M","R$ 577,11 M",,,"R$ 322,08 M","R$ 0,49",145
56,30/06/2010,"R$ 964,25 M","R$ 502,17 M","R$ 523,09 M",,,"R$ 269,50 M","R$ 0,41",145
57,31/03/2010,"R$ 945,52 M","R$ 498,17 M","R$ 477,66 M",,,"R$ 246,72 M","R$ 0,38",145
58,31/12/2009,"R$ 914,17 M","R$ 558,56 M","R$ 508,57 M",,,"R$ 351,52 M","R$ 0,54",145
59,30/09/2009,"R$ 886,66 M","R$ 530,55 M","R$ 487,99 M",,,"R$ 285,73 M","R$ 0,44",145
