,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 1,28 B","- R$ 2,02 B","- R$ 316,75 M","- R$ 1,05 B",145
1,31/03/2024,"R$ 899,07 M","- R$ 351,60 M","- R$ 540,99 M","R$ 6,48 M",145
2,31/12/2023,"R$ 1,23 B","- R$ 359,77 M","R$ 1,30 B","R$ 2,17 B",145
3,30/09/2023,"R$ 915,22 M","- R$ 764,51 M","- R$ 1,82 B","- R$ 1,67 B",145
4,30/06/2023,"R$ 1,16 B","- R$ 511,81 M","R$ 1,17 B","R$ 1,81 B",145
5,31/03/2023,"R$ 1,28 B","- R$ 406,34 M","- R$ 168,76 M","R$ 705,86 M",145
6,31/12/2022,"R$ 991,88 M","- R$ 602,70 M","- R$ 1,92 B","- R$ 1,53 B",145
7,30/09/2022,"R$ 794,25 M","- R$ 496,38 M","- R$ 846,32 M","- R$ 548,45 M",145
8,30/06/2022,"R$ 703,85 M","- R$ 144,60 M","- R$ 833,51 M","- R$ 274,26 M",145
9,31/03/2022,"R$ 847,52 M","- R$ 540,76 M","- R$ 875,51 M","- R$ 568,75 M",145
10,31/12/2021,"R$ 704,56 M","R$ 156,53 M","- R$ 344,96 M","R$ 516,96 M",145
11,30/09/2021,"R$ 204,14 M","- R$ 369,11 M","- R$ 269,60 M","- R$ 434,57 M",145
12,30/06/2021,"R$ 469,43 M","R$ 106,84 M","R$ 183,72 M","R$ 759,99 M",145
13,31/03/2021,"R$ 611,04 M","- R$ 233,32 M","- R$ 602,64 M","- R$ 224,92 M",145
14,31/12/2020,"- R$ 205,57 M","- R$ 139,43 M","- R$ 812,75 M","- R$ 1,16 B",145
15,30/09/2020,"R$ 161,81 M","- R$ 406,11 M","R$ 1,14 B","R$ 897,21 M",145
16,30/06/2020,"R$ 472,25 M","R$ 146,90 M","- R$ 7,71 M","R$ 611,43 M",145
17,31/03/2020,"R$ 913,77 M","- R$ 598,30 M","R$ 2,32 M","R$ 317,79 M",145
18,31/12/2019,"R$ 958,62 M","R$ 160,79 M","R$ 1,03 B","R$ 2,15 B",145
19,30/09/2019,"R$ 982,62 M","- R$ 20,79 M","- R$ 884,73 M","R$ 77,10 M",145
20,30/06/2019,"R$ 728,55 M","- R$ 3,71 B","R$ 3,67 B","R$ 692,05 M",145
21,31/03/2019,"R$ 951,48 M","- R$ 658,50 M","- R$ 1,76 B","- R$ 1,47 B",145
22,31/12/2018,"R$ 643,34 M","- R$ 925,10 M","R$ 254,99 M","- R$ 26,77 M",145
23,30/09/2018,"R$ 847,91 M","- R$ 1,11 B","R$ 1,66 B","R$ 1,40 B",145
24,30/06/2018,"R$ 954,60 M","- R$ 713,39 M","R$ 89,03 M","R$ 330,24 M",145
25,31/03/2018,"R$ 700,86 M","- R$ 460,56 M","- R$ 1,45 B","- R$ 1,21 B",145
26,31/12/2017,"- R$ 1,67 B","- R$ 1,39 B","R$ 3,42 B","R$ 368,55 M",145
27,30/09/2017,"R$ 550,57 M","- R$ 495,64 M","R$ 1,14 M","R$ 56,06 M",145
28,30/06/2017,"R$ 717,37 M","- R$ 553,06 M","- R$ 510,18 M","- R$ 345,87 M",145
29,31/03/2017,"R$ 733,23 M","- R$ 375,27 M","- R$ 321,98 M","R$ 35,98 M",145
30,31/12/2016,"R$ 693,24 M","- R$ 513,74 M","- R$ 1,45 B","- R$ 1,27 B",145
31,30/09/2016,"R$ 814,70 M","- R$ 343,97 M","R$ 509,90 M","R$ 980,63 M",145
32,30/06/2016,"R$ 334,20 M","- R$ 213,87 M","- R$ 279,08 M","- R$ 158,75 M",145
33,31/03/2016,"R$ 682,66 M","- R$ 200,52 M","- R$ 615,51 M","- R$ 133,38 M",145
34,31/12/2015,"R$ 650,17 M","- R$ 175,19 M","- R$ 19,86 M","R$ 455,12 M",145
35,30/09/2015,"R$ 971,59 M","- R$ 248,44 M","- R$ 525,88 M","R$ 197,28 M",145
36,30/06/2015,"R$ 506,91 M","- R$ 163,10 M","- R$ 217,46 M","R$ 126,36 M",145
37,31/03/2015,"R$ 449,94 M","- R$ 192,21 M","- R$ 244,36 M","R$ 13,37 M",145
38,31/12/2014,"R$ 872,80 M","- R$ 131,79 M","R$ 413,58 M","R$ 1,15 B",145
39,30/09/2014,"R$ 379,46 M","- R$ 77,76 M","- R$ 669,60 M","- R$ 367,90 M",145
40,30/06/2014,"R$ 85,50 M","- R$ 162,48 M","- R$ 237,65 M","- R$ 314,64 M",145
41,31/03/2014,"R$ 339,15 M","- R$ 216,19 M","- R$ 214,56 M","- R$ 91,61 M",145
42,31/12/2013,"R$ 591,42 M","- R$ 129,85 M","- R$ 2,59 M","R$ 458,98 M",145
43,30/09/2013,"R$ 720,34 M","- R$ 168,27 M","- R$ 772,10 M","- R$ 220,03 M",145
44,30/06/2013,"R$ 721,25 M","- R$ 119,21 M","- R$ 432,02 M","R$ 170,03 M",145
45,31/03/2013,"R$ 282,92 M","- R$ 141,57 M","- R$ 506,02 M","- R$ 364,67 M",145
46,31/12/2012,"R$ 763,02 M","- R$ 90,32 M","R$ 83,94 M","R$ 756,64 M",145
47,30/09/2012,"R$ 708,43 M","- R$ 68,73 M","- R$ 699,31 M","- R$ 59,61 M",145
