,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 01/10/2024,"7,45","1,14","0,58","2,37","0,24","R$ 22,78 B","5,08%"
1,30/06/2024,"7,23","1,11","0,56","2,30","0,24","R$ 22,91 B","4,45%"
2,31/03/2024,"7,61","1,20","0,61","2,56","0,26","R$ 24,12 B","4,27%"
3,31/12/2023,"9,20","1,47","0,61","2,61","0,26","R$ 23,63 B","5,85%"
4,30/09/2023,"8,73","1,29","0,57","2,65","0,24","R$ 23,13 B","3,94%"
5,30/06/2023,"10,20","1,46","0,64","2,89","0,26","R$ 22,34 B","4,64%"
6,31/03/2023,"7,74","1,45","0,62","2,75","0,26","R$ 20,38 B","4,87%"
7,31/12/2022,"6,66","1,29","0,54","2,50","0,24","R$ 18,65 B","3,32%"
8,30/09/2022,"7,59","1,38","0,60","4,71","0,27","R$ 20,86 B","8,52%"
9,30/06/2022,"5,47","1,41","0,50","6,40","0,24","R$ 19,11 B","7,52%"
10,31/03/2022,"5,97","1,53","0,49","10,19","0,25","R$ 19,17 B","7,60%"
11,31/12/2021,"5,09","1,64","0,50","14,96","0,24","R$ 19,01 B","10,87%"
12,30/09/2021,"5,12","1,42","0,49","4,95","0,24","R$ 18,86 B","5,09%"
13,30/06/2021,"4,79","1,46","0,53","2,69","0,25","R$ 18,01 B","4,18%"
14,31/03/2021,"7,51","1,73","0,61","2,67","0,29","R$ 19,40 B","3,89%"
15,31/12/2020,"8,67","1,92","0,63","2,65","0,28","R$ 19,60 B","0,80%"
16,30/09/2020,"8,45","2,06","0,73","2,93","0,33","R$ 18,71 B","1,54%"
17,30/06/2020,"17,43","2,40","0,75","4,46","0,35","R$ 18,53 B","1,49%"
18,31/03/2020,"14,18","2,07","0,65","4,77","0,31","R$ 15,67 B","1,68%"
19,31/12/2019,"31,48","2,52","0,72","5,55","0,36","R$ 17,26 B","1,90%"
20,30/09/2019,"20,45","2,95","0,87","-442,89","0,43","R$ 18,16 B","2,42%"
21,30/06/2019,"16,44","2,93","0,93","-38,16","0,44","R$ 19,94 B","2,39%"
22,31/03/2019,"10,96","2,20","0,73","-20,45","0,35","R$ 18,94 B","3,16%"
23,31/12/2018,"10,62","2,26","0,77","-12,59","0,33","R$ 18,88 B","2,77%"
24,30/09/2018,"13,70","2,38","0,65","13,65","0,41","R$ 14,89 B","2,68%"
25,30/06/2018,"13,92","2,08","0,57","10,74","0,36","R$ 11,81 B","3,17%"
26,31/03/2018,"13,92","2,08","0,57","10,74","0,36","R$ 11,81 B","3,17%"
27,31/12/2017,"19,20","2,79","0,79","8,58","0,49","R$ 12,74 B","2,52%"
28,30/09/2017,"21,17","1,84","0,53","3,64","0,33","R$ 9,68 B","2,82%"
29,30/06/2017,"30,65","2,06","0,63","3,95","0,39","R$ 9,66 B","1,78%"
30,31/03/2017,"43,44","1,91","0,59","3,83","0,35","R$ 9,90 B","1,96%"
31,31/12/2016,"47,63","2,00","0,62","4,17","0,37","R$ 7,61 B","1,88%"
32,30/09/2016,"24,01","1,79","0,56","3,42","0,33","R$ 7,94 B","2,11%"
33,30/06/2016,"53,69","2,55","0,48","2,96","0,30","R$ 5,13 B","1,37%"
34,31/03/2016,"21,81","1,61","0,30","2,46","0,20","R$ 3,65 B","5,21%"
35,31/12/2015,"11,89","1,75","0,32","3,65","0,21","R$ 4,25 B","8,52%"
36,30/09/2015,"11,45","2,00","0,33","8,08","0,21","R$ 3,61 B","6,47%"
